<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFO,D,20140109,000000,10.042,10.343,9.785,10.22,127400,0
MFO,D,20140110,000000,10.22,10.327,10.078,10.327,26999,0
MFO,D,20140113,000000,10.193,11.081,10.193,10.992,21953,0
MFO,D,20140114,000000,10.754,10.992,10.754,10.877,14616,0
MFO,D,20140115,000000,10.53,10.921,10.53,10.798,3459,0
MFO,D,20140116,000000,10.834,10.834,10.443,10.443,7603,0
MFO,D,20140117,000000,10.397,10.887,10.263,10.353,14612,0
MFO,D,20140120,000000,10.719,10.719,10.415,10.575,3735,0
MFO,D,20140121,000000,10.655,10.914,10.575,10.904,15260,0
MFO,D,20140122,000000,10.921,11.1,10.762,11.055,20489,0
MFO,D,20140123,000000,11.037,11.091,10.868,11.065,2908,0
MFO,D,20140124,000000,10.931,11.091,10.674,10.887,5343,0
MFO,D,20140127,000000,10.887,11.065,10.487,11.065,3760,0
MFO,D,20140128,000000,10.709,11.091,10.709,10.931,4072,0
MFO,D,20140129,000000,10.824,11.055,10.798,11.02,5393,0
MFO,D,20140130,000000,10.976,11.02,10.967,11.02,2406,0
MFO,D,20140131,000000,11.081,11.517,11.02,11.517,20360,0
MFO,D,20140203,000000,11.206,11.463,11.206,11.287,2709,0
MFO,D,20140204,000000,11.215,11.463,11.215,11.455,12108,0
MFO,D,20140205,000000,11.455,11.553,11.455,11.5,6493,0
MFO,D,20140206,000000,11.553,11.73,11.553,11.624,11983,0
MFO,D,20140207,000000,11.721,11.73,11.419,11.419,5144,0
MFO,D,20140210,000000,11.633,11.633,11.375,11.375,6352,0
MFO,D,20140211,000000,11.597,11.597,11.375,11.553,883,0
MFO,D,20140212,000000,11.437,11.553,11.375,11.553,13372,0
MFO,D,20140213,000000,11.553,11.73,11.109,11.109,58900,0
MFO,D,20140214,000000,11.437,11.73,11.206,11.419,10685,0
MFO,D,20140217,000000,11.419,11.553,11.419,11.429,4128,0
MFO,D,20140218,000000,11.429,11.429,11.117,11.117,8117,0
MFO,D,20140219,000000,11.117,11.206,11.065,11.206,3722,0
MFO,D,20140220,000000,11.446,11.446,11.117,11.153,3749,0
MFO,D,20140221,000000,11.117,11.243,11.02,11.243,1473,0
MFO,D,20140224,000000,11.446,11.446,11.367,11.446,1969,0
MFO,D,20140225,000000,11.446,11.544,11.446,11.535,2925,0
MFO,D,20140226,000000,11.535,11.535,11.375,11.375,492,0
MFO,D,20140227,000000,11.375,11.375,11.367,11.367,1911,0
MFO,D,20140228,000000,11.367,11.437,11.117,11.419,1356,0
MFO,D,20140303,000000,11.198,11.198,10.131,10.664,27261,0
MFO,D,20140304,000000,10.575,10.931,10.575,10.887,3835,0
MFO,D,20140305,000000,10.976,11.091,10.754,10.754,3827,0
MFO,D,20140306,000000,11.109,11.109,10.664,10.664,5344,0
MFO,D,20140307,000000,10.664,10.842,10.664,10.664,1744,0
MFO,D,20140310,000000,10.664,10.664,10.327,10.327,4589,0
MFO,D,20140311,000000,10.496,10.496,10.389,10.397,796,0
MFO,D,20140312,000000,10.397,10.397,9.91,10.211,8384,0
MFO,D,20140313,000000,10.211,10.664,10.131,10.131,574,0
MFO,D,20140314,000000,10.14,10.3,9.732,10.202,7604,0
MFO,D,20140317,000000,10.202,10.477,10.202,10.477,1573,0
MFO,D,20140318,000000,10.397,10.655,10.229,10.655,23365,0
MFO,D,20140319,000000,10.664,10.842,10.407,10.664,397,0
MFO,D,20140320,000000,10.443,10.664,10.443,10.655,769,0
MFO,D,20140321,000000,10.237,10.655,10.237,10.655,51,0
MFO,D,20140324,000000,10.318,10.646,10.318,10.646,186,0
MFO,D,20140325,000000,10.46,10.69,10.452,10.69,2503,0
MFO,D,20140326,000000,10.69,10.842,10.69,10.842,1041,0
MFO,D,20140327,000000,10.575,10.575,10.575,10.575,229,0
MFO,D,20140328,000000,10.513,10.709,10.513,10.709,784,0
MFO,D,20140331,000000,10.709,10.834,10.53,10.834,6000,0
MFO,D,20140401,000000,10.664,10.992,10.664,10.992,1464,0
MFO,D,20140402,000000,10.664,10.921,10.664,10.921,76,0
MFO,D,20140403,000000,10.682,10.921,10.682,10.682,2779,0
MFO,D,20140404,000000,10.842,10.842,10.664,10.834,671,0
MFO,D,20140407,000000,10.798,10.798,10.682,10.798,86,0
MFO,D,20140408,000000,10.798,10.798,10.664,10.664,1079,0
MFO,D,20140409,000000,10.575,10.664,10.575,10.664,60,0
MFO,D,20140410,000000,10.674,10.674,10.664,10.664,371,0
MFO,D,20140411,000000,10.734,10.734,10.734,10.734,1,0
MFO,D,20140414,000000,10.754,10.754,10.309,10.646,2459,0
MFO,D,20140415,000000,10.309,10.664,9.954,9.954,1327,0
MFO,D,20140416,000000,10.61,10.61,10.06,10.477,733,0
MFO,D,20140417,000000,10.567,10.567,10.282,10.282,59,0
MFO,D,20140422,000000,10.042,10.53,10.042,10.487,551,0
MFO,D,20140423,000000,10.078,10.086,10.078,10.086,127,0
MFO,D,20140424,000000,10.096,10.096,10.078,10.078,630,0
MFO,D,20140425,000000,10.086,10.3,10.078,10.3,678,0
MFO,D,20140428,000000,10.263,10.263,9.954,10.22,1053,0
MFO,D,20140429,000000,10.22,10.263,9.962,9.962,699,0
MFO,D,20140502,000000,10.015,10.256,10.015,10.256,102,0
MFO,D,20140505,000000,10.025,10.025,9.686,9.686,2459,0
MFO,D,20140506,000000,9.1709,9.776,9.1709,9.686,349,0
MFO,D,20140507,000000,9.599,9.599,9.599,9.599,2250,0
MFO,D,20140508,000000,9.686,9.91,9.686,9.91,2516,0
MFO,D,20140509,000000,9.91,9.91,9.91,9.91,21,0
MFO,D,20140513,000000,9.91,10.042,9.776,10.042,1635,0
MFO,D,20140514,000000,10.263,10.263,9.776,10.263,5841,0
MFO,D,20140515,000000,10.291,10.443,9.891,10.22,2650,0
MFO,D,20140516,000000,10.22,10.22,9.776,10.22,1643,0
MFO,D,20140519,000000,9.881,10.202,9.873,10.202,365,0
MFO,D,20140520,000000,9.785,10.176,9.785,10.176,258,0
MFO,D,20140521,000000,9.811,10.086,9.802,10.086,1132,0
MFO,D,20140522,000000,9.998,9.998,9.856,9.856,1116,0
MFO,D,20140523,000000,9.776,9.954,9.776,9.945,1171,0
MFO,D,20140526,000000,9.866,9.866,9.785,9.811,756,0
MFO,D,20140527,000000,9.776,9.776,9.4287,9.643,828,0
MFO,D,20140528,000000,9.643,9.643,9.643,9.643,1716,0
MFO,D,20140529,000000,9.614,9.614,9.2604,9.332,1656,0
MFO,D,20140530,000000,9.776,9.776,9.4649,9.4649,1697,0
MFO,D,20140602,000000,9.776,9.776,9.776,9.776,1126,0
MFO,D,20140603,000000,9.82,9.954,9.4199,9.891,9389,0
MFO,D,20140604,000000,9.776,9.776,9.776,9.776,21,0
MFO,D,20140605,000000,9.9,10.131,9.9,10.131,422,0
MFO,D,20140609,000000,9.91,10.157,9.91,10.157,825,0
MFO,D,20140610,000000,9.91,10.22,9.91,10.006,1715,0
MFO,D,20140611,000000,10.006,10.078,9.776,10.078,1539,0
MFO,D,20140612,000000,10.078,10.078,9.776,9.776,1350,0
MFO,D,20140613,000000,9.776,9.776,9.686,9.686,563,0
MFO,D,20140616,000000,10.033,10.033,10.033,10.033,5,0
MFO,D,20140617,000000,9.776,9.776,9.776,9.776,193,0
MFO,D,20140618,000000,10.015,10.015,10.015,10.015,37,0
MFO,D,20140620,000000,9.686,10.025,9.599,10.025,489,0
MFO,D,20140626,000000,9.998,9.998,9.509,9.98,380,0
MFO,D,20140701,000000,9.633,9.98,9.633,9.98,342,0
MFO,D,20140702,000000,9.954,9.954,9.954,9.954,21,0
MFO,D,20140703,000000,9.954,9.954,9.643,9.945,1505,0
MFO,D,20140704,000000,9.945,9.945,9.652,9.926,62,0
MFO,D,20140707,000000,9.918,9.926,9.866,9.866,180,0
MFO,D,20140708,000000,9.998,9.998,9.954,9.954,118,0
MFO,D,20140709,000000,9.998,9.998,9.998,9.998,447,0
MFO,D,20140710,000000,9.998,9.998,9.776,9.776,11,0
MFO,D,20140711,000000,9.91,9.91,9.652,9.652,48,0
MFO,D,20140715,000000,9.686,9.686,9.686,9.686,1126,0
MFO,D,20140716,000000,9.686,9.686,9.652,9.652,1082,0
MFO,D,20140717,000000,9.652,9.652,9.599,9.643,689,0
MFO,D,20140721,000000,9.3417,9.599,9.3417,9.599,38,0
MFO,D,20140723,000000,9.2958,9.509,9.2958,9.4199,872,0
MFO,D,20140724,000000,9.589,9.589,9.2958,9.2958,570,0
MFO,D,20140725,000000,9.2519,9.2519,9.2519,9.2519,12,0
MFO,D,20140728,000000,8.8161,9.2331,8.8161,9.2331,133,0
MFO,D,20140729,000000,9.153,9.599,9.153,9.599,1893,0
MFO,D,20140730,000000,9.599,9.599,9.2426,9.599,208,0
