<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGT,D,20050304,000000,9.3877,9.685,8.5311,9.4994,51611,0
MGT,D,20050307,000000,9.3877,9.611,9.3877,9.3877,8354,0
MGT,D,20050308,000000,9.3877,9.3877,8.9407,8.9407,1658,0
MGT,D,20050309,000000,8.7908,8.7908,8.2698,8.4926,13944,0
MGT,D,20050310,000000,8.4183,8.4183,7.6736,7.823,27400,0
MGT,D,20050311,000000,7.6736,7.785,7.4499,7.7479,15441,0
MGT,D,20050314,000000,7.5617,7.5992,7.4874,7.4874,14185,0
MGT,D,20050315,000000,7.4874,7.823,7.4874,7.7107,5510,0
MGT,D,20050316,000000,7.5617,7.6368,7.4874,7.4874,3385,0
MGT,D,20050317,000000,7.3381,7.4131,7.3013,7.4131,10234,0
MGT,D,20050318,000000,7.1894,7.2266,7.0403,7.0775,17198,0
MGT,D,20050321,000000,7.0775,7.4131,7.0403,7.4131,16040,0
MGT,D,20050322,000000,7.1148,7.3381,7.1148,7.3381,1996,0
MGT,D,20050323,000000,7.3381,7.3757,7.1521,7.3381,3959,0
MGT,D,20050324,000000,7.3757,7.4131,7.2266,7.4131,2214,0
MGT,D,20050329,000000,7.3013,7.3757,7.2639,7.3757,466,0
MGT,D,20050330,000000,7.3013,7.3013,7.1521,7.1521,1554,0
MGT,D,20050331,000000,7.1894,7.3757,7.1521,7.3757,5690,0
MGT,D,20050404,000000,7.2266,7.3381,7.1894,7.3381,450,0
MGT,D,20050405,000000,7.3381,7.3381,7.3381,7.3381,1341,0
MGT,D,20050406,000000,7.2639,7.2639,7.2639,7.2639,454,0
MGT,D,20050407,000000,7.2639,7.2639,7.2266,7.2266,253,0
MGT,D,20050411,000000,7.2266,7.2639,7.2266,7.2639,475,0
MGT,D,20050412,000000,7.2266,7.2266,7.0775,7.0775,1065,0
MGT,D,20050413,000000,7.1148,7.1148,7.0775,7.0775,1549,0
MGT,D,20050414,000000,7.0775,7.0775,7.0775,7.0775,269,0
MGT,D,20050415,000000,7.0403,7.0403,7.0403,7.0403,269,0
MGT,D,20050418,000000,6.7796,6.7796,5.9601,6.0346,10432,0
MGT,D,20050419,000000,6.0346,6.0346,5.811,5.9601,4360,0
MGT,D,20050420,000000,5.7366,5.9229,5.364,5.8856,2669,0
MGT,D,20050421,000000,5.4386,5.8483,5.4386,5.8483,8517,0
MGT,D,20050422,000000,5.5132,5.5504,5.3268,5.3268,12599,0
MGT,D,20050425,000000,5.0661,5.2151,4.9171,5.0661,9438,0
MGT,D,20050426,000000,5.1034,5.5876,5.0661,5.5132,4213,0
MGT,D,20050427,000000,5.4759,5.811,5.4386,5.5504,9662,0
MGT,D,20050428,000000,5.811,5.9601,5.662,5.662,11919,0
MGT,D,20050429,000000,5.7366,8.9407,5.6993,6.3699,19092,0
MGT,D,20050502,000000,6.5933,7.9345,6.5933,7.6736,39700,0
MGT,D,20050504,000000,8.0088,8.4183,7.5992,7.5992,31134,0
MGT,D,20050505,000000,7.785,7.823,7.0403,7.1148,15268,0
MGT,D,20050506,000000,7.0031,7.0403,6.3326,7.0403,22226,0
MGT,D,20050509,000000,6.7796,6.9287,6.5189,6.8541,8409,0
MGT,D,20050510,000000,7.0031,7.0031,6.556,6.5933,793,0
MGT,D,20050511,000000,6.7424,7.0403,6.556,6.8541,6673,0
MGT,D,20050512,000000,6.9659,7.0031,6.7051,6.9287,1487,0
MGT,D,20050513,000000,6.9287,6.9659,6.6306,6.8169,6430,0
MGT,D,20050516,000000,6.6678,6.7051,6.4444,6.7051,3117,0
MGT,D,20050517,000000,6.7051,6.7051,6.3326,6.6678,3690,0
MGT,D,20050518,000000,6.4817,6.8914,6.4817,6.5933,7039,0
MGT,D,20050519,000000,6.5189,6.7051,6.5189,6.5933,4779,0
MGT,D,20050520,000000,6.5933,6.8169,6.5933,6.7051,11920,0
MGT,D,20050523,000000,6.7051,6.7051,6.6678,6.6678,1939,0
MGT,D,20050524,000000,6.6306,6.6306,6.6306,6.6306,2615,0
MGT,D,20050525,000000,6.7051,6.7424,6.7051,6.7424,389,0
MGT,D,20050527,000000,6.7051,6.7796,6.7051,6.7424,2673,0
MGT,D,20050530,000000,6.7051,7.1894,6.7051,7.1894,4857,0
MGT,D,20050531,000000,6.9287,7.1148,6.9287,7.1148,1221,0
MGT,D,20050601,000000,6.8914,6.8914,6.8541,6.8541,1068,0
MGT,D,20050602,000000,6.8541,7.0775,6.7051,7.0775,5426,0
MGT,D,20050603,000000,7.1894,7.4499,7.0775,7.1521,8214,0
MGT,D,20050606,000000,7.4499,7.6736,7.3381,7.6736,11094,0
MGT,D,20050607,000000,7.7479,7.7479,7.5992,7.5992,5359,0
MGT,D,20050608,000000,7.5992,7.8974,7.5992,7.8974,9514,0
MGT,D,20050609,000000,7.8974,7.8974,7.6736,7.823,1575,0
MGT,D,20050610,000000,7.823,7.823,7.5992,7.5992,1448,0
MGT,D,20050613,000000,7.5617,7.5617,7.5249,7.5249,4517,0
MGT,D,20050614,000000,7.3013,7.3757,7.1894,7.3013,813,0
MGT,D,20050615,000000,7.4131,7.4131,7.4131,7.4131,269,0
MGT,D,20050616,000000,7.4131,7.4131,7.4131,7.4131,268,0
MGT,D,20050620,000000,7.4499,7.4499,7.2266,7.2266,2685,0
MGT,D,20050621,000000,7.1148,7.1148,7.1148,7.1148,761,0
MGT,D,20050622,000000,7.0775,7.3757,7.0403,7.3757,6950,0
MGT,D,20050623,000000,7.1148,7.3757,7.0775,7.2639,5186,0
MGT,D,20050624,000000,7.1148,7.3381,7.1148,7.3381,1637,0
MGT,D,20050627,000000,7.3757,7.3757,7.0775,7.0775,5240,0
