<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNC,D,19980402,000000,1.6612,1.6612,1.6612,1.6612,0,0
MNC,D,19980407,000000,2.0062,2.0062,2.0062,2.0062,963396,0
MNC,D,19980408,000000,1.9424,1.9424,1.9424,1.9424,484468,0
MNC,D,19980409,000000,1.8531,1.8531,1.8531,1.8531,328469,0
MNC,D,19980414,000000,1.7886,1.7886,1.7886,1.7886,251982,0
MNC,D,19980415,000000,1.8209,1.8209,1.8209,1.8209,189584,0
MNC,D,19980416,000000,1.8786,1.8786,1.8786,1.8786,119460,0
MNC,D,19980417,000000,1.8531,1.8531,1.8531,1.8531,123222,0
MNC,D,19980420,000000,1.9168,1.9168,1.9168,1.9168,135336,0
MNC,D,19980421,000000,1.7886,1.7886,1.7886,1.7886,111216,0
MNC,D,19980422,000000,1.7955,1.7955,1.7955,1.7955,142686,0
MNC,D,19980423,000000,1.8209,1.8209,1.8209,1.8209,99965,0
MNC,D,19980424,000000,1.8973,1.8973,1.8973,1.8973,181036,0
MNC,D,19980427,000000,1.8531,1.8531,1.8531,1.8531,185963,0
MNC,D,19980428,000000,1.7886,1.7886,1.7886,1.7886,186925,0
MNC,D,19980429,000000,1.7886,1.7886,1.7886,1.7886,99728,0
MNC,D,19980430,000000,1.7886,1.7886,1.7886,1.7886,67743,0
MNC,D,19980504,000000,1.7886,1.7886,1.7886,1.7886,68816,0
MNC,D,19980505,000000,1.7886,1.7886,1.7886,1.7886,130126,0
MNC,D,19980506,000000,1.7249,1.7249,1.7249,1.7249,58525,0
MNC,D,19980507,000000,1.7249,1.7249,1.7249,1.7249,62649,0
MNC,D,19980508,000000,1.6552,1.6552,1.6552,1.6552,233044,0
MNC,D,19980511,000000,1.6678,1.6678,1.6678,1.6678,141350,0
MNC,D,19980512,000000,1.6612,1.6612,1.6612,1.6612,100759,0
MNC,D,19980513,000000,1.5015,1.5015,1.5015,1.5015,179934,0
MNC,D,19980514,000000,1.5015,1.5015,1.5015,1.5015,212549,0
MNC,D,19980515,000000,1.5015,1.5015,1.5015,1.5015,190866,0
MNC,D,19980518,000000,1.4954,1.4954,1.4954,1.4954,57635,0
MNC,D,19980519,000000,1.4692,1.4692,1.4692,1.4692,118347,0
MNC,D,19980520,000000,1.3222,1.3222,1.3222,1.3222,246093,0
MNC,D,19980521,000000,1.4376,1.4376,1.4376,1.4376,407701,0
MNC,D,19980522,000000,1.4954,1.4954,1.4954,1.4954,416908,0
MNC,D,19980525,000000,1.4054,1.4054,1.4054,1.4054,63315,0
MNC,D,19980526,000000,1.3994,1.3994,1.3994,1.3994,139179,0
MNC,D,19980527,000000,1.3416,1.3416,1.3416,1.3416,185922,0
MNC,D,19980528,000000,1.2781,1.2781,1.2781,1.2781,251174,0
MNC,D,19980529,000000,1.3162,1.3162,1.3162,1.3162,156346,0
MNC,D,19980601,000000,1.2713,1.2713,1.2713,1.2713,132465,0
MNC,D,19980602,000000,1.1818,1.1818,1.1818,1.1818,179504,0
MNC,D,19980603,000000,1.1947,1.1947,1.1947,1.1947,255617,0
MNC,D,19980604,000000,1.2458,1.2458,1.2458,1.2458,261089,0
MNC,D,19980605,000000,1.233,1.233,1.233,1.233,233477,0
MNC,D,19980608,000000,1.2458,1.2458,1.2458,1.2458,129388,0
MNC,D,19980609,000000,1.2458,1.2458,1.2458,1.2458,204207,0
MNC,D,19980610,000000,1.2074,1.2074,1.2074,1.2074,163155,0
MNC,D,19980615,000000,1.0927,1.0927,1.0927,1.0927,183403,0
MNC,D,19980616,000000,1.0859,1.0859,1.0859,1.0859,331617,0
MNC,D,19980617,000000,1.1886,1.1886,1.1886,1.1886,117607,0
MNC,D,19980618,000000,1.2142,1.2142,1.2142,1.2142,311970,0
MNC,D,19980619,000000,1.2524,1.2524,1.2524,1.2524,287992,0
MNC,D,19980622,000000,1.3095,1.3095,1.3095,1.3095,265336,0
MNC,D,19980623,000000,1.3672,1.3672,1.3672,1.3672,215652,0
MNC,D,19980624,000000,1.3416,1.3416,1.3416,1.3416,216222,0
