<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOL,D,19951211,000000,1.6722,1.7025,1.6722,1.7025,7646,0
MOL,D,19951212,000000,1.6835,1.6921,1.6766,1.6921,10364,0
MOL,D,19951222,000000,1.6133,1.6584,1.6133,1.6584,32841,0
MOL,D,19951227,000000,1.6037,1.6722,1.6037,1.6722,45188,0
MOL,D,19951228,000000,1.6766,1.6912,1.6532,1.6912,55171,0
MOL,D,19951229,000000,1.6933,1.7009,1.6933,1.6933,51204,0
MOL,D,19960104,000000,1.7287,1.8667,1.7287,1.8588,16126,0
MOL,D,19960105,000000,1.9768,2.3101,1.9768,2.1608,10907,0
MOL,D,19960108,000000,2.2181,2.3404,2.2181,2.2953,76760,0
MOL,D,19960109,000000,2.2972,2.2972,2.1444,2.2972,39163,0
MOL,D,19960110,000000,2.2217,2.2746,2.2138,2.2598,29915,0
MOL,D,19960111,000000,2.1896,2.205,2.1512,2.1669,9920,0
MOL,D,19960112,000000,2.074,2.1504,2.0212,2.1191,36636,0
MOL,D,19960115,000000,2.0679,2.1278,2.0514,2.1053,19070,0
MOL,D,19960116,000000,2.1079,2.1999,2.1079,2.1922,14622,0
MOL,D,19960117,000000,2.1808,2.2119,2.1357,2.1739,4511,0
MOL,D,19960118,000000,2.127,2.1957,2.127,2.173,11397,0
MOL,D,19960119,000000,2.1781,2.2241,2.1556,2.1937,15745,0
MOL,D,19960122,000000,2.205,2.2278,2.205,2.205,30720,0
MOL,D,19960123,000000,2.2042,2.2659,2.2042,2.2659,26562,0
MOL,D,19960124,000000,2.2398,2.2997,2.2398,2.2703,103159,0
MOL,D,19960125,000000,2.3031,2.364,2.2806,2.3336,84461,0
MOL,D,19960126,000000,2.3144,2.3144,2.2997,2.3144,25539,0
MOL,D,19960129,000000,2.311,2.4004,2.311,2.4004,20810,0
MOL,D,19960130,000000,2.4116,2.6382,2.4116,2.6226,20727,0
MOL,D,19960131,000000,2.6268,2.6798,2.6268,2.6798,54710,0
MOL,D,19960201,000000,2.6884,2.719,2.6432,2.6806,58814,0
MOL,D,19960202,000000,2.6781,2.6781,2.5879,2.6252,35242,0
MOL,D,19960205,000000,2.6146,2.6294,2.599,2.6226,16089,0
MOL,D,19960206,000000,2.5731,2.5879,2.5425,2.5731,14423,0
MOL,D,19960207,000000,2.5487,2.5722,2.5487,2.5644,5934,0
MOL,D,19960208,000000,2.548,2.5619,2.54,2.5619,15238,0
MOL,D,19960209,000000,2.5731,2.7164,2.5731,2.6554,66777,0
MOL,D,19960212,000000,2.6094,2.6929,2.5948,2.6625,9838,0
MOL,D,19960213,000000,2.6372,2.6747,2.599,2.645,27749,0
MOL,D,19960214,000000,2.6113,2.626,2.5505,2.626,36202,0
MOL,D,19960215,000000,2.5781,2.5781,2.2755,2.3586,16914,0
MOL,D,19960216,000000,2.2623,2.3231,2.1114,2.1722,8561,0
MOL,D,19960219,000000,2.1539,2.1617,2.0342,2.1243,39163,0
MOL,D,19960220,000000,2.141,2.141,2.0653,2.0653,2501,0
MOL,D,19960221,000000,2.1053,2.1886,2.0907,2.1886,2980,0
MOL,D,19960222,000000,2.2683,2.3586,2.2683,2.344,11633,0
MOL,D,19960223,000000,2.4073,2.5879,2.4073,2.5574,34726,0
MOL,D,19960226,000000,2.5937,2.6849,2.5937,2.6625,7456,0
MOL,D,19960227,000000,2.6416,2.6416,2.521,2.5582,17530,0
MOL,D,19960228,000000,2.521,2.5964,2.521,2.5808,20538,0
MOL,D,19960229,000000,2.5548,2.5627,2.5177,2.54,10681,0
MOL,D,19960301,000000,2.5513,2.5972,2.5513,2.5895,9404,0
MOL,D,19960304,000000,2.5801,2.6711,2.5801,2.6711,35576,0
MOL,D,19960305,000000,2.658,2.8316,2.658,2.7944,29824,0
MOL,D,19960306,000000,2.7926,2.8908,2.7926,2.8299,38838,0
MOL,D,19960307,000000,2.8116,2.8116,2.7508,2.789,8959,0
MOL,D,19960308,000000,2.7346,2.7346,2.6503,2.658,50108,0
MOL,D,19960311,000000,2.5834,2.5834,2.4699,2.5687,4167,0
MOL,D,19960312,000000,2.658,2.7346,2.5818,2.7032,2736,0
MOL,D,19960313,000000,2.647,2.6694,2.6389,2.647,1703,0
MOL,D,19960314,000000,2.705,2.7431,2.6824,2.7431,17566,0
MOL,D,19960318,000000,2.7215,2.7587,2.7058,2.7215,24034,0
MOL,D,19960319,000000,2.6971,2.6971,2.5687,2.5756,18853,0
MOL,D,19960320,000000,2.5678,2.5749,2.5522,2.5678,4575,0
MOL,D,19960321,000000,2.586,2.586,2.4802,2.4957,12239,0
MOL,D,19960322,000000,2.5237,2.5237,2.3493,2.3796,22206,0
MOL,D,19960325,000000,2.4957,2.4957,2.4272,2.4272,19713,0
MOL,D,19960326,000000,2.435,2.435,2.3821,2.3821,15392,0
MOL,D,19960327,000000,2.3562,2.3562,2.3188,2.3562,70627,0
MOL,D,19960328,000000,2.4204,2.4204,2.2832,2.2832,13499,0
MOL,D,19960329,000000,2.3091,2.3473,2.272,2.3091,8207,0
MOL,D,19960401,000000,2.3197,2.3268,2.2972,2.2972,13625,0
MOL,D,19960402,000000,2.3353,2.3353,2.2302,2.2302,19377,0
MOL,D,19960403,000000,2.2616,2.2762,2.2535,2.2762,14286,0
MOL,D,19960404,000000,2.3431,2.3431,2.2823,2.2979,11278,0
MOL,D,19960405,000000,2.3091,2.3847,2.2943,2.3396,3841,0
MOL,D,19960409,000000,2.364,2.3786,2.2573,2.311,9358,0
MOL,D,19960410,000000,2.3006,2.3084,2.2934,2.3084,3225,0
MOL,D,19960411,000000,2.311,2.311,2.16,2.2207,10835,0
MOL,D,19960412,000000,2.272,2.272,2.2104,2.2407,18156,0
MOL,D,19960415,000000,2.2858,2.2934,2.2554,2.2633,12928,0
MOL,D,19960416,000000,2.3239,2.3317,2.272,2.3013,12157,0
MOL,D,19960417,000000,2.3188,2.3188,2.1365,2.1896,25320,0
MOL,D,19960418,000000,2.2337,2.272,2.2337,2.2561,20475,0
MOL,D,19960419,000000,2.2676,2.3735,2.2676,2.3353,45877,0
MOL,D,19960422,000000,2.3569,2.395,2.3345,2.3569,20864,0
MOL,D,19960423,000000,2.4047,2.4047,2.3448,2.3744,20383,0
MOL,D,19960424,000000,2.3831,2.3831,2.3534,2.3753,13671,0
MOL,D,19960425,000000,2.3925,2.43,2.3847,2.4229,10246,0
MOL,D,19960426,000000,2.4376,2.4524,2.4152,2.4456,12746,0
MOL,D,19960429,000000,2.4498,2.4655,2.4429,2.4498,5997,0
MOL,D,19960430,000000,2.4254,2.4557,2.4187,2.4187,7574,0
MOL,D,19960502,000000,2.3944,2.4011,2.3944,2.3944,11297,0
MOL,D,19960503,000000,2.4134,2.4584,2.4134,2.4508,14695,0
MOL,D,19960506,000000,2.4446,2.4594,2.4368,2.4515,11850,0
MOL,D,19960507,000000,2.4456,2.4456,2.4229,2.4229,18526,0
MOL,D,19960508,000000,2.4533,2.5513,2.4386,2.5062,30720,0
MOL,D,19960509,000000,2.5237,2.5619,2.5088,2.5539,21797,0
MOL,D,19960510,000000,2.5608,2.5608,2.4699,2.4699,9385,0
MOL,D,19960513,000000,2.4908,2.5574,2.4456,2.5574,15247,0
MOL,D,19960514,000000,2.6146,2.8758,2.6146,2.8533,102091,0
MOL,D,19960515,000000,3.0209,3.0209,2.7198,2.7798,34398,0
MOL,D,19960516,000000,2.7813,2.797,2.7215,2.7438,19750,0
MOL,D,19960517,000000,2.7249,2.7249,2.634,2.6564,11089,0
MOL,D,19960520,000000,2.6475,2.7164,2.6475,2.6929,12076,0
MOL,D,19960521,000000,2.711,2.7258,2.6806,2.6806,40233,0
MOL,D,19960522,000000,2.7119,2.7119,2.6364,2.6815,17177,0
MOL,D,19960523,000000,2.6546,2.6702,2.632,2.6399,12955,0
MOL,D,19960524,000000,2.6294,2.7276,2.5842,2.6598,30195,0
MOL,D,19960528,000000,2.6355,2.6355,2.6208,2.6355,17566,0
MOL,D,19960529,000000,2.6276,2.6806,2.6276,2.6659,13734,0
MOL,D,19960530,000000,2.6694,2.7077,2.6616,2.6764,13707,0
MOL,D,19960531,000000,2.6399,2.6475,2.6242,2.6242,4548,0
MOL,D,19960603,000000,2.6572,2.6798,2.6572,2.6572,12719,0
MOL,D,19960604,000000,2.6668,2.7119,2.6668,2.6815,27576,0
MOL,D,19960605,000000,2.6633,2.6633,2.6475,2.6475,9032,0
MOL,D,19960606,000000,2.6276,2.6276,2.5062,2.6051,13290,0
MOL,D,19960607,000000,2.5852,2.5852,2.5097,2.54,4421,0
MOL,D,19960610,000000,2.5436,2.5808,2.5055,2.5662,4774,0
MOL,D,19960611,000000,2.5731,2.5731,2.4974,2.5349,10445,0
MOL,D,19960612,000000,2.5531,2.5766,2.5531,2.5695,12112,0
