<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRB,D,20081229,000000,1.1166,2.1804,1.0991,2.1804,212366,0
MRB,D,20081230,000000,1.6793,2.031,1.6617,1.7144,266252,0
MRB,D,20081231,000000,1.6705,2.1804,1.6705,2.1804,218958,0
MRB,D,20090105,000000,2.1189,2.2948,1.9343,2.0221,167996,0
MRB,D,20090106,000000,1.9518,2.0046,1.8463,1.8463,77723,0
MRB,D,20090107,000000,1.7584,2.0134,1.6793,1.8112,111764,0
MRB,D,20090108,000000,1.9079,1.9079,1.8463,1.8463,32440,0
MRB,D,20090109,000000,1.8463,1.8639,1.7584,1.8288,39747,0
MRB,D,20090112,000000,1.8463,1.8551,1.6793,1.6881,26576,0
MRB,D,20090113,000000,1.6705,1.6705,1.5122,1.6177,30602,0
MRB,D,20090114,000000,1.6442,1.6442,1.4155,1.4946,46682,0
MRB,D,20090115,000000,1.3364,1.5298,1.3364,1.3364,62115,0
MRB,D,20090116,000000,1.4595,1.4595,1.3715,1.4507,23730,0
MRB,D,20090119,000000,1.4507,1.477,1.4155,1.4155,20868,0
MRB,D,20090120,000000,1.4507,1.4507,1.3364,1.398,24014,0
MRB,D,20090121,000000,1.398,1.4507,1.3628,1.4507,49249,0
MRB,D,20090122,000000,1.4507,1.4507,1.4331,1.4419,34054,0
MRB,D,20090123,000000,1.477,1.477,1.3628,1.4507,100859,0
MRB,D,20090126,000000,1.4859,1.4859,1.4155,1.4859,116373,0
MRB,D,20090127,000000,1.4859,1.5211,1.4859,1.4859,65889,0
MRB,D,20090128,000000,1.4859,1.5122,1.4507,1.4946,128187,0
MRB,D,20090129,000000,1.4859,1.4859,1.4684,1.4859,72003,0
MRB,D,20090130,000000,1.5122,1.5211,1.477,1.5122,68165,0
MRB,D,20090202,000000,1.5122,1.5122,1.4507,1.5035,32436,0
MRB,D,20090203,000000,1.5035,1.5035,1.4419,1.4946,34596,0
MRB,D,20090204,000000,1.5035,1.5035,1.4507,1.5035,39365,0
MRB,D,20090205,000000,1.5035,1.5035,1.4859,1.4946,53276,0
MRB,D,20090206,000000,1.5035,1.5211,1.4946,1.5211,56267,0
MRB,D,20090209,000000,1.4507,1.5122,1.4507,1.5122,19108,0
MRB,D,20090210,000000,1.5122,1.5122,1.4859,1.4946,18405,0
MRB,D,20090211,000000,1.4946,1.4946,1.4684,1.4946,19586,0
MRB,D,20090212,000000,1.4946,1.5035,1.4859,1.5035,29447,0
MRB,D,20090213,000000,1.5035,1.5738,1.4595,1.5386,77834,0
MRB,D,20090216,000000,1.5386,1.5474,1.5122,1.5386,70031,0
MRB,D,20090217,000000,1.5386,1.5386,1.4859,1.5298,36250,0
MRB,D,20090218,000000,1.5386,1.5386,1.5211,1.5298,23715,0
MRB,D,20090219,000000,1.5298,1.5474,1.5035,1.5386,26128,0
MRB,D,20090220,000000,1.5386,1.5386,1.4946,1.5211,16406,0
MRB,D,20090223,000000,1.5386,1.5386,1.4946,1.5298,14568,0
MRB,D,20090224,000000,1.5298,1.5298,1.4946,1.5211,12795,0
MRB,D,20090225,000000,1.5298,1.5386,1.5035,1.5211,26621,0
MRB,D,20090226,000000,1.5298,1.5298,1.5211,1.5298,13547,0
MRB,D,20090227,000000,1.5211,1.5211,1.4859,1.4859,20019,0
MRB,D,20090302,000000,1.5211,1.5211,1.4684,1.4859,13085,0
MRB,D,20090303,000000,1.4859,1.4946,1.4684,1.4946,6642,0
MRB,D,20090304,000000,1.4859,1.4946,1.4595,1.4859,15662,0
MRB,D,20090305,000000,1.4859,1.4859,1.4507,1.477,29259,0
MRB,D,20090306,000000,1.4859,1.4859,1.4331,1.4331,61558,0
MRB,D,20090309,000000,1.4946,1.4946,1.4419,1.4859,25472,0
MRB,D,20090310,000000,1.4859,1.4946,1.477,1.4859,7871,0
MRB,D,20090311,000000,1.5035,1.5122,1.4859,1.4946,40082,0
MRB,D,20090312,000000,1.4946,1.5122,1.4507,1.5035,15934,0
MRB,D,20090313,000000,1.5122,1.5211,1.5122,1.5211,18007,0
MRB,D,20090316,000000,1.5211,1.5211,1.5122,1.5211,14721,0
MRB,D,20090317,000000,1.5122,1.5211,1.4946,1.5211,46538,0
MRB,D,20090318,000000,1.5211,1.5211,1.4859,1.5122,40708,0
MRB,D,20090319,000000,1.5122,1.5122,1.4859,1.5035,41217,0
MRB,D,20090320,000000,1.5122,1.5211,1.5035,1.5122,24804,0
MRB,D,20090323,000000,1.5211,1.5211,1.4946,1.5211,13193,0
MRB,D,20090324,000000,1.5211,1.5211,1.477,1.5035,16401,0
MRB,D,20090325,000000,1.5122,1.5122,1.4946,1.5035,35856,0
MRB,D,20090326,000000,1.5035,1.5035,1.4684,1.5035,17187,0
MRB,D,20090327,000000,1.4946,1.4946,1.4859,1.4946,10904,0
MRB,D,20090330,000000,1.4859,1.5035,1.4684,1.5035,42506,0
MRB,D,20090331,000000,1.5035,1.5035,1.4946,1.5035,15127,0
MRB,D,20090401,000000,1.4946,1.5474,1.4684,1.5035,157379,0
MRB,D,20090402,000000,1.5211,1.5211,1.477,1.5035,41655,0
MRB,D,20090403,000000,1.5035,1.5035,1.4684,1.4684,27706,0
MRB,D,20090406,000000,1.4684,1.5035,1.4595,1.4946,40934,0
MRB,D,20090407,000000,1.5035,1.5211,1.4946,1.5122,33058,0
MRB,D,20090408,000000,1.5211,1.5474,1.4946,1.5298,106122,0
MRB,D,20090409,000000,1.5386,1.6266,1.5298,1.6177,343644,0
MRB,D,20090414,000000,1.5826,1.6353,1.5211,1.5826,358535,0
MRB,D,20090415,000000,1.5914,1.5914,1.5386,1.5738,62254,0
MRB,D,20090416,000000,1.5914,1.5914,1.5562,1.5738,43127,0
MRB,D,20090417,000000,1.5826,1.6177,1.5474,1.6177,56922,0
MRB,D,20090420,000000,1.6177,1.6266,1.5826,1.6177,83740,0
MRB,D,20090421,000000,1.6266,1.6266,1.5826,1.6266,69621,0
MRB,D,20090422,000000,1.6177,1.6266,1.5826,1.6266,57994,0
MRB,D,20090423,000000,1.6266,1.6266,1.609,1.6266,11525,0
MRB,D,20090424,000000,1.6266,1.6266,1.5562,1.5826,57674,0
MRB,D,20090427,000000,1.6001,1.6001,1.5562,1.5826,32835,0
MRB,D,20090428,000000,1.5474,1.5826,1.5386,1.5562,14128,0
MRB,D,20090429,000000,1.565,1.5914,1.5562,1.5914,17964,0
MRB,D,20090430,000000,1.5914,1.609,1.5562,1.5914,22544,0
MRB,D,20090504,000000,1.6001,1.609,1.5562,1.5826,22592,0
MRB,D,20090505,000000,1.5914,1.5914,1.5386,1.5738,17528,0
MRB,D,20090506,000000,1.6266,1.7321,1.6266,1.7321,682886,0
MRB,D,20090507,000000,1.7673,1.7935,1.7057,1.7232,397110,0
MRB,D,20090508,000000,1.7497,1.7584,1.6793,1.7584,190981,0
MRB,D,20090511,000000,1.7584,1.9166,1.7144,1.8639,554975,0
MRB,D,20090512,000000,1.9166,1.9166,1.8463,1.8815,71047,0
MRB,D,20090513,000000,1.9166,1.9166,1.7057,1.7935,129967,0
MRB,D,20090514,000000,1.7935,1.8112,1.7144,1.8112,73836,0
MRB,D,20090515,000000,1.8288,1.8288,1.7408,1.8024,124817,0
MRB,D,20090518,000000,1.7584,1.8024,1.7321,1.8024,62049,0
MRB,D,20090519,000000,1.7848,1.8024,1.7408,1.7584,46933,0
MRB,D,20090520,000000,1.7584,1.7673,1.6969,1.7497,70427,0
MRB,D,20090521,000000,1.7584,1.7848,1.7408,1.7848,89481,0
MRB,D,20090522,000000,1.7848,1.8112,1.7144,1.7408,47077,0
MRB,D,20090525,000000,1.7848,1.7848,1.6705,1.7408,30425,0
MRB,D,20090526,000000,1.7408,1.7408,1.6266,1.6442,71686,0
MRB,D,20090527,000000,1.6617,1.6969,1.6177,1.6793,52164,0
MRB,D,20090528,000000,1.6969,1.6969,1.6266,1.6617,50270,0
MRB,D,20090529,000000,1.6617,1.7144,1.6617,1.7057,44109,0
MRB,D,20090601,000000,1.6881,1.7408,1.6705,1.6705,43183,0
MRB,D,20090602,000000,1.6969,1.7057,1.6793,1.6881,26889,0
MRB,D,20090603,000000,1.7321,1.7321,1.6705,1.6881,32799,0
MRB,D,20090604,000000,1.6881,1.6881,1.6705,1.6881,30285,0
MRB,D,20090605,000000,1.7321,1.7321,1.6705,1.6969,25307,0
MRB,D,20090608,000000,1.6881,1.6969,1.6177,1.6177,52093,0
MRB,D,20090609,000000,1.6266,1.6969,1.609,1.6617,46802,0
MRB,D,20090610,000000,1.6528,1.7848,1.6266,1.6793,159275,0
MRB,D,20090612,000000,1.6881,1.6969,1.6353,1.6705,50756,0
MRB,D,20090615,000000,1.6617,1.6793,1.6266,1.6617,31950,0
MRB,D,20090616,000000,1.6617,1.6617,1.6177,1.6442,16014,0
MRB,D,20090617,000000,1.6528,1.6528,1.5826,1.609,25518,0
MRB,D,20090618,000000,1.609,1.6353,1.5562,1.5562,37002,0
MRB,D,20090619,000000,1.5474,1.5738,1.5474,1.5738,73194,0
MRB,D,20090622,000000,1.6177,1.6177,1.5298,1.565,69398,0
MRB,D,20090623,000000,1.5826,1.5826,1.5211,1.5211,35510,0
MRB,D,20090624,000000,1.5474,1.565,1.5386,1.565,40191,0
MRB,D,20090625,000000,1.565,1.6705,1.4946,1.6266,70119,0
MRB,D,20090626,000000,1.6266,1.6528,1.5386,1.6353,38954,0
MRB,D,20090629,000000,1.6177,1.6705,1.5562,1.6705,49809,0
MRB,D,20090630,000000,1.6705,1.6705,1.6266,1.6617,22987,0
MRB,D,20090701,000000,1.6442,1.6442,1.6266,1.6442,23021,0
MRB,D,20090702,000000,1.6353,1.6353,1.5826,1.6353,30824,0
MRB,D,20090703,000000,1.6442,1.6442,1.6177,1.6266,27708,0
MRB,D,20090706,000000,1.6266,1.6266,1.5826,1.609,7306,0
MRB,D,20090707,000000,1.609,1.6177,1.5826,1.6177,22920,0
MRB,D,20090708,000000,1.6177,1.6177,1.6001,1.6177,25598,0
MRB,D,20090709,000000,1.6266,1.6266,1.5826,1.6177,21546,0
MRB,D,20090710,000000,1.6705,1.6793,1.6353,1.6528,64791,0
MRB,D,20090713,000000,1.6442,1.6442,1.609,1.6442,31888,0
MRB,D,20090714,000000,1.6528,1.6617,1.6442,1.6617,44757,0
MRB,D,20090715,000000,1.6617,1.6617,1.6266,1.6442,19927,0
MRB,D,20090716,000000,1.6528,1.6617,1.6266,1.6266,22532,0
MRB,D,20090717,000000,1.6266,1.6528,1.609,1.6353,32330,0
MRB,D,20090720,000000,1.6353,1.6353,1.6001,1.609,17703,0
MRB,D,20090721,000000,1.6177,1.6177,1.5474,1.609,17231,0
MRB,D,20090722,000000,1.6266,1.6266,1.5826,1.6266,46806,0
MRB,D,20090723,000000,1.5826,1.6353,1.5826,1.6353,49819,0
MRB,D,20090724,000000,1.6442,1.7584,1.6353,1.7497,203294,0
MRB,D,20090727,000000,1.82,1.8463,1.7057,1.7497,306819,0
MRB,D,20090728,000000,1.7408,1.7848,1.7232,1.7848,68804,0
MRB,D,20090729,000000,1.7935,1.8024,1.7584,1.7935,71236,0
MRB,D,20090730,000000,1.7935,1.8551,1.7935,1.8551,164364,0
MRB,D,20090731,000000,1.8024,1.8639,1.7321,1.8551,213668,0
MRB,D,20090803,000000,1.8639,1.8639,1.7408,1.8639,102838,0
MRB,D,20090804,000000,1.7497,1.8639,1.7497,1.8639,154278,0
MRB,D,20090805,000000,1.8551,1.8551,1.8112,1.8463,30356,0
MRB,D,20090806,000000,1.8463,1.8463,1.82,1.8288,102869,0
MRB,D,20090807,000000,1.8463,1.8639,1.8288,1.8639,122545,0
MRB,D,20090810,000000,1.8639,1.8728,1.8288,1.8728,129620,0
MRB,D,20090811,000000,1.8904,1.9343,1.8112,1.8551,681292,0
MRB,D,20090812,000000,1.8551,1.8551,1.7408,1.7584,400560,0
MRB,D,20090813,000000,1.82,1.82,1.7144,1.7759,156902,0
MRB,D,20090814,000000,1.7759,1.7935,1.7057,1.7584,143647,0
MRB,D,20090817,000000,1.7584,1.7584,1.7057,1.7408,78485,0
MRB,D,20090818,000000,1.7497,1.7673,1.7144,1.7673,175252,0
MRB,D,20090819,000000,1.7935,1.8815,1.7673,1.8551,245542,0
MRB,D,20090820,000000,1.8815,1.9431,1.8728,1.9343,209209,0
MRB,D,20090821,000000,1.9343,1.9431,1.9166,1.9431,195891,0
MRB,D,20090824,000000,1.9431,1.9431,1.899,1.9431,107074,0
MRB,D,20090825,000000,1.9958,2.1452,1.9958,2.1013,2225002,0
MRB,D,20090826,000000,2.0925,2.1189,1.9958,2.0662,348022,0
MRB,D,20090827,000000,2.0486,2.0662,1.9782,2.0134,187798,0
MRB,D,20090828,000000,2.0397,2.0397,1.9166,1.9606,281582,0
MRB,D,20090831,000000,2.0573,2.0573,1.9606,2.0397,264676,0
MRB,D,20090901,000000,2.0486,2.0573,1.9255,1.987,215192,0
MRB,D,20090902,000000,1.9518,1.9518,1.8728,1.9166,299280,0
MRB,D,20090903,000000,1.9782,1.987,1.9166,1.9518,81826,0
