<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSP,D,19980915,000000,7.3578,7.3578,7.3578,7.3578,129025,0
MSP,D,19980916,000000,7.2766,7.2766,7.2766,7.2766,55988,0
MSP,D,19980917,000000,6.5854,6.5854,6.5854,6.5854,12709,0
MSP,D,19980918,000000,5.9283,5.9283,5.9283,5.9283,123355,0
MSP,D,19980921,000000,5.9283,5.9283,5.9283,5.9283,88317,0
MSP,D,19980922,000000,6.057,6.057,6.057,6.057,57589,0
MSP,D,19980923,000000,6.4635,6.4635,6.4635,6.4635,20945,0
MSP,D,19980924,000000,6.5448,6.5448,6.5448,6.5448,42209,0
MSP,D,19980925,000000,6.2535,6.2535,6.2535,6.2535,15122,0
MSP,D,19980928,000000,6.3822,6.3822,6.3822,6.3822,14847,0
MSP,D,19980929,000000,6.4161,6.4161,6.4161,6.4161,15261,0
MSP,D,19980930,000000,6.5448,6.5448,6.5448,6.5448,7465,0
MSP,D,19981001,000000,5.9689,5.9689,5.9689,5.9689,27384,0
MSP,D,19981002,000000,5.7656,5.7656,5.7656,5.7656,15326,0
MSP,D,19981005,000000,5.8875,5.8875,5.8875,5.8875,10242,0
MSP,D,19981006,000000,5.3998,5.3998,5.3998,5.3998,10123,0
MSP,D,19981007,000000,5.4404,5.4404,5.4404,5.4404,22006,0
MSP,D,19981008,000000,5.156,5.156,5.156,5.156,9119,0
MSP,D,19981009,000000,4.9052,4.9052,4.9052,4.9052,17915,0
MSP,D,19981012,000000,4.946,4.946,4.946,4.946,34211,0
MSP,D,19981013,000000,4.9865,4.9865,4.9865,4.9865,22836,0
MSP,D,19981014,000000,5.0679,5.0679,5.0679,5.0679,11870,0
MSP,D,19981015,000000,5.3184,5.3184,5.3184,5.3184,7718,0
MSP,D,19981016,000000,5.4811,5.4811,5.4811,5.4811,17592,0
MSP,D,19981019,000000,5.6031,5.6031,5.6031,5.6031,9657,0
MSP,D,19981020,000000,5.5624,5.5624,5.5624,5.5624,9356,0
MSP,D,19981021,000000,5.725,5.725,5.725,5.725,3070,0
MSP,D,19981022,000000,6.0097,6.0097,6.0097,6.0097,10066,0
MSP,D,19981023,000000,6.1383,6.1383,6.1383,6.1383,11800,0
MSP,D,19981026,000000,6.1383,6.1383,6.1383,6.1383,14755,0
MSP,D,19981027,000000,6.1383,6.1383,6.1383,6.1383,26812,0
MSP,D,19981028,000000,6.1383,6.1383,6.1383,6.1383,31573,0
MSP,D,19981029,000000,6.1383,6.1383,6.1383,6.1383,20039,0
MSP,D,19981030,000000,6.4974,6.4974,6.4974,6.4974,4521,0
MSP,D,19981102,000000,6.4635,6.4635,6.4635,6.4635,3495,0
MSP,D,19981103,000000,6.3822,6.3822,6.3822,6.3822,5649,0
MSP,D,19981104,000000,6.3347,6.3347,6.3347,6.3347,4403,0
MSP,D,19981105,000000,6.4635,6.4635,6.4635,6.4635,8310,0
MSP,D,19981106,000000,5.9689,5.9689,5.9689,5.9689,3052,0
MSP,D,19981109,000000,6.2535,6.2535,6.2535,6.2535,22687,0
MSP,D,19981110,000000,6.3347,6.3347,6.3347,6.3347,6130,0
MSP,D,19981112,000000,6.3347,6.3347,6.3347,6.3347,12839,0
MSP,D,19981113,000000,6.4635,6.4635,6.4635,6.4635,14597,0
MSP,D,19981116,000000,6.5854,6.5854,6.5854,6.5854,20374,0
MSP,D,19981117,000000,6.7481,6.7481,6.7481,6.7481,14683,0
MSP,D,19981118,000000,6.7481,6.7481,6.7481,6.7481,8472,0
