<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXC,D,20170630,000000,40.055,41.374,39.235,39.948,1626,0
MXC,D,20170703,000000,40.59,40.59,38.878,39.841,2337,0
MXC,D,20170704,000000,39.841,40.982,39.841,40.982,75,0
MXC,D,20170705,000000,40.982,40.996,40.982,40.996,70,0
MXC,D,20170706,000000,40.982,40.982,40.982,40.982,28,0
MXC,D,20170707,000000,40.91,40.91,40.91,40.91,15,0
MXC,D,20170710,000000,40.126,40.126,40.126,40.126,2,0
MXC,D,20170711,000000,39.948,39.948,39.948,39.948,2,0
MXC,D,20170712,000000,39.948,39.948,39.948,39.948,2,0
MXC,D,20170713,000000,39.948,39.948,39.948,39.948,2,0
MXC,D,20170714,000000,39.948,40.447,39.235,40.447,34,0
MXC,D,20170717,000000,39.948,40.369,39.948,40.369,38,0
MXC,D,20170718,000000,40.625,44.192,40.625,42.087,6080,0
MXC,D,20170719,000000,42.087,42.787,41.981,42.087,2803,0
MXC,D,20170720,000000,42.16,42.787,41.909,42.087,8822,0
MXC,D,20170721,000000,42.687,42.851,40.625,42.087,15417,0
MXC,D,20170724,000000,42.415,42.415,40.661,40.746,3444,0
MXC,D,20170725,000000,41.474,41.917,41.088,41.646,877,0
MXC,D,20170726,000000,41.589,41.589,41.374,41.589,8385,0
MXC,D,20170727,000000,41.66,41.888,39.249,40.09,7271,0
MXC,D,20170728,000000,40.947,41.232,39.954,41.21,2219,0
MXC,D,20170731,000000,41.167,41.368,41.153,41.368,497,0
MXC,D,20170801,000000,41.374,41.374,41.296,41.374,1919,0
MXC,D,20170802,000000,41.374,41.374,40.347,41.36,1015,0
MXC,D,20170803,000000,41.36,41.36,40.604,40.661,682,0
MXC,D,20170804,000000,40.661,40.661,40.433,40.661,4955,0
MXC,D,20170807,000000,40.661,41.224,40.425,41.224,538,0
MXC,D,20170808,000000,40.661,41.153,40.661,41.153,196,0
MXC,D,20170809,000000,41.01,41.01,39.891,40.655,1695,0
MXC,D,20170810,000000,40.304,40.64,39.284,40.376,668,0
MXC,D,20170811,000000,39.94,40.041,39.94,40.041,101,0
MXC,D,20170814,000000,39.948,40.169,39.948,40.084,122,0
MXC,D,20170816,000000,40.084,40.084,39.948,39.948,44,0
MXC,D,20170817,000000,40.133,40.133,38.457,39.59,652,0
MXC,D,20170818,000000,38.528,39.59,37.808,39.498,1282,0
MXC,D,20170821,000000,39.498,39.498,38.522,39.298,519,0
MXC,D,20170822,000000,39.298,39.463,38.522,39.235,269,0
MXC,D,20170823,000000,39.391,39.391,38.522,39.235,603,0
