<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEU,D,20040930,000000,32.016,32.225,30.114,31.662,49284,0
NEU,D,20041001,000000,31.662,32.225,31.662,31.878,16161,0
NEU,D,20041004,000000,32.225,32.652,32.225,32.369,10670,0
NEU,D,20041005,000000,32.369,32.434,32.369,32.369,11079,0
NEU,D,20041006,000000,32.088,32.299,32.016,32.299,1307,0
NEU,D,20041007,000000,32.016,32.225,32.016,32.225,2260,0
NEU,D,20041008,000000,31.662,32.088,31.662,32.088,747,0
NEU,D,20041011,000000,31.662,31.662,30.605,31.523,2239,0
NEU,D,20041012,000000,30.822,30.96,30.259,30.259,690,0
NEU,D,20041013,000000,30.54,30.54,30.395,30.395,1068,0
NEU,D,20041014,000000,30.469,30.469,30.469,30.469,711,0
NEU,D,20041015,000000,29.905,30.54,29.905,30.54,27,0
NEU,D,20041018,000000,30.259,30.331,29.55,30.331,834,0
NEU,D,20041020,000000,29.202,29.55,29.202,29.55,1545,0
NEU,D,20041021,000000,29.55,30.469,29.55,30.469,889,0
NEU,D,20041022,000000,29.129,29.129,29.057,29.057,1088,0
NEU,D,20041025,000000,30.114,30.114,28.848,28.848,3170,0
NEU,D,20041026,000000,28.848,31.313,28.494,31.313,892,0
NEU,D,20041027,000000,31.241,31.241,29.275,31.03,15132,0
NEU,D,20041028,000000,30.822,30.822,30.822,30.822,1,0
NEU,D,20041029,000000,30.96,30.96,30.888,30.888,10,0
NEU,D,20041102,000000,31.103,31.103,29.905,30.96,1044,0
NEU,D,20041103,000000,30.96,30.96,29.766,30.96,1566,0
NEU,D,20041104,000000,30.822,30.888,29.977,29.977,2033,0
NEU,D,20041105,000000,29.977,30.331,29.977,30.048,276,0
NEU,D,20041108,000000,29.623,30.749,29.55,30.749,923,0
NEU,D,20041110,000000,30.678,30.678,29.695,30.605,1718,0
NEU,D,20041112,000000,29.905,30.749,29.832,30.749,1136,0
NEU,D,20041115,000000,30.259,30.749,29.977,30.749,937,0
NEU,D,20041116,000000,30.186,30.186,29.977,30.186,1040,0
NEU,D,20041117,000000,30.259,30.331,30.259,30.331,1066,0
NEU,D,20041118,000000,30.186,30.259,30.186,30.259,1133,0
NEU,D,20041119,000000,30.259,30.259,29.905,29.905,2124,0
NEU,D,20041122,000000,30.605,30.605,30.395,30.395,145,0
NEU,D,20041123,000000,28.494,29.55,28.494,29.484,4190,0
NEU,D,20041124,000000,28.637,29.55,28.494,29.55,3153,0
NEU,D,20041125,000000,29.55,29.55,29.55,29.55,10,0
NEU,D,20041126,000000,28.494,29.341,28.494,29.341,3430,0
NEU,D,20041129,000000,29.484,29.695,28.637,29.695,3161,0
NEU,D,20041201,000000,29.55,29.55,29.202,29.55,5998,0
NEU,D,20041202,000000,29.55,29.695,29.55,29.695,3020,0
NEU,D,20041203,000000,29.55,29.55,28.848,29.55,2730,0
