<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWG,D,20131205,000000,17.077,17.449,16.743,17.264,4966521,0
NWG,D,20131206,000000,17.264,17.264,16.556,17.003,665863,0
NWG,D,20131209,000000,17.116,17.116,16.907,16.967,341163,0
NWG,D,20131210,000000,16.921,16.921,16.556,16.601,190128,0
NWG,D,20131211,000000,16.535,16.601,16.044,16.371,150666,0
NWG,D,20131212,000000,16.222,16.296,15.924,16.044,185942,0
NWG,D,20131213,000000,15.999,16.357,15.999,16.088,47992,0
NWG,D,20131216,000000,16.357,16.357,16.161,16.296,43322,0
NWG,D,20131217,000000,16.296,16.296,15.783,15.999,84812,0
NWG,D,20131218,000000,15.849,16.296,15.849,16.073,22480,0
NWG,D,20131219,000000,16.296,16.357,15.71,15.746,73370,0
NWG,D,20131220,000000,15.783,15.849,15.649,15.783,65800,0
NWG,D,20131223,000000,15.879,16.296,15.879,16.148,21336,0
NWG,D,20131227,000000,16.148,16.282,15.999,16.282,26097,0
NWG,D,20131230,000000,16.23,16.326,16.095,16.2,23915,0
NWG,D,20140102,000000,16.296,16.364,16.222,16.222,91919,0
NWG,D,20140103,000000,16.222,16.296,16.088,16.244,14068,0
NWG,D,20140107,000000,16.296,16.296,16.037,16.148,85397,0
NWG,D,20140108,000000,16.207,16.207,15.814,15.924,28098,0
NWG,D,20140109,000000,15.836,15.849,15.181,15.292,56486,0
NWG,D,20140110,000000,15.292,15.849,15.217,15.849,128204,0
NWG,D,20140113,000000,15.999,16.073,15.775,16.073,143830,0
NWG,D,20140114,000000,16.058,16.058,15.849,15.901,75599,0
NWG,D,20140115,000000,15.999,15.999,15.879,15.879,97133,0
NWG,D,20140116,000000,15.879,15.999,15.775,15.857,6483,0
NWG,D,20140117,000000,15.887,15.999,15.783,15.932,95477,0
NWG,D,20140120,000000,16.148,16.335,15.969,16.2,17332,0
NWG,D,20140121,000000,16.296,16.371,16.088,16.148,54263,0
NWG,D,20140122,000000,16.148,16.214,16.088,16.119,181855,0
NWG,D,20140123,000000,16.073,16.148,16.022,16.132,20960,0
NWG,D,20140124,000000,16.11,16.11,15.924,15.94,8019,0
NWG,D,20140127,000000,15.887,15.983,15.887,15.924,27725,0
NWG,D,20140128,000000,15.924,16.051,15.887,15.999,19824,0
NWG,D,20140129,000000,16.051,16.348,16.006,16.014,119131,0
NWG,D,20140130,000000,15.999,16.073,15.901,16.073,10252,0
NWG,D,20140131,000000,16.073,16.14,15.775,16.073,68925,0
NWG,D,20140203,000000,16.073,16.073,15.71,15.94,17075,0
NWG,D,20140204,000000,15.775,15.94,15.715,15.924,19717,0
NWG,D,20140205,000000,15.887,16.073,15.857,16.014,51935,0
NWG,D,20140206,000000,15.865,16.022,15.865,15.94,191263,0
NWG,D,20140207,000000,15.999,15.999,15.775,15.911,148995,0
NWG,D,20140210,000000,15.79,15.887,15.455,15.768,121194,0
NWG,D,20140211,000000,15.626,15.775,15.553,15.723,15679,0
NWG,D,20140212,000000,15.656,15.723,15.567,15.664,57674,0
NWG,D,20140213,000000,15.626,15.737,15.626,15.634,39526,0
NWG,D,20140214,000000,15.664,15.819,15.597,15.819,12463,0
NWG,D,20140217,000000,15.723,15.911,15.701,15.798,86375,0
NWG,D,20140218,000000,15.901,15.911,15.701,15.836,32284,0
NWG,D,20140219,000000,15.775,16.296,15.775,16.006,26522,0
NWG,D,20140220,000000,15.917,15.999,15.634,15.804,94788,0
NWG,D,20140221,000000,15.849,15.857,15.575,15.79,141914,0
NWG,D,20140224,000000,15.814,15.879,15.701,15.783,16132,0
NWG,D,20140225,000000,15.783,15.814,15.455,15.478,237902,0
