<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ODL,D,19980312,000000,4.557,4.557,4.557,4.557,70922,0
ODL,D,19980313,000000,4.5947,4.5947,4.5947,4.5947,164904,0
ODL,D,19980316,000000,4.5947,4.5947,4.5947,4.5947,96499,0
ODL,D,19980317,000000,4.5947,4.5947,4.5947,4.5947,41960,0
ODL,D,19980318,000000,4.5193,4.5193,4.5193,4.5193,15630,0
ODL,D,19980319,000000,4.5947,4.5947,4.5947,4.5947,27782,0
ODL,D,19980320,000000,4.5947,4.5947,4.5947,4.5947,34608,0
ODL,D,19980323,000000,4.557,4.557,4.557,4.557,40591,0
ODL,D,19980324,000000,4.557,4.557,4.557,4.557,55477,0
ODL,D,19980325,000000,4.67,4.67,4.67,4.67,50537,0
ODL,D,19980326,000000,4.9712,4.9712,4.9712,4.9712,214539,0
ODL,D,19980327,000000,5.1972,5.1972,5.1972,5.1972,300143,0
ODL,D,19980330,000000,5.0842,5.0842,5.0842,5.0842,108969,0
ODL,D,19980331,000000,4.783,4.783,4.783,4.783,62601,0
ODL,D,19980401,000000,4.4439,4.4439,4.4439,4.4439,55177,0
ODL,D,19980402,000000,4.3687,4.3687,4.3687,4.3687,46819,0
ODL,D,19980406,000000,4.4817,4.4817,4.4817,4.4817,28924,0
ODL,D,19980407,000000,4.5193,4.5193,4.5193,4.5193,36338,0
ODL,D,19980408,000000,4.4439,4.4439,4.4439,4.4439,36227,0
ODL,D,19980409,000000,4.331,4.331,4.331,4.331,77564,0
ODL,D,19980414,000000,4.3687,4.3687,4.3687,4.3687,38289,0
ODL,D,19980415,000000,4.2933,4.2933,4.2933,4.2933,20724,0
ODL,D,19980416,000000,4.2557,4.2557,4.2557,4.2557,17122,0
ODL,D,19980417,000000,4.1427,4.1427,4.1427,4.1427,31055,0
ODL,D,19980420,000000,4.218,4.218,4.218,4.218,13373,0
ODL,D,19980421,000000,4.0673,4.0673,4.0673,4.0673,19188,0
ODL,D,19980422,000000,4.218,4.218,4.218,4.218,13462,0
ODL,D,19980423,000000,4.2933,4.2933,4.2933,4.2933,25265,0
ODL,D,19980424,000000,4.2933,4.2933,4.2933,4.2933,22253,0
ODL,D,19980427,000000,4.4063,4.4063,4.4063,4.4063,44855,0
ODL,D,19980428,000000,4.2557,4.2557,4.2557,4.2557,6054,0
ODL,D,19980429,000000,3.8791,3.8791,3.8791,3.8791,48850,0
ODL,D,19980430,000000,4.1804,4.1804,4.1804,4.1804,30037,0
ODL,D,19980504,000000,4.3687,4.3687,4.3687,4.3687,17454,0
ODL,D,19980505,000000,4.331,4.331,4.331,4.331,14258,0
ODL,D,19980506,000000,4.2933,4.2933,4.2933,4.2933,14616,0
ODL,D,19980507,000000,4.218,4.218,4.218,4.218,22038,0
ODL,D,19980508,000000,4.3687,4.3687,4.3687,4.3687,13276,0
ODL,D,19980511,000000,4.3687,4.3687,4.3687,4.3687,17658,0
