<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OEX,D,20051020,000000,5.7269,6.6738,5.4112,5.4675,1036097,0
OEX,D,20051021,000000,5.8057,6.189,5.7494,5.8959,261735,0
OEX,D,20051024,000000,6.0538,6.2679,5.9185,6.0875,231264,0
OEX,D,20051025,000000,6.2004,6.2004,5.7719,5.8283,57214,0
OEX,D,20051026,000000,5.7945,5.8396,5.5576,5.6254,106367,0
OEX,D,20051027,000000,5.5465,5.5465,5.3999,5.524,40529,0
OEX,D,20051028,000000,5.4112,5.5126,5.321,5.4675,41612,0
OEX,D,20051031,000000,5.4675,5.8846,5.4675,5.6142,39678,0
OEX,D,20051102,000000,5.6142,5.7381,5.524,5.6254,25521,0
OEX,D,20051103,000000,5.7719,5.7719,5.524,5.5803,26300,0
OEX,D,20051104,000000,5.5803,5.5803,5.2984,5.4675,10989,0
OEX,D,20051107,000000,5.3774,5.3887,5.2646,5.3887,25804,0
OEX,D,20051108,000000,5.2759,5.3774,5.2646,5.2871,18593,0
OEX,D,20051109,000000,5.197,5.242,5.0729,5.1631,18255,0
OEX,D,20051110,000000,5.1631,5.4562,4.8701,5.1519,37903,0
OEX,D,20051114,000000,5.1745,5.1745,4.7123,5.0054,38267,0
OEX,D,20051115,000000,4.9941,5.5916,4.7686,5.5916,101506,0
OEX,D,20051116,000000,5.4562,5.5014,5.2195,5.3887,17581,0
OEX,D,20051117,000000,5.4112,5.6929,5.2984,5.5465,73545,0
OEX,D,20051118,000000,5.5803,5.5916,5.3435,5.3548,20465,0
OEX,D,20051121,000000,5.4112,5.4901,5.2984,5.2984,52487,0
OEX,D,20051122,000000,5.2984,5.3097,5.1631,5.2984,54987,0
OEX,D,20051123,000000,5.2871,5.2984,5.1406,5.2984,18885,0
OEX,D,20051124,000000,5.2984,5.3548,5.242,5.2871,28955,0
OEX,D,20051125,000000,5.3435,5.3435,5.2195,5.2871,5722,0
OEX,D,20051128,000000,5.242,5.3435,5.197,5.2533,5625,0
OEX,D,20051129,000000,5.2984,5.2984,5.1406,5.1406,8660,0
OEX,D,20051130,000000,5.2082,5.2082,5.0955,5.0955,1002,0
OEX,D,20051201,000000,5.0166,5.1857,4.9828,5.1519,10770,0
OEX,D,20051202,000000,5.0166,5.2195,5.0166,5.1857,36263,0
OEX,D,20051205,000000,5.118,5.1293,4.9603,5.0729,22256,0
OEX,D,20051206,000000,5.0955,5.1519,5.0843,5.1293,3637,0
OEX,D,20051207,000000,5.1293,5.5803,5.0505,5.3887,71211,0
OEX,D,20051208,000000,5.3548,5.5576,5.2871,5.3887,35243,0
OEX,D,20051209,000000,5.3548,5.4225,5.2646,5.2646,19898,0
OEX,D,20051212,000000,5.3774,5.4562,5.2984,5.3887,32086,0
OEX,D,20051213,000000,5.4337,5.4337,5.3548,5.3548,20465,0
OEX,D,20051214,000000,5.4562,5.6367,5.3548,5.4901,32953,0
OEX,D,20051215,000000,5.5126,5.7269,5.5126,5.6367,82328,0
OEX,D,20051216,000000,5.6367,5.9185,5.6367,5.8846,92148,0
OEX,D,20051219,000000,5.8621,5.8621,5.8057,5.8509,16563,0
OEX,D,20051220,000000,5.7831,5.8057,5.7494,5.7831,18103,0
OEX,D,20051221,000000,5.6817,5.7494,5.6367,5.7494,27978,0
OEX,D,20051222,000000,5.6592,5.6929,5.6367,5.6929,25725,0
OEX,D,20051223,000000,5.6929,5.7269,5.6929,5.6929,4215,0
OEX,D,20051227,000000,5.7494,5.7607,5.7043,5.7607,10609,0
OEX,D,20051228,000000,5.7607,5.817,5.7607,5.817,19222,0
OEX,D,20051229,000000,5.8621,5.8846,5.8396,5.8621,32546,0
OEX,D,20051230,000000,5.8396,5.8621,5.817,5.8621,21777,0
OEX,D,20060102,000000,5.8396,5.8396,5.6367,5.7494,22619,0
OEX,D,20060103,000000,5.6704,5.9185,5.6704,5.9185,99634,0
OEX,D,20060104,000000,5.8621,5.8734,5.7607,5.8057,22902,0
OEX,D,20060105,000000,5.8734,5.8734,5.6704,5.7494,13422,0
OEX,D,20060106,000000,5.7156,5.8396,5.7043,5.7494,36733,0
OEX,D,20060109,000000,5.8396,5.8396,5.6704,5.7381,9970,0
OEX,D,20060110,000000,5.7494,5.7719,5.6929,5.6929,38366,0
OEX,D,20060111,000000,5.7043,5.7607,5.7043,5.7607,33211,0
OEX,D,20060112,000000,5.7269,5.8396,5.7269,5.7719,8046,0
OEX,D,20060113,000000,5.8057,6.0312,5.7494,6.0312,73998,0
OEX,D,20060116,000000,6.0763,6.0988,5.9185,6.0988,24154,0
OEX,D,20060117,000000,6.0763,6.0988,6.0538,6.0538,14752,0
OEX,D,20060118,000000,6.0312,6.0312,5.9298,5.9748,16871,0
OEX,D,20060119,000000,5.9523,6.0087,5.9185,5.9748,20924,0
OEX,D,20060120,000000,5.9298,5.9298,5.8734,5.9185,6777,0
OEX,D,20060123,000000,5.7719,6.0087,5.7719,6.0087,6146,0
OEX,D,20060124,000000,5.8621,5.9185,5.8621,5.9185,1233,0
OEX,D,20060125,000000,5.9185,5.9298,5.9185,5.9185,25087,0
OEX,D,20060126,000000,5.8621,5.9748,5.8621,5.9185,5997,0
OEX,D,20060127,000000,5.9185,5.9185,5.9185,5.9185,3549,0
OEX,D,20060130,000000,5.9637,5.9748,5.7494,5.8621,9092,0
OEX,D,20060131,000000,5.8621,5.8621,5.7494,5.8509,22594,0
OEX,D,20060201,000000,5.7043,5.817,5.7043,5.817,5280,0
OEX,D,20060202,000000,5.7494,5.817,5.7494,5.817,1419,0
OEX,D,20060203,000000,5.817,5.817,5.3548,5.6367,3396,0
OEX,D,20060206,000000,5.6479,5.8057,5.6367,5.8057,5057,0
OEX,D,20060207,000000,5.7607,5.817,5.6592,5.7494,5464,0
OEX,D,20060208,000000,5.6592,5.7156,5.6367,5.6929,13981,0
OEX,D,20060209,000000,5.6367,5.7269,5.6367,5.7043,4285,0
OEX,D,20060210,000000,5.7156,5.7156,5.6367,5.6367,7479,0
OEX,D,20060213,000000,5.7607,5.7607,5.524,5.7494,10378,0
OEX,D,20060214,000000,5.7381,5.7494,5.7381,5.7494,8028,0
OEX,D,20060215,000000,5.7719,5.9748,5.7719,5.9071,25129,0
OEX,D,20060216,000000,5.9748,6.0312,5.9185,5.9748,24457,0
OEX,D,20060217,000000,5.9748,6.144,5.9748,6.1327,16609,0
OEX,D,20060220,000000,6.0875,6.313,6.0875,6.2679,29458,0
OEX,D,20060221,000000,6.2792,6.2792,6.2228,6.2566,30649,0
OEX,D,20060222,000000,6.2228,6.2228,6.2004,6.2228,4559,0
OEX,D,20060223,000000,6.2114,6.2792,6.1553,6.2004,21707,0
OEX,D,20060224,000000,6.2566,6.2905,6.2454,6.2566,25139,0
OEX,D,20060227,000000,6.2566,6.3694,6.234,6.3694,57659,0
OEX,D,20060228,000000,6.3694,6.6288,6.3694,6.5047,32529,0
OEX,D,20060301,000000,6.5949,6.7527,6.5384,6.6963,84234,0
OEX,D,20060302,000000,6.8429,6.8429,6.6852,6.809,38660,0
OEX,D,20060303,000000,6.7639,6.7639,6.5047,6.6288,15062,0
OEX,D,20060306,000000,6.3469,6.6174,6.3356,6.6174,31304,0
OEX,D,20060307,000000,6.6852,6.6852,6.313,6.3356,11601,0
OEX,D,20060308,000000,6.313,6.4033,6.1101,6.3469,17367,0
OEX,D,20060309,000000,6.4596,6.6511,6.4596,6.6062,27526,0
OEX,D,20060310,000000,6.6062,6.6062,6.4257,6.561,3272,0
OEX,D,20060313,000000,6.5498,6.5498,6.4821,6.4934,6893,0
OEX,D,20060314,000000,6.4257,6.5836,6.4257,6.5272,23003,0
OEX,D,20060315,000000,6.437,6.5272,6.4257,6.5272,11613,0
OEX,D,20060316,000000,6.4483,6.5949,6.437,6.5949,13759,0
OEX,D,20060317,000000,6.5949,6.8767,6.5949,6.7639,85725,0
OEX,D,20060320,000000,6.7639,6.7639,6.6624,6.7076,11054,0
OEX,D,20060321,000000,6.7076,6.7076,6.6624,6.7076,904,0
OEX,D,20060322,000000,6.7076,6.8541,6.6963,6.8541,45287,0
OEX,D,20060323,000000,6.8541,7.1245,6.8541,6.9891,21289,0
OEX,D,20060324,000000,7.1025,7.2152,6.9891,7.1589,54271,0
OEX,D,20060327,000000,7.2716,7.3279,7.1025,7.2935,7219,0
OEX,D,20060328,000000,7.3279,7.3279,7.2152,7.2489,6283,0
OEX,D,20060329,000000,7.2152,7.2489,7.1025,7.2263,8782,0
OEX,D,20060330,000000,7.1136,7.3162,7.1025,7.3162,10912,0
OEX,D,20060331,000000,7.2152,7.2716,7.1025,7.2716,4540,0
OEX,D,20060403,000000,7.2152,7.3724,7.2152,7.3724,78550,0
OEX,D,20060404,000000,7.2716,7.4851,7.2716,7.4851,43280,0
OEX,D,20060405,000000,7.4968,7.4968,7.4741,7.4968,4683,0
OEX,D,20060406,000000,7.5532,7.6889,7.5532,7.6098,27084,0
OEX,D,20060407,000000,8.1397,8.568,7.8909,8.4432,129633,0
OEX,D,20060410,000000,8.568,8.7376,8.568,8.6919,139834,0
OEX,D,20060411,000000,8.9055,8.9626,8.6919,8.6919,47032,0
OEX,D,20060412,000000,8.793,8.793,8.6805,8.7376,16998,0
OEX,D,20060413,000000,8.793,8.9389,8.793,8.8492,22105,0
OEX,D,20060418,000000,8.9055,8.996,8.9055,8.9055,39908,0
OEX,D,20060419,000000,8.9855,8.9855,8.568,8.6585,18156,0
OEX,D,20060420,000000,8.6585,8.6805,8.568,8.5794,20083,0
OEX,D,20060421,000000,8.5337,8.6242,8.2853,8.5794,18299,0
OEX,D,20060424,000000,8.5117,8.6242,8.5117,8.6242,17812,0
OEX,D,20060425,000000,8.4555,8.5117,8.1732,8.3087,33087,0
OEX,D,20060426,000000,8.3431,8.6462,8.3305,8.6128,9943,0
OEX,D,20060427,000000,8.6691,8.6919,8.6128,8.6348,26203,0
OEX,D,20060428,000000,8.6462,8.8949,8.6462,8.8615,20030,0
OEX,D,20060502,000000,8.9055,8.9055,8.793,8.8158,13273,0
OEX,D,20060504,000000,8.9055,8.9055,8.4766,8.793,11096,0
OEX,D,20060505,000000,8.9055,8.9055,8.6014,8.6348,6767,0
OEX,D,20060508,000000,8.5117,8.7816,8.5117,8.5223,5330,0
OEX,D,20060509,000000,8.546,8.771,8.5337,8.771,38284,0
OEX,D,20060510,000000,8.6805,8.8949,8.6805,8.8826,11541,0
OEX,D,20060511,000000,8.8949,8.9732,8.8492,8.9055,26478,0
OEX,D,20060512,000000,8.8721,8.996,8.7816,8.9503,35657,0
OEX,D,20060515,000000,8.9055,8.9055,8.5794,8.8949,4312,0
OEX,D,20060516,000000,8.793,8.9855,8.6242,8.7816,12649,0
OEX,D,20060517,000000,8.7816,8.793,8.6242,8.6805,15062,0
OEX,D,20060518,000000,8.5891,8.6805,8.1732,8.568,25422,0
OEX,D,20060519,000000,8.5794,8.7139,8.568,8.6585,4427,0
OEX,D,20060522,000000,8.6585,8.6585,8.2635,8.4098,23854,0
OEX,D,20060523,000000,7.7112,8.4555,6.9555,8.4555,23604,0
OEX,D,20060524,000000,8.2292,8.4326,8.0601,8.2853,3609,0
OEX,D,20060525,000000,8.2292,8.546,7.6889,8.4326,11725,0
OEX,D,20060526,000000,8.5337,8.5557,8.0375,8.3431,11849,0
OEX,D,20060529,000000,8.4326,8.568,8.3764,8.3764,9963,0
OEX,D,20060530,000000,8.3992,8.4555,8.3431,8.4555,3415,0
OEX,D,20060531,000000,8.3992,8.3992,8.3431,8.3431,925,0
OEX,D,20060601,000000,8.3992,8.5557,8.3992,8.5557,2715,0
OEX,D,20060602,000000,8.5117,8.568,8.5003,8.568,8915,0
OEX,D,20060605,000000,8.568,8.568,8.5557,8.5557,11620,0
OEX,D,20060606,000000,8.2409,8.4432,8.2409,8.4432,10219,0
OEX,D,20060607,000000,8.4326,8.4432,8.4326,8.4326,1490,0
OEX,D,20060608,000000,8.1279,8.4555,8.1279,8.4212,4372,0
OEX,D,20060609,000000,8.2518,8.3878,8.2518,8.3878,8382,0
OEX,D,20060612,000000,8.2409,8.2518,8.2292,8.2292,12730,0
OEX,D,20060613,000000,8.1053,8.117,7.5532,7.8118,20340,0
OEX,D,20060614,000000,7.6657,7.6657,7.3279,7.4406,12747,0
OEX,D,20060616,000000,7.4515,8.004,7.4515,7.6657,3718,0
OEX,D,20060619,000000,7.5196,7.5532,7.4406,7.4406,1332,0
OEX,D,20060620,000000,7.4406,7.8014,7.4406,7.756,1321,0
OEX,D,20060621,000000,7.7783,8.1397,7.768,8.1053,2173,0
OEX,D,20060622,000000,8.117,8.117,7.9253,7.9253,18,0
OEX,D,20060623,000000,7.7783,8.1397,7.7783,8.1397,897,0
OEX,D,20060626,000000,8.0601,8.0601,8.0601,8.0601,6,0
OEX,D,20060627,000000,8.0601,8.1279,7.8014,8.1053,1570,0
OEX,D,20060628,000000,8.1053,8.1053,7.835,7.835,4585,0
OEX,D,20060629,000000,7.8909,7.8909,7.8014,7.8014,4293,0
OEX,D,20060630,000000,7.8806,7.9029,7.835,7.835,1597,0
OEX,D,20060703,000000,7.835,7.835,7.6657,7.756,4328,0
OEX,D,20060704,000000,7.4406,7.6546,7.4406,7.6546,5483,0
OEX,D,20060705,000000,7.6546,7.835,7.6546,7.835,6370,0
OEX,D,20060706,000000,7.8014,7.8014,7.8014,7.8014,6,0
OEX,D,20060707,000000,7.8014,8.117,7.5641,8.117,23596,0
OEX,D,20060710,000000,7.8014,8.1397,7.8014,8.1053,859,0
OEX,D,20060711,000000,8.1053,8.1053,7.8909,8.0601,1118,0
OEX,D,20060712,000000,8.1279,8.1279,7.9476,8.004,1856,0
OEX,D,20060713,000000,7.9931,7.9931,7.7895,7.914,21271,0
OEX,D,20060714,000000,7.914,7.9476,7.914,7.9476,10007,0
OEX,D,20060717,000000,8.0157,8.1279,8.0157,8.1279,2004,0
OEX,D,20060718,000000,8.117,8.1614,8.0266,8.1614,9943,0
OEX,D,20060719,000000,8.2183,8.2292,8.2183,8.2292,4268,0
OEX,D,20060720,000000,8.3992,8.3992,8.2409,8.2409,1066,0
OEX,D,20060721,000000,8.3431,8.3431,8.3431,8.3431,886,0
OEX,D,20060724,000000,8.2635,8.2635,8.2292,8.2409,5312,0
OEX,D,20060725,000000,8.0601,8.2183,8.0601,8.117,542,0
OEX,D,20060726,000000,8.2752,8.2752,7.8806,8.1614,2828,0
OEX,D,20060727,000000,8.117,8.1614,8.117,8.1614,4567,0
OEX,D,20060728,000000,8.1505,8.1505,8.1505,8.1505,6,0
OEX,D,20060731,000000,8.1505,8.1505,8.1505,8.1505,1507,0
OEX,D,20060801,000000,8.1505,8.1505,8.1397,8.1397,5039,0
OEX,D,20060802,000000,7.8462,8.117,7.7783,8.117,1454,0
OEX,D,20060803,000000,8.117,8.117,8.117,8.117,89,0
OEX,D,20060804,000000,8.1279,8.1279,7.914,8.117,958,0
OEX,D,20060807,000000,8.1053,8.1053,8.1053,8.1053,6,0
OEX,D,20060808,000000,8.0157,8.0936,8.004,8.0936,415,0
OEX,D,20060809,000000,8.1053,8.117,8.1053,8.117,1447,0
OEX,D,20060810,000000,8.1279,8.1397,8.1279,8.1397,338,0
OEX,D,20060811,000000,8.1614,8.2183,8.1614,8.2183,5084,0
OEX,D,20060814,000000,8.117,8.2183,8.0266,8.1732,14937,0
OEX,D,20060816,000000,8.1732,8.1732,8.117,8.117,13430,0
OEX,D,20060817,000000,8.0157,8.0157,8.0157,8.0157,886,0
OEX,D,20060818,000000,8.0157,8.1053,8.0157,8.1053,897,0
OEX,D,20060821,000000,8.0936,8.1053,8.0601,8.0601,976,0
OEX,D,20060822,000000,7.9029,7.9029,7.6992,7.6992,2351,0
OEX,D,20060823,000000,7.7328,7.8686,7.6889,7.8686,7434,0
OEX,D,20060824,000000,7.8909,7.9364,7.6657,7.9364,408,0
OEX,D,20060825,000000,7.8909,7.8909,7.5641,7.6889,9625,0
OEX,D,20060828,000000,7.8686,7.8686,7.8686,7.8686,34,0
OEX,D,20060829,000000,7.8686,7.8686,7.4624,7.768,2874,0
OEX,D,20060830,000000,7.5641,7.756,7.5641,7.756,4293,0
OEX,D,20060831,000000,7.6098,7.6657,7.5979,7.6657,1729,0
OEX,D,20060901,000000,7.6546,7.6546,7.5532,7.6098,976,0
OEX,D,20060904,000000,7.5532,7.6098,7.4178,7.5979,15356,0
OEX,D,20060905,000000,7.6657,7.863,7.4741,7.5979,3149,0
OEX,D,20060906,000000,7.7783,7.7783,7.7783,7.7783,6,0
OEX,D,20060907,000000,7.7727,7.8806,7.7727,7.8071,647,0
OEX,D,20060908,000000,7.8806,7.9815,7.6657,7.835,4949,0
OEX,D,20060911,000000,7.835,7.835,7.6322,7.7783,2369,0
OEX,D,20060912,000000,7.6657,7.7727,7.5759,7.6322,10637,0
