<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPM,D,20101011,000000,1.3634,1.4609,1.3124,1.3124,166203,0
OPM,D,20101012,000000,1.2891,1.3007,1.2659,1.2774,43070,0
OPM,D,20101013,000000,1.2891,1.2891,1.2311,1.2705,27227,0
OPM,D,20101014,000000,1.2659,1.2659,1.224,1.2426,6087,0
OPM,D,20101015,000000,1.2078,1.2659,1.1962,1.2659,33410,0
OPM,D,20101018,000000,1.3239,1.3239,1.2774,1.2774,16095,0
OPM,D,20101019,000000,1.3007,1.3007,1.2659,1.3007,3596,0
OPM,D,20101020,000000,1.2984,1.2984,1.2543,1.2984,7215,0
OPM,D,20101021,000000,1.2984,1.2984,1.2334,1.2334,15233,0
OPM,D,20101022,000000,1.2311,1.2774,1.1381,1.2774,47709,0
OPM,D,20101025,000000,1.2311,1.2473,1.2311,1.2473,3232,0
OPM,D,20101026,000000,1.2659,1.2659,1.2659,1.2659,7,0
OPM,D,20101027,000000,1.1753,1.2519,1.1753,1.2519,18749,0
OPM,D,20101028,000000,1.2612,1.2612,1.2311,1.2543,1290,0
OPM,D,20101029,000000,1.2519,1.2728,1.2519,1.2728,8583,0
OPM,D,20101102,000000,1.2728,1.2752,1.2728,1.2752,6708,0
OPM,D,20101103,000000,1.2728,1.2774,1.2728,1.2774,552,0
OPM,D,20101104,000000,1.2774,1.2774,1.2543,1.2543,2977,0
OPM,D,20101105,000000,1.2705,1.2705,1.2543,1.2543,2662,0
OPM,D,20101108,000000,1.2705,1.2705,1.2403,1.2543,111,0
OPM,D,20101109,000000,1.2543,1.2543,1.238,1.238,2565,0
OPM,D,20101110,000000,1.2519,1.2519,1.2519,1.2519,7,0
OPM,D,20101112,000000,1.2403,1.2403,1.2403,1.2403,7,0
OPM,D,20101115,000000,1.1985,1.2403,1.1985,1.2403,865,0
OPM,D,20101116,000000,1.2403,1.2403,1.1985,1.1985,428,0
OPM,D,20101117,000000,1.2403,1.2403,1.2403,1.2403,7,0
OPM,D,20101118,000000,1.2403,1.2519,1.1962,1.2519,5581,0
OPM,D,20101119,000000,1.2519,1.2519,1.2217,1.2217,738,0
OPM,D,20101122,000000,1.2519,1.2519,1.1753,1.2217,2117,0
OPM,D,20101123,000000,1.2519,1.2519,1.2217,1.2217,421,0
OPM,D,20101124,000000,1.2519,1.2519,1.2078,1.2078,6670,0
OPM,D,20101125,000000,1.2055,1.2055,1.2055,1.2055,652,0
OPM,D,20101126,000000,1.2055,1.2055,1.1474,1.1846,4956,0
OPM,D,20101129,000000,1.1846,1.1846,1.1497,1.1497,915,0
OPM,D,20101130,000000,1.1846,1.1846,1.1381,1.1381,4314,0
OPM,D,20101201,000000,1.1846,1.1846,1.1381,1.1381,10219,0
OPM,D,20101202,000000,1.1846,1.1915,1.1614,1.1915,3241,0
OPM,D,20101203,000000,1.238,1.2519,1.2009,1.2009,8328,0
OPM,D,20101206,000000,1.2543,1.2543,1.2519,1.2519,1337,0
OPM,D,20101207,000000,1.2519,1.2519,1.2102,1.2102,1079,0
OPM,D,20101208,000000,1.2078,1.2078,1.2078,1.2078,4311,0
OPM,D,20101209,000000,1.2519,1.2519,1.2194,1.2194,414,0
OPM,D,20101210,000000,1.1846,1.1846,1.1846,1.1846,1332,0
OPM,D,20101213,000000,1.2496,1.2496,1.2194,1.2194,414,0
OPM,D,20101214,000000,1.2496,1.2496,1.2496,1.2496,7,0
OPM,D,20101215,000000,1.2311,1.2311,1.2311,1.2311,528,0
OPM,D,20101216,000000,1.2496,1.2496,1.2496,1.2496,4,0
OPM,D,20101217,000000,1.2496,1.2496,1.2171,1.2217,1877,0
OPM,D,20101220,000000,1.2426,1.2426,1.2426,1.2426,15,0
OPM,D,20101221,000000,1.2311,1.2311,1.1846,1.1846,548,0
OPM,D,20101222,000000,1.1846,1.2032,1.1846,1.2032,5743,0
OPM,D,20101223,000000,1.2032,1.2032,1.1753,1.1753,1581598,0
OPM,D,20101227,000000,1.1776,1.1776,1.1614,1.1614,1024,0
OPM,D,20101228,000000,1.2032,1.2032,1.1614,1.1614,1175,0
OPM,D,20101229,000000,1.2426,1.2426,1.2426,1.2426,7,0
OPM,D,20101230,000000,1.2311,1.2311,1.166,1.2311,66,0
OPM,D,20101231,000000,1.2311,1.2311,1.2311,1.2311,16,0
OPM,D,20110103,000000,1.2311,1.2311,1.1985,1.1985,421,0
OPM,D,20110104,000000,1.2009,1.2009,1.1497,1.1497,946,0
OPM,D,20110105,000000,1.2519,1.2519,1.1846,1.1846,3329,0
OPM,D,20110107,000000,1.1869,1.1869,1.1869,1.1869,31,0
OPM,D,20110110,000000,1.1892,1.1892,1.1892,1.1892,7,0
OPM,D,20110111,000000,1.1846,1.1846,1.1846,1.1846,15,0
OPM,D,20110112,000000,1.1822,1.1822,1.1404,1.1521,5253,0
OPM,D,20110113,000000,1.2519,1.2519,1.2217,1.2217,2676,0
OPM,D,20110114,000000,1.2217,1.2217,1.2217,1.2217,259,0
OPM,D,20110117,000000,1.2217,1.2217,1.2217,1.2217,15,0
OPM,D,20110118,000000,1.1637,1.2194,1.1637,1.2194,1283,0
OPM,D,20110119,000000,1.1892,1.2194,1.1683,1.2194,414,0
OPM,D,20110120,000000,1.2194,1.2194,1.2148,1.2148,20,0
OPM,D,20110121,000000,1.2148,1.2148,1.2148,1.2148,15,0
OPM,D,20110124,000000,1.2148,1.2148,1.2148,1.2148,7,0
OPM,D,20110125,000000,1.2148,1.2148,1.2148,1.2148,7,0
OPM,D,20110126,000000,1.2125,1.2194,1.2078,1.2078,9080,0
OPM,D,20110127,000000,1.2217,1.2217,1.166,1.2217,12584,0
OPM,D,20110128,000000,1.2217,1.2217,1.1683,1.1683,1294,0
OPM,D,20110131,000000,1.2055,1.2055,1.2055,1.2055,7,0
OPM,D,20110201,000000,1.2055,1.2055,1.2055,1.2055,4,0
OPM,D,20110202,000000,1.2217,1.2217,1.1707,1.1707,1734,0
OPM,D,20110203,000000,1.2055,1.2728,1.1614,1.1869,38122,0
OPM,D,20110204,000000,1.2287,1.2287,1.1776,1.1776,1627,0
OPM,D,20110207,000000,1.2055,1.2055,1.2055,1.2055,4,0
OPM,D,20110208,000000,1.1799,1.2055,1.1707,1.1707,4198,0
OPM,D,20110209,000000,1.1707,1.2171,1.166,1.1892,23275,0
OPM,D,20110210,000000,1.2055,1.2125,1.1683,1.1915,16964,0
OPM,D,20110211,000000,1.1939,1.2055,1.159,1.1729,15488,0
OPM,D,20110214,000000,1.1985,1.2055,1.1707,1.1707,20622,0
OPM,D,20110215,000000,1.2078,1.2078,1.1892,1.1892,4422,0
OPM,D,20110216,000000,1.224,1.224,1.1846,1.224,1935,0
OPM,D,20110217,000000,1.2078,1.2078,1.2078,1.2078,437,0
OPM,D,20110218,000000,1.2125,1.2125,1.2125,1.2125,313,0
OPM,D,20110221,000000,1.2078,1.2263,1.1497,1.1892,2483,0
OPM,D,20110222,000000,1.1939,1.3007,1.1544,1.2543,59354,0
OPM,D,20110223,000000,1.2543,1.3239,1.1846,1.2868,40880,0
OPM,D,20110224,000000,1.2705,1.3007,1.2148,1.2543,26992,0
OPM,D,20110225,000000,1.2728,1.2728,1.2125,1.2612,9448,0
OPM,D,20110228,000000,1.2728,1.2752,1.2148,1.2311,8057,0
OPM,D,20110301,000000,1.2125,1.2705,1.2125,1.2311,3055,0
OPM,D,20110302,000000,1.2774,1.3936,1.2263,1.3657,66145,0
OPM,D,20110303,000000,1.3657,1.3657,1.3588,1.3634,1738,0
OPM,D,20110304,000000,1.4169,1.4169,1.3518,1.3518,14295,0
OPM,D,20110307,000000,1.3657,1.3657,1.331,1.331,11657,0
OPM,D,20110308,000000,1.331,1.3936,1.331,1.3936,27540,0
OPM,D,20110309,000000,1.4401,1.684,1.3983,1.447,95897,0
OPM,D,20110310,000000,1.4633,1.526,1.4307,1.4633,62166,0
OPM,D,20110311,000000,1.4169,1.5051,1.4169,1.4215,10691,0
OPM,D,20110314,000000,1.4818,1.6236,1.4726,1.5678,69169,0
OPM,D,20110315,000000,1.5678,1.6724,1.5678,1.6375,69544,0
OPM,D,20110316,000000,1.6468,1.9789,1.6073,1.7397,353064,0
OPM,D,20110317,000000,1.7769,1.9627,1.6259,1.6468,554091,0
OPM,D,20110318,000000,1.7118,1.7118,1.5469,1.6096,97928,0
OPM,D,20110321,000000,1.6236,1.6236,1.5051,1.5585,27886,0
OPM,D,20110322,000000,1.5539,1.6259,1.5098,1.6096,78264,0
OPM,D,20110323,000000,1.6933,1.6955,1.6143,1.6259,112440,0
OPM,D,20110324,000000,1.6282,1.6375,1.6119,1.6375,30714,0
OPM,D,20110325,000000,1.6259,1.6282,1.5516,1.598,36497,0
OPM,D,20110328,000000,1.6422,1.6422,1.5237,1.5794,45032,0
OPM,D,20110329,000000,1.5562,1.5562,1.5098,1.5539,24782,0
OPM,D,20110330,000000,1.5492,1.5492,1.4633,1.533,29176,0
OPM,D,20110331,000000,1.533,1.5794,1.4888,1.5074,46597,0
OPM,D,20110401,000000,1.5423,1.5423,1.5074,1.5098,34017,0
OPM,D,20110404,000000,1.5098,1.5098,1.4377,1.4517,49416,0
OPM,D,20110405,000000,1.4146,1.4447,1.3727,1.4052,114539,0
OPM,D,20110406,000000,1.4052,1.4307,1.3704,1.4307,55785,0
OPM,D,20110407,000000,1.4447,1.4633,1.4307,1.4401,16346,0
OPM,D,20110408,000000,1.4401,1.4726,1.4331,1.4633,26223,0
OPM,D,20110411,000000,1.4633,1.4795,1.4075,1.454,33873,0
OPM,D,20110412,000000,1.454,1.454,1.3936,1.4261,23781,0
OPM,D,20110413,000000,1.4261,1.4261,1.3704,1.4099,8742,0
OPM,D,20110414,000000,1.4099,1.4099,1.382,1.382,223427,0
OPM,D,20110415,000000,1.382,1.4169,1.382,1.4052,24221,0
OPM,D,20110418,000000,1.4261,1.4261,1.3867,1.4169,23268,0
