<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPN,D,20070912,000000,7.4566,8.1347,7.1673,7.1673,524888,0
OPN,D,20070913,000000,7.1403,7.4115,7.1403,7.4115,77200,0
OPN,D,20070914,000000,7.4115,7.4115,7.1855,7.2036,27091,0
OPN,D,20070917,000000,7.2849,7.3662,7.1311,7.1855,19013,0
OPN,D,20070918,000000,7.0499,7.2759,6.9593,7.2308,13779,0
OPN,D,20070919,000000,7.4024,7.5922,7.1945,7.5922,67542,0
OPN,D,20070920,000000,7.6283,7.6283,7.2849,7.5017,70757,0
OPN,D,20070921,000000,7.4115,7.4566,7.312,7.312,11332,0
OPN,D,20070924,000000,7.5289,7.5289,7.3662,7.4115,8181,0
OPN,D,20070925,000000,7.4205,7.4205,7.2308,7.3662,19611,0
OPN,D,20070926,000000,7.3482,7.5017,7.3482,7.5017,80070,0
OPN,D,20070927,000000,7.5017,8.1347,7.4566,7.9537,164273,0
OPN,D,20070928,000000,7.8634,7.8634,7.547,7.7729,70767,0
OPN,D,20071001,000000,7.8544,7.9356,7.5379,7.7549,30557,0
OPN,D,20071002,000000,7.7549,8.1347,7.6645,7.782,40078,0
OPN,D,20071003,000000,7.9084,7.9084,7.3843,7.6283,30610,0
OPN,D,20071004,000000,7.6283,7.6375,7.3299,7.5651,24069,0
OPN,D,20071005,000000,7.547,7.7729,7.5017,7.7729,13261,0
OPN,D,20071008,000000,7.6826,7.8454,7.6826,7.7729,14244,0
OPN,D,20071009,000000,7.8091,7.8091,7.7368,7.7729,8117,0
OPN,D,20071010,000000,7.6916,7.7096,7.6013,7.6553,6523,0
OPN,D,20071011,000000,7.7639,7.7729,7.6645,7.7729,3038,0
OPN,D,20071012,000000,7.7909,7.8634,7.6826,7.8544,5416,0
OPN,D,20071015,000000,7.9268,7.9446,7.8271,7.9268,15135,0
OPN,D,20071016,000000,7.8362,7.9268,7.782,7.8544,8645,0
OPN,D,20071017,000000,7.8634,7.9356,7.6826,7.9356,8847,0
OPN,D,20071018,000000,7.9356,7.9537,7.8091,7.9268,5821,0
OPN,D,20071019,000000,7.8723,7.9989,7.7729,7.9989,5962,0
OPN,D,20071022,000000,7.981,7.981,7.7005,7.9175,11615,0
OPN,D,20071023,000000,7.9175,7.9537,7.6826,7.9537,19481,0
OPN,D,20071024,000000,7.9175,7.9175,7.7278,7.8091,8989,0
OPN,D,20071025,000000,7.7729,7.9537,7.7729,7.9268,9059,0
OPN,D,20071026,000000,7.6916,8.035,7.6916,8.035,26441,0
OPN,D,20071029,000000,8.035,8.2249,7.8634,8.216,22431,0
OPN,D,20071030,000000,8.2973,8.9027,8.2973,8.6316,45997,0
OPN,D,20071031,000000,8.8936,8.9473,8.7039,8.7672,15706,0
OPN,D,20071102,000000,8.7581,9.563,8.4147,9.2186,27941,0
OPN,D,20071105,000000,9.4794,9.4892,8.1347,8.2339,70720,0
OPN,D,20071106,000000,8.4961,8.4961,8.2339,8.3786,4064,0
OPN,D,20071107,000000,8.5865,8.5865,8.0622,8.2249,14704,0
OPN,D,20071108,000000,8.1163,8.6588,7.7278,8.1163,35851,0
OPN,D,20071109,000000,8.5682,8.5682,7.7457,8.035,20579,0
OPN,D,20071112,000000,8.3967,8.4869,7.7729,8.1074,10714,0
OPN,D,20071113,000000,8.2249,8.2249,7.7909,8.1347,293,0
OPN,D,20071114,000000,8.6588,8.6588,8.2249,8.2249,37211,0
OPN,D,20071115,000000,8.3876,8.3876,7.6826,7.9537,35522,0
OPN,D,20071116,000000,7.8002,8.4055,7.8002,8.4055,10304,0
OPN,D,20071119,000000,8.5142,8.5142,7.9537,7.9537,11941,0
OPN,D,20071120,000000,7.9537,8.1254,7.7729,8.1254,4286,0
OPN,D,20071121,000000,8.0531,8.0531,7.5922,7.7729,15260,0
OPN,D,20071122,000000,7.9356,8.0442,7.6826,8.0442,7530,0
OPN,D,20071123,000000,7.9537,8.216,7.9537,8.216,3243,0
OPN,D,20071126,000000,8.3604,8.4508,8.0442,8.2068,9445,0
OPN,D,20071127,000000,8.3604,8.3604,7.9537,8.1347,5391,0
OPN,D,20071128,000000,7.9537,8.2068,7.9537,8.1347,1405,0
OPN,D,20071129,000000,8.1347,8.1798,8.1347,8.1347,11866,0
OPN,D,20071130,000000,8.2973,8.8123,8.2973,8.8123,11591,0
OPN,D,20071203,000000,8.7672,8.7672,8.5865,8.7672,2045,0
OPN,D,20071204,000000,8.7581,8.7581,8.7492,8.7492,466,0
OPN,D,20071205,000000,8.8484,9.4,8.7401,9.0388,2189,0
OPN,D,20071206,000000,9.0113,9.0388,8.9388,9.0388,14159,0
OPN,D,20071207,000000,9.0292,9.0388,8.8666,9.0388,6232,0
OPN,D,20071210,000000,9.0388,9.2916,8.7672,8.9923,14999,0
OPN,D,20071211,000000,8.9837,8.9837,8.9743,8.9743,3050,0
OPN,D,20071212,000000,8.7944,8.7944,8.324,8.6226,16652,0
OPN,D,20071213,000000,8.6588,8.6588,8.1347,8.3514,7842,0
OPN,D,20071214,000000,8.1347,8.1347,7.782,7.9718,23292,0
OPN,D,20071217,000000,7.9718,7.9718,7.294,7.7457,28951,0
OPN,D,20071218,000000,7.583,7.583,7.2308,7.3482,40681,0
OPN,D,20071219,000000,7.3482,7.4115,6.8239,7.4115,76045,0
OPN,D,20071220,000000,7.5379,7.7457,7.4205,7.7457,11699,0
OPN,D,20071221,000000,7.7189,7.9356,7.5017,7.6826,27476,0
OPN,D,20071227,000000,7.6826,7.6826,7.6826,7.6826,1837,0
OPN,D,20071228,000000,7.5741,7.6826,7.5741,7.6826,57826,0
OPN,D,20080102,000000,7.6826,7.9446,7.6826,7.8634,3969,0
OPN,D,20080103,000000,7.7005,7.8634,7.5017,7.8634,10361,0
OPN,D,20080104,000000,7.8634,7.8634,7.5017,7.5922,5265,0
OPN,D,20080107,000000,7.5922,7.7189,7.0588,7.583,4213,0
OPN,D,20080108,000000,7.5651,7.7278,7.258,7.7278,8463,0
OPN,D,20080109,000000,7.4205,7.6826,7.4115,7.6645,9457,0
OPN,D,20080110,000000,7.5922,7.5922,7.3299,7.5741,7013,0
OPN,D,20080111,000000,7.547,7.8634,7.547,7.8634,5887,0
OPN,D,20080114,000000,7.8544,7.8634,7.3211,7.4474,10677,0
OPN,D,20080115,000000,7.2487,7.4295,7.2308,7.4295,5254,0
OPN,D,20080116,000000,7.4115,7.4115,6.7787,6.9144,14752,0
OPN,D,20080117,000000,7.2216,7.2216,6.9323,7.1311,883,0
OPN,D,20080118,000000,7.095,7.095,6.7787,6.9593,35656,0
OPN,D,20080121,000000,6.8148,7.095,6.7787,6.8239,10464,0
OPN,D,20080122,000000,6.9504,7.1673,6.3359,7.0499,25958,0
OPN,D,20080123,000000,7.375,7.375,6.9866,7.0046,20447,0
OPN,D,20080124,000000,7.1311,8.1347,7.095,8.1347,54182,0
OPN,D,20080125,000000,8.1163,8.1347,7.8634,8.0442,24679,0
OPN,D,20080128,000000,8.035,8.035,7.6826,7.9989,12793,0
OPN,D,20080129,000000,8.1798,8.2249,7.8634,8.1347,18920,0
OPN,D,20080130,000000,8.1347,8.288,8.1347,8.243,38929,0
OPN,D,20080131,000000,8.2339,8.5865,8.0442,8.5865,52571,0
OPN,D,20080201,000000,8.5773,9.0196,8.2339,8.8575,7757,0
OPN,D,20080204,000000,8.6769,9.0292,8.6769,9.0292,16389,0
OPN,D,20080205,000000,9.0292,10.747,9.0292,9.4892,151999,0
OPN,D,20080206,000000,9.2552,9.943,9.0388,9.699,26933,0
OPN,D,20080207,000000,9.699,9.707,9.0388,9.4794,20207,0
OPN,D,20080208,000000,9.652,9.652,9.3111,9.627,10891,0
OPN,D,20080211,000000,9.662,10.033,9.627,9.933,6779,0
OPN,D,20080212,000000,9.988,10.033,9.627,10.033,32664,0
OPN,D,20080213,000000,10.033,10.033,9.87,9.933,7676,0
