<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBX,D,20150708,000000,9.0079,9.0079,9.0079,9.0079,600,0
PBX,D,20150709,000000,9.0079,9.0079,8.9645,8.9645,14916,0
PBX,D,20150710,000000,9.2256,9.2793,9.0983,9.0983,5645,0
PBX,D,20150713,000000,9.0983,9.324,9.0983,9.324,15784,0
PBX,D,20150714,000000,9.4588,9.549,9.324,9.504,12098,0
PBX,D,20150715,000000,9.549,9.549,9.549,9.549,23088,0
PBX,D,20150716,000000,9.612,9.711,9.612,9.711,29164,0
PBX,D,20150717,000000,9.747,9.819,9.729,9.729,8049,0
PBX,D,20150720,000000,9.774,9.911,9.774,9.911,3354,0
PBX,D,20150721,000000,9.911,9.911,9.657,9.81,2595,0
PBX,D,20150722,000000,9.549,9.549,9.549,9.549,3107,0
PBX,D,20150723,000000,9.639,9.649,9.639,9.649,166,0
PBX,D,20150724,000000,9.4499,9.4499,9.4499,9.4499,66,0
PBX,D,20150728,000000,9.639,9.639,9.514,9.514,108,0
PBX,D,20150729,000000,9.514,9.729,9.2968,9.639,630,0
PBX,D,20150730,000000,9.639,9.639,9.639,9.639,16677,0
PBX,D,20150731,000000,9.711,9.711,9.2968,9.2968,5578,0
PBX,D,20150803,000000,9.4588,9.4588,9.4588,9.4588,23530,0
PBX,D,20150804,000000,9.639,9.639,9.639,9.639,22257,0
PBX,D,20150805,000000,9.4134,9.4588,9.4134,9.4588,15138,0
PBX,D,20150806,000000,9.4686,9.4686,9.4686,9.4686,10,0
PBX,D,20150807,000000,9.54,9.639,9.54,9.639,2498,0
PBX,D,20150810,000000,9.684,9.684,9.639,9.639,416,0
PBX,D,20150811,000000,9.567,9.567,9.567,9.567,53,0
PBX,D,20150812,000000,9.549,9.549,9.4588,9.4588,7658,0
PBX,D,20150813,000000,9.567,9.684,9.567,9.684,158,0
PBX,D,20150818,000000,9.629,9.629,9.629,9.629,555,0
PBX,D,20150819,000000,9.548,9.83,9.539,9.539,383,0
PBX,D,20150820,000000,9.539,9.576,9.539,9.566,2063,0
PBX,D,20150824,000000,9.0945,9.531,9.0673,9.44,24094,0
PBX,D,20150825,000000,9.44,9.44,9.3928,9.44,20950,0
PBX,D,20150828,000000,9.44,9.531,9.44,9.531,11503,0
PBX,D,20150831,000000,9.576,9.667,9.531,9.667,8584,0
PBX,D,20150901,000000,9.667,9.667,9.531,9.629,4466,0
PBX,D,20150902,000000,9.657,9.657,9.649,9.649,7100,0
PBX,D,20150903,000000,9.621,9.667,9.621,9.667,19865,0
PBX,D,20150904,000000,9.531,9.531,9.531,9.531,8801,0
PBX,D,20150907,000000,9.2579,9.639,9.167,9.585,1796,0
PBX,D,20150908,000000,9.44,9.513,9.2133,9.513,77948,0
PBX,D,20150910,000000,9.44,9.44,9.44,9.44,320,0
PBX,D,20150911,000000,9.44,9.629,9.44,9.604,12988,0
PBX,D,20150914,000000,9.604,9.604,9.3493,9.531,7174,0
PBX,D,20150915,000000,9.585,9.585,9.531,9.566,2035,0
PBX,D,20150916,000000,9.566,9.566,9.4942,9.4942,1407,0
PBX,D,20150917,000000,9.522,9.522,9.4578,9.4578,6737,0
PBX,D,20150918,000000,9.44,9.44,9.44,9.44,763,0
PBX,D,20150921,000000,9.44,9.44,9.3928,9.3928,616,0
PBX,D,20150922,000000,9.3928,9.44,9.3928,9.44,3440,0
PBX,D,20150923,000000,9.44,9.44,9.44,9.44,680,0
PBX,D,20150924,000000,9.503,9.621,9.3839,9.621,45171,0
PBX,D,20150925,000000,9.3928,9.4676,9.3928,9.4676,877,0
PBX,D,20150928,000000,9.531,9.531,9.4844,9.4844,1788,0
PBX,D,20150929,000000,9.531,9.531,9.531,9.531,10,0
PBX,D,20150930,000000,9.522,9.531,9.522,9.531,21,0
PBX,D,20151001,000000,9.522,9.604,9.4489,9.531,32781,0
PBX,D,20151002,000000,9.612,9.612,9.531,9.531,65959,0
PBX,D,20151005,000000,9.531,9.612,9.4942,9.531,3442,0
PBX,D,20151006,000000,9.531,9.793,9.4125,9.758,42922,0
PBX,D,20151007,000000,9.758,9.758,9.667,9.74,3595,0
PBX,D,20151008,000000,9.74,9.758,9.531,9.711,1333,0
PBX,D,20151009,000000,9.758,9.758,9.629,9.758,2466,0
PBX,D,20151012,000000,9.758,9.939,9.748,9.929,2399,0
