<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCF,D,20201218,000000,84.717,84.717,64.983,74.73,785673,0
PCF,D,20201221,000000,74.75,76.743,67.275,69.258,125917,0
PCF,D,20201222,000000,69.717,74.531,67.285,72.537,48379,0
PCF,D,20201223,000000,72.757,73.265,69.777,70.763,23867,0
PCF,D,20201228,000000,71.76,73.155,68.272,70.325,71969,0
PCF,D,20201229,000000,70.763,72.199,69.787,71.152,41257,0
PCF,D,20201230,000000,71.611,71.611,69.966,69.976,29971,0
PCF,D,20210104,000000,71.75,74.75,70.763,73.953,19210,0
PCF,D,20210105,000000,74.949,80.73,74.75,79.733,53862,0
PCF,D,20210107,000000,74.75,86.401,74.401,79.733,124036,0
PCF,D,20210108,000000,81.129,81.228,76.664,76.733,35071,0
PCF,D,20210111,000000,76.743,79.504,76.743,77.64,15865,0
PCF,D,20210112,000000,78.637,80.002,77.74,78.238,13683,0
PCF,D,20210113,000000,78.338,78.438,76.803,77.242,10338,0
PCF,D,20210114,000000,77.73,78.866,77.7,78.039,9556,0
PCF,D,20210115,000000,79.095,79.095,77.511,78.238,6045,0
PCF,D,20210118,000000,79.135,79.235,77.64,78.238,9184,0
PCF,D,20210119,000000,78.139,78.139,76.943,77.581,6301,0
PCF,D,20210120,000000,77.74,78.238,77.242,77.64,7986,0
PCF,D,20210121,000000,77.84,77.939,76.504,76.743,12486,0
PCF,D,20210122,000000,76.345,76.664,74.949,75.996,6411,0
PCF,D,20210125,000000,76.006,77.032,75.747,76.046,6997,0
PCF,D,20210126,000000,76.026,77.301,75.547,76.524,3867,0
PCF,D,20210127,000000,76.066,76.863,74.152,74.361,19275,0
PCF,D,20210128,000000,74.75,74.75,71.959,74.75,19361,0
PCF,D,20210129,000000,75.149,75.398,73.873,74.252,12425,0
PCF,D,20210201,000000,74.75,75.248,71.76,71.76,18780,0
PCF,D,20210202,000000,72.757,73.753,71.262,71.262,42077,0
PCF,D,20210203,000000,72.358,72.757,71.361,71.76,24897,0
PCF,D,20210204,000000,72.348,77.74,71.76,77.74,152885,0
PCF,D,20210205,000000,77.969,81.129,74.949,78.737,61112,0
PCF,D,20210208,000000,79.235,82.723,77.79,80.531,92187,0
PCF,D,20210209,000000,80.511,80.511,76.953,77.262,33433,0
PCF,D,20210210,000000,77.262,78.617,75.946,76.255,34410,0
PCF,D,20210211,000000,76.524,77.132,74.999,77.132,40243,0
PCF,D,20210212,000000,77.242,78.517,75.248,75.248,25064,0
PCF,D,20210215,000000,76.245,77.65,75.448,77.242,9440,0
PCF,D,20210216,000000,77.242,78.029,76.743,76.863,22849,0
PCF,D,20210217,000000,77.74,77.74,75.378,75.448,24059,0
PCF,D,20210218,000000,75.747,78.029,75.448,77.441,64902,0
PCF,D,20210219,000000,78.019,78.029,76.743,76.743,39501,0
PCF,D,20210222,000000,77.72,77.72,76.145,77.222,7794,0
PCF,D,20210223,000000,77.092,77.122,72.607,74.74,29738,0
PCF,D,20210224,000000,74.65,77.64,74.65,77.64,11464,0
PCF,D,20210225,000000,79.434,81.727,78.438,80.521,82045,0
PCF,D,20210226,000000,81.727,82.524,78.547,80.481,86920,0
PCF,D,20210301,000000,81.228,82.046,77.511,78.039,41205,0
PCF,D,20210302,000000,78.517,79.225,75.816,77.949,28250,0
PCF,D,20210303,000000,77.74,78.059,75.278,75.946,24214,0
PCF,D,20210304,000000,74.75,75.338,73.275,74.351,23292,0
PCF,D,20210305,000000,75.707,77.481,75.348,76.245,23287,0
PCF,D,20210308,000000,76.733,78.976,76.733,78.836,15326,0
PCF,D,20210309,000000,79.036,79.564,77.74,78.936,21944,0
PCF,D,20210310,000000,79.424,79.424,77.351,77.351,16686,0
PCF,D,20210311,000000,78.298,78.567,76.863,78.039,7584,0
PCF,D,20210312,000000,78.517,78.637,76.903,78.139,10718,0
PCF,D,20210315,000000,78.398,79.733,77.74,79.514,18226,0
PCF,D,20210316,000000,79.644,80.531,77.341,77.341,35954,0
PCF,D,20210317,000000,78.208,78.208,75.747,76.544,17848,0
PCF,D,20210318,000000,76.943,77.541,76.145,76.544,11545,0
PCF,D,20210319,000000,76.245,77.242,75.547,76.943,7354,0
PCF,D,20210322,000000,77.74,77.74,76.743,77.441,7063,0
PCF,D,20210323,000000,77.72,79.036,76.863,78.737,18357,0
PCF,D,20210324,000000,78.727,78.727,77.74,78.637,10049,0
PCF,D,20210325,000000,78.248,78.617,76.165,76.345,15035,0
PCF,D,20210326,000000,76.733,82.026,76.444,80.72,77659,0
PCF,D,20210329,000000,81.348,82.723,78.747,79.733,40926,0
PCF,D,20210330,000000,81.129,81.228,78.856,79.634,17396,0
PCF,D,20210331,000000,79.733,79.733,76.275,76.275,91607,0
PCF,D,20210401,000000,76.644,79.733,74.85,77.341,53515,0
PCF,D,20210406,000000,81.727,82.424,77.84,81.029,136035,0
