<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCR,D,20140625,000000,21.179,21.179,19.508,19.508,143672,0
PCR,D,20140626,000000,19.566,20.767,19.566,20.226,24086,0
PCR,D,20140627,000000,20.272,20.59,20.267,20.321,3503,0
PCR,D,20140630,000000,20.332,20.585,20.332,20.473,3061,0
PCR,D,20140701,000000,20.538,20.538,20.29,20.297,559,0
PCR,D,20140702,000000,20.385,20.385,19.92,20.002,56795,0
PCR,D,20140703,000000,20.002,20.002,19.831,20.002,8364,0
PCR,D,20140704,000000,20.002,20.59,20.002,20.59,317,0
PCR,D,20140707,000000,20.585,20.585,20.002,20.002,48056,0
PCR,D,20140708,000000,20.002,20.002,19.996,20.002,2003,0
PCR,D,20140709,000000,19.96,19.96,19.92,19.92,169,0
PCR,D,20140710,000000,19.92,19.92,19.772,19.772,129,0
PCR,D,20140711,000000,19.768,19.768,19.708,19.768,161,0
PCR,D,20140714,000000,19.879,19.883,19.879,19.883,10013,0
PCR,D,20140715,000000,19.772,20.002,19.772,20.002,186,0
PCR,D,20140716,000000,20.002,20.002,19.826,19.826,25,0
PCR,D,20140717,000000,19.779,19.883,19.649,19.883,774,0
PCR,D,20140718,000000,19.596,19.596,19.59,19.59,9046,0
PCR,D,20140721,000000,19.75,19.82,19.619,19.619,6790,0
PCR,D,20140722,000000,19.619,19.82,19.619,19.82,19,0
PCR,D,20140723,000000,19.826,19.826,19.59,19.59,4532,0
PCR,D,20140725,000000,19.76,19.76,19.355,19.413,6965,0
PCR,D,20140728,000000,19.531,19.76,19.531,19.76,858,0
PCR,D,20140729,000000,19.82,19.826,19.738,19.82,2282,0
PCR,D,20140730,000000,19.76,19.768,19.76,19.768,1257,0
PCR,D,20140731,000000,19.768,19.768,19.76,19.768,513,0
PCR,D,20140801,000000,19.755,19.755,19.59,19.731,2727,0
PCR,D,20140804,000000,19.768,19.768,19.678,19.75,6393,0
PCR,D,20140805,000000,19.738,19.738,19.619,19.649,6560,0
PCR,D,20140806,000000,19.649,19.649,19.413,19.485,13719,0
PCR,D,20140807,000000,19.408,19.462,19.237,19.413,10086,0
PCR,D,20140808,000000,19.408,19.449,19.12,19.449,5824,0
PCR,D,20140811,000000,19.268,19.59,19.178,19.573,2754,0
PCR,D,20140812,000000,19.585,19.585,19.454,19.585,11115,0
PCR,D,20140813,000000,19.585,19.585,19.462,19.525,13800,0
PCR,D,20140814,000000,19.649,19.649,19.454,19.578,3507,0
PCR,D,20140818,000000,19.649,19.649,19.549,19.59,6839,0
PCR,D,20140819,000000,19.466,19.59,19.466,19.59,9096,0
PCR,D,20140820,000000,19.59,19.59,19.462,19.462,1135,0
PCR,D,20140821,000000,19.578,19.578,19.454,19.531,2005,0
PCR,D,20140822,000000,19.531,19.531,19.454,19.454,1048,0
PCR,D,20140825,000000,19.555,19.59,19.549,19.59,4114,0
PCR,D,20140826,000000,19.585,19.585,19.479,19.531,1871,0
PCR,D,20140827,000000,19.521,19.531,19.454,19.521,1326,0
PCR,D,20140828,000000,19.454,19.454,17.649,18.737,13150,0
PCR,D,20140829,000000,18.726,18.972,18.238,18.972,8591,0
PCR,D,20140901,000000,18.972,18.972,18.355,18.531,5208,0
PCR,D,20140902,000000,18.737,18.737,18.355,18.69,1189,0
PCR,D,20140903,000000,18.696,19.33,18.39,19.291,3121,0
