<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEO,D,19980630,000000,28.047,28.047,28.047,28.047,1098790,0
PEO,D,19980701,000000,29.831,29.831,29.831,29.831,1277383,0
PEO,D,19980702,000000,31.11,31.11,31.11,31.11,1165807,0
PEO,D,19980703,000000,29.831,29.831,29.831,29.831,1666678,0
PEO,D,19980706,000000,29.831,29.831,29.831,29.831,773951,0
PEO,D,19980707,000000,29.068,29.831,29.068,29.326,565039,0
PEO,D,19980708,000000,29.068,29.068,28.047,28.047,1493585,0
PEO,D,19980709,000000,28.047,28.047,28.047,28.047,515635,0
PEO,D,19980710,000000,28.047,28.815,28.047,28.558,189464,0
PEO,D,19980713,000000,29.068,30.342,29.068,30.089,100480,0
PEO,D,19980714,000000,30.6,31.362,30.6,30.6,317234,0
PEO,D,19980715,000000,31.11,31.362,30.089,31.11,625019,0
PEO,D,19980716,000000,31.11,31.11,30.6,30.851,406486,0
PEO,D,19980717,000000,31.621,31.874,31.362,31.621,454550,0
PEO,D,19980720,000000,31.621,33.147,31.621,33.147,246884,0
PEO,D,19980721,000000,33.147,33.147,32.133,32.383,231609,0
PEO,D,19980722,000000,32.637,32.637,31.621,32.133,293781,0
PEO,D,19980723,000000,32.383,33.147,32.383,32.894,201964,0
PEO,D,19980724,000000,32.637,33.147,32.637,32.894,140033,0
PEO,D,19980727,000000,32.383,32.383,31.874,32.383,105382,0
PEO,D,19980728,000000,32.133,32.133,31.362,31.621,162221,0
PEO,D,19980729,000000,31.621,32.383,31.621,32.383,260335,0
PEO,D,19980730,000000,32.637,32.637,32.383,32.637,118453,0
PEO,D,19980731,000000,31.874,32.133,31.621,32.133,174198,0
PEO,D,19980803,000000,31.11,32.133,31.11,31.621,155869,0
PEO,D,19980804,000000,31.874,31.874,31.621,31.621,188780,0
PEO,D,19980805,000000,30.6,31.11,30.6,30.851,260929,0
PEO,D,19980806,000000,31.11,31.621,30.851,30.851,127761,0
PEO,D,19980807,000000,31.11,31.621,31.11,31.621,89652,0
PEO,D,19980810,000000,31.621,31.621,31.11,31.362,86993,0
PEO,D,19980811,000000,30.851,30.851,29.579,29.579,235977,0
