<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEPA,D,20220302,000000,61,62.8,61,62.8,91,0
PEPA,D,20220303,000000,63,63.7,62.6,62.6,112,0
PEPA,D,20220304,000000,61.5,61.5,61.4,61.4,29,0
PEPA,D,20220307,000000,61,61,60.5,60.5,102,0
PEPA,D,20220308,000000,60.4,60.4,60.4,60.4,18,0
PEPA,D,20220309,000000,62.2,65,62.2,65,116,0
PEPA,D,20220310,000000,62,62,62,62,8,0
PEPA,D,20220311,000000,64,64,64,64,12,0
PEPA,D,20220316,000000,64.9,65,64.9,65,34,0
PEPA,D,20220317,000000,65,65.8,65,65.8,647,0
PEPA,D,20220323,000000,72.2,72.8,72.2,72.8,20,0
PEPA,D,20220324,000000,71.8,71.8,71.8,71.8,11,0
PEPA,D,20220328,000000,69.9,70,67.2,67.2,164,0
PEPA,D,20220329,000000,70,70,70,70,31,0
PEPA,D,20220404,000000,69,69,69,69,52,0
PEPA,D,20220405,000000,65,65,65,65,122,0
PEPA,D,20220407,000000,72.3,72.3,72.3,72.3,104,0
PEPA,D,20220408,000000,78,78,78,78,6,0
