<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHN,D,20130213,000000,16.873,17.576,16.873,17.503,817556,0
PHN,D,20130214,000000,17.503,17.792,17.406,17.763,354542,0
PHN,D,20130215,000000,17.763,17.8,17.57,17.637,52207,0
PHN,D,20130218,000000,17.576,17.576,15.946,17.354,76680,0
PHN,D,20130219,000000,17.139,17.428,17.139,17.392,79154,0
PHN,D,20130220,000000,17.354,17.466,17.317,17.435,80112,0
PHN,D,20130221,000000,17.28,17.466,17.097,17.422,77923,0
PHN,D,20130222,000000,17.398,17.534,17.398,17.503,19651,0
PHN,D,20130225,000000,17.503,17.615,17.487,17.511,50260,0
PHN,D,20130226,000000,17.482,17.651,17.466,17.576,30521,0
PHN,D,20130227,000000,17.651,17.859,17.576,17.8,81526,0
PHN,D,20130228,000000,17.8,18.015,17.8,17.946,27637,0
PHN,D,20130301,000000,17.946,18.007,17.651,17.946,23966,0
PHN,D,20130304,000000,17.946,17.946,17.659,17.665,7688,0
PHN,D,20130305,000000,17.703,17.821,17.703,17.8,18567,0
PHN,D,20130306,000000,17.8,17.912,17.763,17.808,18012,0
PHN,D,20130307,000000,17.8,17.896,17.733,17.896,18095,0
PHN,D,20130308,000000,17.8,17.919,17.763,17.903,18101,0
PHN,D,20130311,000000,17.903,18.466,17.77,18.163,64539,0
PHN,D,20130312,000000,18.171,18.394,18.171,18.394,16240,0
PHN,D,20130313,000000,18.409,18.431,18.179,18.401,10851,0
PHN,D,20130314,000000,18.409,18.972,18.409,18.838,65072,0
PHN,D,20130315,000000,18.838,19.431,18.838,19.282,58963,0
PHN,D,20130318,000000,18.934,19.186,17.821,19.127,27617,0
PHN,D,20130319,000000,18.986,19.201,18.86,18.979,7829,0
PHN,D,20130320,000000,18.911,19.647,18.661,19.431,64785,0
PHN,D,20130321,000000,19.467,19.467,18.266,18.69,38899,0
PHN,D,20130322,000000,18.556,18.838,18.282,18.615,74380,0
PHN,D,20130325,000000,18.542,19.192,18.318,19.038,10146,0
