<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN,D,19991126,000000,15.268,15.403,14.715,15.194,15857000,0
PKN,D,19991129,000000,15.124,15.194,14.852,14.923,5499196,0
PKN,D,19991130,000000,15.06,15.33,15.06,15.194,3287087,0
PKN,D,19991201,000000,15.33,15.674,15.194,15.674,3077747,0
PKN,D,19991202,000000,15.818,16.297,15.745,15.954,3304014,0
PKN,D,19991203,000000,15.954,16.225,15.818,16.159,2357914,0
PKN,D,19991206,000000,16.297,16.847,16.297,16.776,3005048,0
PKN,D,19991207,000000,16.711,16.776,16.503,16.503,2426246,0
PKN,D,19991208,000000,16.503,16.911,16.503,16.639,3807338,0
PKN,D,19991209,000000,16.639,16.639,16.225,16.503,2513405,0
PKN,D,19991210,000000,16.639,16.639,16.36,16.431,1873080,0
PKN,D,19991213,000000,16.36,16.503,16.225,16.297,1577360,0
PKN,D,19991214,000000,16.503,16.776,16.503,16.776,3161004,0
PKN,D,19991215,000000,16.711,16.711,16.503,16.569,1310794,0
PKN,D,19991216,000000,16.503,16.503,16.297,16.36,1465447,0
PKN,D,19991217,000000,16.36,16.503,16.297,16.297,1348819,0
PKN,D,19991220,000000,16.503,16.711,16.431,16.711,2436513,0
PKN,D,19991221,000000,16.569,17.054,16.569,16.776,1591422,0
PKN,D,19991222,000000,17.192,17.741,17.192,17.598,2863837,0
PKN,D,19991223,000000,17.671,17.877,17.535,17.598,1306862,0
PKN,D,19991227,000000,17.671,18.085,17.671,17.741,1540090,0
PKN,D,19991228,000000,17.671,17.671,17.256,17.326,1120979,0
PKN,D,19991229,000000,17.326,17.95,17.326,17.95,2012078,0
PKN,D,20000103,000000,18.293,18.564,18.014,18.357,1606818,0
PKN,D,20000104,000000,17.877,17.877,17.462,17.598,1972258,0
PKN,D,20000105,000000,16.984,17.535,16.984,17.398,2718921,0
PKN,D,20000106,000000,17.462,17.806,17.256,17.741,1643433,0
PKN,D,20000107,000000,18.014,18.772,18.014,18.564,4187506,0
PKN,D,20000110,000000,18.637,19.528,18.637,18.772,4413384,0
PKN,D,20000111,000000,18.492,18.637,18.085,18.428,1684978,0
PKN,D,20000112,000000,18.014,18.357,18.014,18.357,1366549,0
PKN,D,20000113,000000,18.428,19.043,18.428,18.908,2141473,0
PKN,D,20000114,000000,18.908,19.187,18.564,18.772,4024127,0
PKN,D,20000117,000000,18.564,18.772,18.564,18.637,1769157,0
PKN,D,20000118,000000,18.699,18.772,18.085,18.221,1246337,0
PKN,D,20000119,000000,17.95,18.357,17.95,18.293,1548419,0
PKN,D,20000120,000000,18.357,18.637,18.149,18.564,2164278,0
PKN,D,20000121,000000,18.428,18.772,18.428,18.699,1573366,0
PKN,D,20000124,000000,18.428,18.428,17.877,18.149,1184610,0
PKN,D,20000125,000000,17.671,17.671,16.847,17.462,1932956,0
PKN,D,20000126,000000,17.462,17.598,17.256,17.462,1391467,0
PKN,D,20000127,000000,17.326,17.741,17.326,17.741,996820,0
PKN,D,20000128,000000,17.806,18.149,17.326,17.535,1044919,0
PKN,D,20000131,000000,17.398,17.398,17.192,17.256,901002,0
PKN,D,20000201,000000,17.598,17.95,16.984,17.054,1435312,0
PKN,D,20000202,000000,17.12,17.256,16.911,17.192,1628046,0
PKN,D,20000203,000000,17.326,17.95,17.326,17.806,1871483,0
PKN,D,20000204,000000,18.014,18.221,17.462,17.598,1440537,0
PKN,D,20000207,000000,17.535,17.671,17.256,17.398,1244569,0
PKN,D,20000208,000000,17.398,17.398,17.054,17.192,1792120,0
PKN,D,20000209,000000,17.326,17.398,16.776,16.847,3106964,0
PKN,D,20000210,000000,16.776,16.847,16.503,16.711,1426317,0
PKN,D,20000211,000000,16.503,16.503,15.882,16.017,3444580,0
