<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW,D,20161019,000000,47.691,47.782,43.374,46.123,61030,0
PLW,D,20161020,000000,45.938,46.123,44.333,46.123,7153,0
PLW,D,20161021,000000,45.293,46.123,45.274,46.076,1323,0
PLW,D,20161024,000000,46.123,48.891,46.067,48.373,9887,0
PLW,D,20161025,000000,48.429,48.429,47.045,48.152,8279,0
PLW,D,20161026,000000,47.968,47.968,46.584,46.584,1598,0
PLW,D,20161027,000000,47.045,47.045,45.661,47.036,291,0
PLW,D,20161028,000000,46.224,46.861,46.224,46.861,216,0
PLW,D,20161031,000000,46.123,47.959,46.123,47.95,1606,0
PLW,D,20161102,000000,47.959,47.968,46.917,47.875,567,0
PLW,D,20161103,000000,47.875,47.875,46.907,47.506,512,0
PLW,D,20161104,000000,47.414,47.414,46.352,47.045,135,0
PLW,D,20161107,000000,47.045,47.045,46.584,47.017,462,0
PLW,D,20161108,000000,47.017,47.017,46.372,46.677,51,0
PLW,D,20161109,000000,46.953,47.045,46.399,47.045,699,0
PLW,D,20161110,000000,47.045,47.045,45.938,46.769,1087,0
PLW,D,20161114,000000,47.045,47.045,46.953,46.953,129,0
PLW,D,20161115,000000,46.943,46.943,45.938,46.584,1407,0
PLW,D,20161116,000000,46.584,46.584,45.209,46.584,395,0
PLW,D,20161117,000000,46.953,46.953,45.016,45.016,909,0
PLW,D,20161118,000000,45.2,45.2,43.382,43.382,1769,0
PLW,D,20161121,000000,43.271,43.271,41.649,42.424,1593,0
PLW,D,20161122,000000,41.649,42.424,41.649,41.713,1251,0
PLW,D,20161123,000000,41.713,41.713,41.418,41.649,689,0
PLW,D,20161124,000000,41.695,41.695,37.923,41.049,7420,0
PLW,D,20161125,000000,41.713,43.356,41.049,43.346,879,0
PLW,D,20161128,000000,43.346,43.346,43.244,43.244,243,0
PLW,D,20161129,000000,43.264,44.924,42.432,44.738,5956,0
PLW,D,20161130,000000,44.738,46.584,43.816,46.123,3316,0
PLW,D,20161201,000000,46.123,46.123,44.093,46.123,370,0
PLW,D,20161202,000000,46.123,46.123,44.647,46.067,365,0
PLW,D,20161205,000000,46.076,46.076,44.738,44.785,117,0
PLW,D,20161206,000000,46.086,46.086,44.555,45.799,854,0
PLW,D,20161207,000000,45.799,45.799,44.655,45.744,200,0
PLW,D,20161208,000000,44.647,45.661,44.647,45.661,624,0
PLW,D,20161209,000000,45.744,45.744,44.629,45.651,583,0
PLW,D,20161212,000000,45.651,45.708,44.629,44.629,807,0
PLW,D,20161213,000000,44.629,46.104,44.629,45.651,921,0
PLW,D,20161214,000000,45.846,45.846,45.2,45.2,97,0
PLW,D,20161215,000000,45.2,45.2,44.647,45.2,292,0
PLW,D,20161216,000000,45.2,45.2,43.642,44.278,769,0
PLW,D,20161219,000000,42.719,45.007,42.488,44.647,4881,0
PLW,D,20161220,000000,43.264,44.738,43.264,44.268,335,0
PLW,D,20161221,000000,44.268,44.268,42.534,42.534,1602,0
PLW,D,20161222,000000,43.807,43.807,42.452,42.452,59,0
PLW,D,20161223,000000,42.886,42.886,42.432,42.664,1000,0
PLW,D,20161227,000000,42.71,43.604,42.11,43.595,1729,0
PLW,D,20161228,000000,43.356,43.356,42.11,42.802,706,0
PLW,D,20161229,000000,43.54,45.2,43.264,44.738,2702,0
PLW,D,20161230,000000,44.278,45.799,44.278,45.799,1979,0
PLW,D,20170102,000000,45.921,45.921,43.955,45.644,2576,0
PLW,D,20170103,000000,45.921,45.921,43.346,43.346,1056,0
PLW,D,20170104,000000,44.259,44.259,43.356,43.356,84,0
PLW,D,20170105,000000,43.356,44.13,42.432,42.432,2670,0
PLW,D,20170109,000000,42.432,42.893,42.432,42.461,742,0
PLW,D,20170110,000000,42.461,42.507,41.88,42.432,2378,0
PLW,D,20170111,000000,42.432,42.432,41.889,41.943,981,0
