<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLX,D,20040227,000000,1.5184,1.545,1.4519,1.4741,3910337,0
PLX,D,20040301,000000,1.5143,1.5228,1.4784,1.4963,1741748,0
PLX,D,20040302,000000,1.5092,1.5664,1.4878,1.54,1069858,0
PLX,D,20040303,000000,1.54,1.5536,1.5184,1.5314,388694,0
PLX,D,20040304,000000,1.54,1.54,1.5049,1.5092,270873,0
PLX,D,20040305,000000,1.5049,1.5184,1.4878,1.5049,740150,0
PLX,D,20040308,000000,1.5314,1.5314,1.4698,1.4698,251989,0
PLX,D,20040309,000000,1.4921,1.4921,1.4305,1.4519,124905,0
PLX,D,20040310,000000,1.4519,1.4519,1.4305,1.4519,106041,0
PLX,D,20040311,000000,1.4348,1.4348,1.3733,1.4084,53547,0
PLX,D,20040312,000000,1.4084,1.4084,1.3596,1.4041,122060,0
PLX,D,20040315,000000,1.3776,1.3998,1.3776,1.3955,123674,0
PLX,D,20040316,000000,1.369,1.3776,1.3596,1.3638,71182,0
PLX,D,20040317,000000,1.3955,1.4084,1.369,1.3733,73640,0
PLX,D,20040318,000000,1.3776,1.4041,1.3776,1.3818,85481,0
PLX,D,20040319,000000,1.3818,1.3818,1.3469,1.369,105777,0
PLX,D,20040322,000000,1.3776,1.3776,1.3202,1.3381,231124,0
PLX,D,20040323,000000,1.3245,1.3426,1.3118,1.3245,44910,0
PLX,D,20040324,000000,1.3023,1.3426,1.2895,1.3118,188413,0
PLX,D,20040325,000000,1.3118,1.3426,1.3118,1.3426,436998,0
PLX,D,20040326,000000,1.3381,1.4348,1.3202,1.386,333136,0
PLX,D,20040329,000000,1.369,1.3955,1.3638,1.386,30556,0
PLX,D,20040330,000000,1.3733,1.3998,1.3638,1.3638,25944,0
PLX,D,20040331,000000,1.3733,1.3818,1.3638,1.3733,46526,0
PLX,D,20040401,000000,1.3818,1.3818,1.3638,1.369,32192,0
PLX,D,20040402,000000,1.3955,1.3998,1.3733,1.3903,32986,0
PLX,D,20040405,000000,1.3776,1.3903,1.3733,1.3733,17017,0
PLX,D,20040406,000000,1.3776,1.386,1.3733,1.3818,27827,0
PLX,D,20040407,000000,1.3955,1.3998,1.3733,1.3733,16193,0
PLX,D,20040408,000000,1.3903,1.3998,1.3733,1.3998,71637,0
PLX,D,20040413,000000,1.4041,1.4263,1.4041,1.4084,40763,0
PLX,D,20040414,000000,1.4263,1.4348,1.4169,1.4169,33620,0
PLX,D,20040415,000000,1.4348,1.54,1.4348,1.54,593512,0
PLX,D,20040416,000000,1.5357,1.5357,1.4963,1.5143,278361,0
PLX,D,20040419,000000,1.4784,1.5184,1.4784,1.4784,199461,0
PLX,D,20040420,000000,1.4878,1.4878,1.4263,1.4476,111495,0
PLX,D,20040421,000000,1.4169,1.4434,1.4084,1.4434,70231,0
PLX,D,20040422,000000,1.4263,1.4263,1.4126,1.4263,14381,0
PLX,D,20040423,000000,1.4263,1.4519,1.4211,1.4519,90995,0
PLX,D,20040426,000000,1.4656,1.4741,1.4305,1.4519,38296,0
PLX,D,20040427,000000,1.4348,1.54,1.4348,1.54,165055,0
PLX,D,20040428,000000,1.6237,1.6237,1.4878,1.4878,384783,0
PLX,D,20040429,000000,1.4741,1.4878,1.4656,1.4878,19556,0
PLX,D,20040430,000000,1.4519,1.4963,1.4519,1.4963,10986,0
PLX,D,20040504,000000,1.4963,1.5092,1.4741,1.5092,12216,0
PLX,D,20040505,000000,1.5092,1.5314,1.4963,1.4963,158040,0
PLX,D,20040506,000000,1.4963,1.5006,1.4963,1.4963,150991,0
PLX,D,20040507,000000,1.4963,1.4963,1.4963,1.4963,74527,0
PLX,D,20040510,000000,1.4741,1.4741,1.4126,1.4305,110537,0
PLX,D,20040511,000000,1.4169,1.4305,1.4084,1.4084,118834,0
PLX,D,20040512,000000,1.3903,1.4084,1.3903,1.4084,68343,0
PLX,D,20040514,000000,1.3903,1.4126,1.3903,1.4084,39697,0
PLX,D,20040517,000000,1.4084,1.4126,1.4084,1.4084,15128,0
PLX,D,20040518,000000,1.4084,1.4698,1.4084,1.4698,27560,0
PLX,D,20040519,000000,1.4519,1.4784,1.4519,1.457,112024,0
PLX,D,20040520,000000,1.4519,1.4613,1.4519,1.4613,16146,0
PLX,D,20040521,000000,1.4835,1.4835,1.457,1.457,2376,0
PLX,D,20040524,000000,1.4835,1.4835,1.4519,1.4741,11292,0
PLX,D,20040525,000000,1.4519,1.4963,1.4305,1.4519,76069,0
PLX,D,20040526,000000,1.4305,1.4741,1.4305,1.4741,17858,0
PLX,D,20040527,000000,1.4348,1.4613,1.4348,1.4613,5771,0
PLX,D,20040528,000000,1.4519,1.4698,1.4391,1.4698,4543,0
PLX,D,20040531,000000,1.4519,1.457,1.4519,1.4519,26216,0
PLX,D,20040601,000000,1.4519,1.4519,1.4519,1.4519,7653,0
PLX,D,20040602,000000,1.4741,1.4784,1.4741,1.4741,15264,0
PLX,D,20040603,000000,1.4519,1.4698,1.4519,1.4698,2125,0
PLX,D,20040604,000000,1.4835,1.4835,1.4519,1.4835,7359,0
PLX,D,20040607,000000,1.457,1.457,1.4519,1.457,38147,0
PLX,D,20040608,000000,1.4784,1.4963,1.4741,1.4963,227449,0
PLX,D,20040609,000000,1.4878,1.4878,1.4741,1.4835,12941,0
PLX,D,20040611,000000,1.4835,1.4835,1.4835,1.4835,3749,0
PLX,D,20040614,000000,1.4835,1.4835,1.4348,1.4348,66761,0
PLX,D,20040615,000000,1.4348,1.4613,1.4348,1.4391,4720,0
