<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTG,D,20211123,000000,72.9,73.9,58.01,61.99,26615,0
PTG,D,20211124,000000,61.99,62.4,59,62.4,5136,0
PTG,D,20211125,000000,62.5,63.89,60.1,61,716,0
PTG,D,20211126,000000,60,61,59,61,884,0
PTG,D,20211129,000000,61,61,59,60.46,476,0
PTG,D,20211130,000000,60.4,60.48,59,59,171,0
PTG,D,20211201,000000,58.5,59.5,58.5,59.5,107,0
PTG,D,20211202,000000,59.9,59.95,55.8,55.8,10057,0
PTG,D,20211203,000000,55.7,55.8,55,55,3430,0
PTG,D,20211206,000000,57.99,59,56,56,1273,0
PTG,D,20211207,000000,56,56,54,55.5,15094,0
PTG,D,20211208,000000,56.49,56.49,56.49,56.49,19,0
PTG,D,20211209,000000,56.49,58.95,54,55,33443,0
PTG,D,20211210,000000,57,58.09,56.99,57,4689,0
PTG,D,20211213,000000,59.94,60,58,58,2555,0
PTG,D,20211214,000000,59.9,64.9,59.9,64.5,6635,0
PTG,D,20211215,000000,64.7,69.8,64.7,68.21,9213,0
PTG,D,20211216,000000,68.3,69.4,65.2,69,3684,0
PTG,D,20211217,000000,69.35,70.4,65.6,70.4,2167,0
PTG,D,20211220,000000,70.5,71,69,70.49,2846,0
PTG,D,20211221,000000,70.59,70.59,67.8,69.31,1749,0
PTG,D,20211222,000000,69,69,66.66,67.9,1499,0
PTG,D,20211223,000000,66.68,66.68,64.1,65,4864,0
PTG,D,20211227,000000,67,68.97,64.41,68.97,4689,0
PTG,D,20211228,000000,68,68,64.55,67.5,6936,0
PTG,D,20211229,000000,67,70,65.3,70,4690,0
PTG,D,20211230,000000,69,69.3,68,68.8,7188,0
PTG,D,20220103,000000,68.8,72.4,68.8,71.5,9789,0
PTG,D,20220104,000000,72,72.9,70.5,72.4,5772,0
PTG,D,20220105,000000,72.4,72.5,71.6,72.4,2414,0
PTG,D,20220107,000000,72.4,72.5,71.4,72,1319,0
PTG,D,20220110,000000,72,72,68.9,69.9,2421,0
PTG,D,20220111,000000,70.46,70.46,68,69.2,1951,0
PTG,D,20220112,000000,69.3,70.4,68,68,2840,0
PTG,D,20220113,000000,69,69.98,65.6,69,1796,0
PTG,D,20220114,000000,70,70,66.13,68,1600,0
PTG,D,20220117,000000,68.7,69.5,68,69.5,803,0
PTG,D,20220118,000000,69.5,69.5,68,68,2586,0
PTG,D,20220119,000000,68,68,65,66.02,4848,0
PTG,D,20220120,000000,66.05,66.97,62.5,65.88,2177,0
PTG,D,20220121,000000,65.88,66,64,64.1,1205,0
PTG,D,20220124,000000,64,64.96,57.6,61,9439,0
PTG,D,20220125,000000,59,59.9,58,59.1,6251,0
PTG,D,20220126,000000,59.1,59.41,58.6,59,1717,0
PTG,D,20220127,000000,59.05,59.8,58.14,59.8,1993,0
PTG,D,20220128,000000,59.8,59.8,57.8,59,3099,0
PTG,D,20220131,000000,59,59,56.05,58,3630,0
PTG,D,20220201,000000,56.5,58.7,56.5,58,323,0
PTG,D,20220202,000000,58.9,58.9,57,58.2,536,0
PTG,D,20220203,000000,58.2,61,57.3,61,1225,0
PTG,D,20220204,000000,60.64,63,60.64,62.01,801,0
PTG,D,20220207,000000,64.95,64.95,61.01,63.5,90,0
PTG,D,20220208,000000,62,63.8,57.4,62,697,0
PTG,D,20220209,000000,63,63,60,62,376,0
