<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNT,D,20070816,000000,11.409,12.55,10.659,11.582,96481,0
QNT,D,20070817,000000,11.828,12.613,11.127,12.1,48047,0
QNT,D,20070820,000000,12.966,13.137,12.141,12.39,13649,0
QNT,D,20070821,000000,12.562,12.562,11.525,12.1,24951,0
QNT,D,20070822,000000,11.825,13.253,11.825,13.253,16676,0
QNT,D,20070823,000000,13.137,13.137,12.741,13.137,11923,0
QNT,D,20070824,000000,12.966,13.132,12.39,13.132,5173,0
QNT,D,20070827,000000,12.879,13.253,12.879,13.023,12323,0
QNT,D,20070828,000000,12.677,13.023,12.417,12.931,946,0
QNT,D,20070829,000000,12.136,12.896,12.136,12.677,1188,0
QNT,D,20070830,000000,12.677,12.923,12.274,12.648,5685,0
QNT,D,20070831,000000,12.39,12.677,12.274,12.562,3834,0
QNT,D,20070903,000000,12.234,12.677,12.158,12.279,3063,0
QNT,D,20070904,000000,12.671,12.677,12.395,12.533,2734,0
QNT,D,20070905,000000,12.475,12.677,12.274,12.677,2585,0
QNT,D,20070906,000000,12.666,12.666,12.62,12.62,1452,0
QNT,D,20070907,000000,12.39,12.447,11.812,12.1,4501,0
QNT,D,20070910,000000,12.1,12.1,11.835,11.846,1001,0
QNT,D,20070911,000000,11.842,12.631,11.812,11.828,1818,0
QNT,D,20070912,000000,11.812,12.376,11.812,12.376,558,0
QNT,D,20070913,000000,12.1,12.319,11.825,12.1,1055,0
QNT,D,20070914,000000,11.818,12.366,11.818,11.905,1188,0
QNT,D,20070917,000000,11.703,12.1,11.697,12.095,1357,0
QNT,D,20070918,000000,11.697,12.1,11.697,12.095,3072,0
QNT,D,20070919,000000,12.21,12.274,11.991,12.1,7089,0
QNT,D,20070920,000000,12.1,12.1,11.875,12.043,2366,0
QNT,D,20070921,000000,11.928,12.043,11.9,11.9,1183,0
QNT,D,20070924,000000,11.928,11.933,10.96,11.812,4535,0
QNT,D,20070925,000000,11.53,11.812,11.525,11.812,812,0
QNT,D,20070926,000000,12.1,12.1,11.589,11.812,1251,0
QNT,D,20070927,000000,11.593,11.807,11.589,11.807,868,0
QNT,D,20070928,000000,11.525,11.749,11.467,11.749,2446,0
QNT,D,20071001,000000,11.265,11.744,11.265,11.3,3481,0
QNT,D,20071002,000000,11.328,11.501,11.178,11.462,2559,0
QNT,D,20071003,000000,11.237,11.237,10.775,10.792,2387,0
QNT,D,20071004,000000,10.724,11.288,10.724,11.288,6867,0
QNT,D,20071005,000000,10.78,10.948,10.78,10.948,616,0
QNT,D,20071008,000000,10.948,10.948,10.948,10.948,1108,0
QNT,D,20071009,000000,10.948,11.006,10.862,11.006,1640,0
QNT,D,20071010,000000,10.948,11.754,10.948,11.484,1583,0
QNT,D,20071011,000000,11.237,11.437,11.237,11.237,485,0
QNT,D,20071012,000000,10.92,11.381,10.92,11.294,1223,0
QNT,D,20071015,000000,11.017,11.443,11.017,11.443,395,0
QNT,D,20071016,000000,11.012,11.282,11.012,11.282,2,0
QNT,D,20071017,000000,11.006,11.231,11.006,11.012,525,0
QNT,D,20071018,000000,11.012,11.231,11.012,11.034,1329,0
QNT,D,20071019,000000,11.034,11.208,11.034,11.208,2130,0
QNT,D,20071022,000000,11.15,11.15,11.063,11.15,1403,0
QNT,D,20071023,000000,10.96,11.034,10.948,11.034,938,0
QNT,D,20071024,000000,10.948,11.034,10.948,10.948,2613,0
QNT,D,20071025,000000,10.948,10.948,10.885,10.948,1026,0
QNT,D,20071026,000000,10.885,10.948,10.833,10.845,362,0
QNT,D,20071029,000000,10.948,10.948,10.833,10.833,1197,0
QNT,D,20071030,000000,10.716,10.775,10.716,10.746,491,0
QNT,D,20071031,000000,10.746,10.948,10.659,10.942,3651,0
QNT,D,20071102,000000,10.879,10.942,10.659,10.724,2628,0
QNT,D,20071105,000000,10.948,11.138,10.948,11.057,3171,0
QNT,D,20071106,000000,10.46,11.144,10.46,11.138,4249,0
QNT,D,20071107,000000,11.127,11.663,11.127,11.663,13348,0
QNT,D,20071108,000000,11.467,11.871,11.237,11.525,9370,0
QNT,D,20071109,000000,11.525,11.611,11.525,11.525,6799,0
QNT,D,20071112,000000,11.611,11.639,11.409,11.525,1001,0
QNT,D,20071113,000000,11.525,11.754,11.525,11.754,2567,0
QNT,D,20071114,000000,11.525,11.697,11.525,11.697,200,0
QNT,D,20071115,000000,11.467,11.611,11.467,11.525,9265,0
QNT,D,20071116,000000,11.265,11.582,10.787,11.409,2916,0
QNT,D,20071119,000000,11.409,11.697,11.409,11.692,945,0
QNT,D,20071120,000000,11.692,11.692,10.81,11.685,5303,0
QNT,D,20071121,000000,11.582,11.582,11.237,11.381,3695,0
QNT,D,20071122,000000,10.954,11.582,10.862,11.582,8659,0
QNT,D,20071123,000000,11.525,11.582,11.525,11.582,975,0
QNT,D,20071126,000000,11.807,11.807,10.954,11.726,1454,0
QNT,D,20071127,000000,11.525,11.697,11.525,11.697,38,0
QNT,D,20071128,000000,11.063,11.726,11.063,11.639,852,0
QNT,D,20071129,000000,11.8,11.8,11.53,11.536,527,0
QNT,D,20071130,000000,11.732,11.732,11.525,11.726,390,0
QNT,D,20071203,000000,11.692,11.754,11.237,11.715,2241,0
QNT,D,20071204,000000,11.525,11.754,11.525,11.749,6732,0
QNT,D,20071205,000000,11.726,11.754,11.726,11.754,330,0
QNT,D,20071206,000000,11.754,11.754,10.948,11.582,1720,0
QNT,D,20071207,000000,11.456,11.796,11.456,11.796,272,0
QNT,D,20071210,000000,11.715,11.715,11.178,11.525,2293,0
QNT,D,20071211,000000,11.525,11.525,11.525,11.525,189,0
QNT,D,20071212,000000,11.242,11.53,11.242,11.53,1245,0
QNT,D,20071213,000000,11.525,11.525,11.265,11.294,405,0
QNT,D,20071214,000000,11.272,11.272,11.265,11.265,921,0
QNT,D,20071217,000000,11.122,11.525,11.122,11.525,10512,0
QNT,D,20071218,000000,11.462,11.462,11.122,11.409,1774,0
QNT,D,20071219,000000,11.242,11.375,10.891,11.375,2513,0
QNT,D,20071220,000000,10.716,11.231,10.716,11.063,5313,0
QNT,D,20071221,000000,11.063,11.237,10.948,11.237,5851,0
QNT,D,20071227,000000,11.237,11.697,11.237,11.697,885,0
QNT,D,20071228,000000,11.017,11.812,11.017,11.754,2323,0
QNT,D,20080102,000000,11.525,11.72,11.525,11.72,106,0
QNT,D,20080103,000000,11.242,11.525,11.242,11.518,536,0
QNT,D,20080104,000000,11.242,11.381,11.237,11.381,663,0
QNT,D,20080107,000000,10.954,11.231,10.954,11.213,594,0
QNT,D,20080108,000000,11.213,11.213,11.006,11.213,1774,0
QNT,D,20080109,000000,11.012,11.208,11.012,11.063,1964,0
QNT,D,20080110,000000,11.15,11.288,10.891,11.288,1309,0
QNT,D,20080111,000000,10.659,11.166,10.659,11.166,67,0
QNT,D,20080114,000000,10.659,11.057,10.378,11.057,3053,0
QNT,D,20080115,000000,10.544,11.028,10.516,10.948,369,0
QNT,D,20080116,000000,9.2259,10.828,9.2259,10.775,20611,0
QNT,D,20080117,000000,10.805,10.805,10.228,10.77,452,0
QNT,D,20080122,000000,9.797,10.602,9.797,10.602,1048,0
QNT,D,20080123,000000,9.801,10.591,9.801,10.591,1867,0
QNT,D,20080124,000000,10.574,10.77,10.574,10.77,48,0
QNT,D,20080125,000000,10.77,10.77,10.716,10.716,788,0
QNT,D,20080130,000000,9.917,10.764,9.917,10.764,267,0
QNT,D,20080131,000000,9.939,10.655,9.939,10.655,175,0
QNT,D,20080201,000000,10.371,10.642,10.371,10.642,86,0
QNT,D,20080204,000000,10.758,11.057,10.758,11.057,498,0
QNT,D,20080206,000000,10.948,10.948,10.02,10.02,1842,0
QNT,D,20080207,000000,11.156,11.156,10.159,11.082,62,0
QNT,D,20080211,000000,10.942,11.122,10.591,11.122,695,0
QNT,D,20080212,000000,11.063,11.116,11.063,11.116,914,0
QNT,D,20080213,000000,11.063,11.063,11.063,11.063,17,0
QNT,D,20080214,000000,10.384,10.862,10.384,10.862,217,0
QNT,D,20080215,000000,10.378,10.828,10.378,10.378,193,0
QNT,D,20080218,000000,10.378,10.828,10.378,10.828,9,0
QNT,D,20080219,000000,10.378,10.659,10.378,10.659,1105,0
QNT,D,20080220,000000,10.378,10.655,10.378,10.655,97,0
QNT,D,20080221,000000,10.366,10.637,9.808,10.637,343,0
QNT,D,20080222,000000,10.1,10.626,10.084,10.626,617,0
QNT,D,20080225,000000,10.084,10.25,9.969,10.25,4809,0
QNT,D,20080226,000000,9.911,10.147,9.911,10.142,45918,0
QNT,D,20080227,000000,10.142,10.389,10.142,10.389,173,0
QNT,D,20080229,000000,9.974,10.477,9.974,10.477,3,0
QNT,D,20080303,000000,10.371,10.371,9.974,10.371,90,0
QNT,D,20080304,000000,10.366,10.366,10.084,10.25,202,0
QNT,D,20080307,000000,9.797,9.969,9.3115,9.969,842,0
QNT,D,20080310,000000,9.2259,9.952,9.2259,9.952,558,0
QNT,D,20080312,000000,9.797,9.797,9.507,9.507,711,0
QNT,D,20080313,000000,9.507,9.797,9.2772,9.797,468,0
QNT,D,20080314,000000,9.2772,9.79,9.2202,9.79,442,0
QNT,D,20080317,000000,9.507,9.507,8.4133,9.2078,715,0
QNT,D,20080318,000000,8.7871,9.2078,8.7871,8.931,685,0
QNT,D,20080319,000000,8.7871,9.3353,8.7871,9.3353,289,0
QNT,D,20080320,000000,8.6433,8.6433,8.6433,8.6433,17,0
QNT,D,20080325,000000,8.0672,9.3286,8.0672,9.3286,317,0
QNT,D,20080326,000000,9.2202,9.2202,8.4015,8.4015,62,0
