<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
R22,D,20171229,000000,21.902,21.902,17.761,17.925,28927,0
R22,D,20180103,000000,17.945,17.945,16.989,17.375,6484,0
R22,D,20180104,000000,17.424,17.424,16.024,16.94,8904,0
R22,D,20180105,000000,17.761,17.761,17.655,17.655,129,0
R22,D,20180108,000000,17.858,18.331,17.375,17.375,2275,0
R22,D,20180109,000000,17.182,17.182,16.95,16.95,5847,0
R22,D,20180110,000000,17.076,17.365,17.076,17.365,209,0
R22,D,20180111,000000,17.617,17.617,16.989,17.375,8660,0
R22,D,20180112,000000,16.94,17.664,16.94,17.664,156,0
R22,D,20180115,000000,18.244,18.244,17.761,18.003,505,0
R22,D,20180116,000000,18.331,18.331,17.703,18.021,11088,0
R22,D,20180117,000000,18.021,18.021,17.626,17.761,9363,0
R22,D,20180118,000000,17.761,17.945,17.036,17.848,3332,0
R22,D,20180119,000000,17.848,17.848,17.664,17.761,6582,0
R22,D,20180122,000000,17.848,17.858,17.761,17.858,1813,0
R22,D,20180123,000000,17.761,17.973,17.664,17.858,12551,0
R22,D,20180124,000000,17.858,17.954,17.703,17.916,1050,0
R22,D,20180125,000000,17.916,19.306,17.742,19.151,13142,0
R22,D,20180126,000000,18.341,19.074,18.341,18.919,6588,0
R22,D,20180129,000000,18.417,18.919,18.417,18.919,6759,0
R22,D,20180130,000000,18.998,18.998,18.417,18.727,21211,0
R22,D,20180131,000000,18.514,19.151,18.514,18.727,10253,0
R22,D,20180201,000000,19.132,19.306,18.707,19.306,3846,0
R22,D,20180202,000000,19.306,19.306,19.306,19.306,35,0
R22,D,20180205,000000,18.822,19.19,18.148,18.822,13774,0
R22,D,20180206,000000,18.341,18.63,16.893,18.63,31002,0
R22,D,20180207,000000,19.209,19.209,18.63,18.804,197,0
R22,D,20180208,000000,18.61,18.822,17.858,18.822,1718,0
R22,D,20180209,000000,18.36,18.765,18.051,18.727,1962,0
R22,D,20180212,000000,18.804,18.822,18.785,18.822,11891,0
R22,D,20180213,000000,18.881,19.692,18.881,19.132,9638,0
R22,D,20180214,000000,19.402,19.595,19.306,19.499,5572,0
R22,D,20180215,000000,19.643,19.74,19.546,19.74,3318,0
R22,D,20180216,000000,19.74,19.789,19.499,19.692,3945,0
R22,D,20180219,000000,19.789,20.223,19.789,20.078,85843,0
R22,D,20180220,000000,20.078,20.078,19.692,20.078,618,0
R22,D,20180221,000000,19.982,19.982,19.306,19.595,2550,0
R22,D,20180222,000000,19.74,19.74,18.534,19.595,6647,0
R22,D,20180223,000000,19.45,19.45,18.592,18.822,3989,0
R22,D,20180226,000000,19.015,19.499,19.015,19.306,2378,0
R22,D,20180227,000000,19.306,19.306,19.306,19.306,7,0
R22,D,20180228,000000,18.881,19.209,18.398,19.209,2299,0
R22,D,20180301,000000,19.015,19.286,18.534,18.534,1145,0
R22,D,20180302,000000,18.63,18.804,18.205,18.727,2954,0
R22,D,20180305,000000,18.919,18.919,18.437,18.727,385,0
R22,D,20180306,000000,18.727,19.306,18.727,19.286,7067,0
R22,D,20180307,000000,19.248,19.248,18.822,19.113,561,0
R22,D,20180308,000000,18.842,18.998,18.727,18.822,3483,0
R22,D,20180309,000000,18.727,19.286,18.727,19.286,15042,0
R22,D,20180312,000000,19.286,19.286,18.534,18.901,2129,0
R22,D,20180313,000000,19.015,19.015,18.63,18.63,563,0
R22,D,20180314,000000,19.015,19.015,18.63,18.63,488,0
R22,D,20180315,000000,18.63,18.63,18.63,18.63,53,0
R22,D,20180316,000000,18.534,18.534,18.437,18.437,24,0
R22,D,20180319,000000,18.437,18.437,18.264,18.341,179,0
R22,D,20180320,000000,18.148,18.63,18.148,18.63,1059,0
R22,D,20180321,000000,18.63,18.822,18.63,18.727,1302,0
R22,D,20180322,000000,18.727,18.727,18.63,18.63,1334,0
R22,D,20180323,000000,18.63,18.727,18.534,18.688,739,0
R22,D,20180326,000000,18.688,18.688,18.688,18.688,8,0
R22,D,20180327,000000,18.437,18.688,18.437,18.688,78,0
R22,D,20180328,000000,18.688,18.727,18.341,18.727,10828,0
R22,D,20180329,000000,18.727,18.919,18.148,18.919,21812,0
R22,D,20180403,000000,18.881,19.692,18.36,19.546,4280,0
R22,D,20180404,000000,19.692,19.692,18.978,19.595,51,0
R22,D,20180405,000000,19.595,19.595,19.306,19.546,158,0
R22,D,20180406,000000,19.306,19.546,19.306,19.546,43,0
R22,D,20180409,000000,19.546,19.837,19.306,19.837,1159,0
R22,D,20180410,000000,19.789,19.789,19.015,19.132,1641,0
R22,D,20180411,000000,19.74,19.74,19.035,19.595,25,0
R22,D,20180412,000000,19.595,19.789,19.306,19.789,138141,0
R22,D,20180413,000000,19.789,21.622,19.402,21.092,46970,0
R22,D,20180416,000000,21.236,21.622,20.464,21.429,2870,0
R22,D,20180417,000000,21.236,21.236,20.513,20.898,20676,0
R22,D,20180418,000000,21.236,21.236,19.933,20.078,1588,0
R22,D,20180419,000000,19.885,20.27,19.306,19.306,3119,0
R22,D,20180420,000000,19.933,19.933,18.998,19.306,2733,0
R22,D,20180423,000000,19.837,19.837,19.306,19.837,86,0
R22,D,20180424,000000,20.174,20.174,19.015,19.643,524,0
R22,D,20180425,000000,19.595,19.595,18.919,19.595,514,0
R22,D,20180426,000000,19.402,19.499,19.035,19.499,986,0
R22,D,20180427,000000,19.499,19.982,19.113,19.306,211026,0
R22,D,20180430,000000,19.789,20.078,19.306,20.078,9430,0
R22,D,20180502,000000,20.27,20.27,19.499,19.499,178,0
R22,D,20180504,000000,20.27,20.27,18.842,19.306,2396,0
R22,D,20180507,000000,19.306,19.306,19.209,19.267,458,0
R22,D,20180508,000000,19.267,19.267,17.973,18.998,1539,0
R22,D,20180509,000000,19.267,19.267,18.224,18.822,832,0
R22,D,20180510,000000,18.822,18.822,18.534,18.727,509,0
R22,D,20180511,000000,18.727,18.727,18.128,18.727,386,0
R22,D,20180514,000000,18.727,19.015,17.954,18.745,2442,0
R22,D,20180515,000000,18.051,18.727,18.051,18.727,673,0
R22,D,20180516,000000,18.727,18.727,18.148,18.727,524,0
R22,D,20180517,000000,18.727,18.727,17.973,18.514,1604,0
R22,D,20180518,000000,18.727,18.727,18.417,18.688,924,0
R22,D,20180521,000000,18.688,18.688,17.993,18.669,40,0
R22,D,20180522,000000,18.649,19.692,18.36,18.494,2175,0
R22,D,20180523,000000,19.267,19.267,18.534,18.534,1062,0
R22,D,20180524,000000,19.113,19.113,17.24,18.534,53869,0
R22,D,20180525,000000,18.63,18.822,16.912,18.727,58214,0
R22,D,20180528,000000,18.63,19.306,18.63,18.822,36501,0
R22,D,20180529,000000,18.63,19.113,18.36,19.113,2969,0
R22,D,20180530,000000,19.113,19.306,18.534,19.306,6786,0
R22,D,20180601,000000,19.306,19.306,18.514,18.822,2596,0
R22,D,20180604,000000,18.822,18.822,18.437,18.822,672,0
R22,D,20180605,000000,19.595,19.595,18.457,18.727,110,0
R22,D,20180606,000000,18.822,18.822,18.822,18.822,159,0
R22,D,20180607,000000,18.727,18.727,17.858,18.534,3149,0
R22,D,20180608,000000,18.688,18.688,18.534,18.534,35,0
R22,D,20180611,000000,18.822,18.822,17.896,18.534,1090,0
R22,D,20180612,000000,18.707,18.707,17.954,18.63,1374,0
R22,D,20180613,000000,19.209,19.209,17.993,17.993,171,0
R22,D,20180614,000000,18.804,18.804,18.437,18.437,456,0
R22,D,20180615,000000,18.534,18.63,18.341,18.341,405,0
R22,D,20180618,000000,18.341,18.341,18.341,18.341,12,0
R22,D,20180619,000000,18.341,18.341,17.375,18.341,3947,0
R22,D,20180620,000000,18.341,18.341,17.858,18.341,1125,0
R22,D,20180621,000000,18.534,18.534,18.031,18.341,946,0
R22,D,20180622,000000,18.341,18.822,18.341,18.341,1297,0
R22,D,20180625,000000,18.031,18.341,18.031,18.341,450,0
R22,D,20180626,000000,18.301,18.341,17.858,18.341,5725,0
R22,D,20180627,000000,18.63,18.63,18.341,18.341,105,0
R22,D,20180628,000000,18.341,18.341,18.341,18.341,58,0
R22,D,20180629,000000,18.61,18.61,18.534,18.534,53,0
R22,D,20180702,000000,18.61,18.61,18.61,18.61,1,0
R22,D,20180703,000000,18.61,18.61,17.954,18.437,751,0
R22,D,20180704,000000,18.61,18.61,17.858,17.858,165,0
R22,D,20180705,000000,17.858,17.858,17.567,17.858,594,0
R22,D,20180706,000000,18.341,18.341,17.935,17.935,2,0
R22,D,20180709,000000,17.858,17.858,17.394,17.394,86,0
R22,D,20180710,000000,18.341,18.341,18.341,18.341,1,0
R22,D,20180711,000000,18.148,18.148,18.148,18.148,1,0
R22,D,20180712,000000,18.148,18.148,18.148,18.148,1,0
R22,D,20180713,000000,18.148,18.148,18.128,18.128,2,0
R22,D,20180716,000000,18.128,18.148,17.472,18.148,849,0
R22,D,20180717,000000,18.341,18.341,18.341,18.341,1,0
R22,D,20180718,000000,18.341,18.341,16.989,16.989,2834,0
R22,D,20180719,000000,17.567,17.567,16.969,17.567,542,0
R22,D,20180720,000000,18.341,18.341,17.202,18.148,528,0
R22,D,20180723,000000,17.858,17.858,17.858,17.858,2,0
R22,D,20180724,000000,17.858,17.858,17.664,17.664,69,0
R22,D,20180725,000000,17.646,17.646,17.279,17.626,533,0
R22,D,20180726,000000,17.626,17.626,17.182,17.626,31342,0
R22,D,20180727,000000,17.626,17.626,16.989,17.375,104491,0
R22,D,20180730,000000,17.163,17.607,17.163,17.607,120,0
