<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RON,D,20071105,000000,3.8874,3.9008,3.5224,3.8535,1388766,0
RON,D,20071106,000000,3.8468,3.8874,3.786,3.8874,1969571,0
RON,D,20071107,000000,3.8874,3.8874,3.786,3.786,775847,0
RON,D,20071108,000000,3.786,3.786,3.7183,3.752,62918,0
RON,D,20071109,000000,3.752,3.8535,3.752,3.752,17980,0
RON,D,20071112,000000,3.752,3.8468,3.752,3.752,452469,0
RON,D,20071113,000000,3.786,3.8198,3.7183,3.8198,751235,0
RON,D,20071114,000000,3.8198,3.8198,3.786,3.786,8510,0
RON,D,20071115,000000,3.786,3.786,3.7183,3.7183,455598,0
RON,D,20071116,000000,3.7183,3.7183,3.5831,3.5831,6140,0
RON,D,20071119,000000,3.5493,3.5493,3.3803,3.5156,441602,0
RON,D,20071120,000000,3.4479,3.4479,3.3803,3.4142,463561,0
RON,D,20071121,000000,3.4142,3.4142,3.3465,3.3803,1781140,0
RON,D,20071122,000000,3.3803,3.4816,3.3126,3.4816,1177820,0
RON,D,20071123,000000,3.5156,3.5156,3.3803,3.3803,1119111,0
RON,D,20071126,000000,3.3803,3.3803,3.2788,3.2788,29921,0
RON,D,20071127,000000,3.3465,3.3465,3.2788,3.2788,416042,0
RON,D,20071128,000000,3.2788,3.3126,3.245,3.2788,383696,0
RON,D,20071129,000000,3.3126,3.3465,3.3126,3.3465,228273,0
RON,D,20071130,000000,3.3126,3.3532,3.2788,3.3465,333848,0
RON,D,20071203,000000,3.3126,3.3126,3.3126,3.3126,1627,0
RON,D,20071204,000000,3.3126,3.3396,3.3126,3.3396,600989,0
RON,D,20071205,000000,3.3465,3.5493,3.3465,3.5493,1827663,0
RON,D,20071206,000000,3.5493,3.5493,3.5493,3.5493,1889,0
RON,D,20071207,000000,3.5763,3.5763,3.5156,3.5156,596953,0
RON,D,20071210,000000,3.4479,3.4816,3.2856,3.2856,68350,0
RON,D,20071211,000000,3.3126,3.3465,3.3059,3.3465,204864,0
RON,D,20071212,000000,3.4479,3.4479,3.4412,3.4479,215011,0
RON,D,20071213,000000,3.5156,3.5493,3.4479,3.4479,19023,0
RON,D,20071214,000000,3.5156,3.5156,3.387,3.387,1323,0
RON,D,20071217,000000,3.3465,3.387,3.3126,3.3396,379007,0
RON,D,20071218,000000,3.3803,3.3803,3.3126,3.3126,27069,0
RON,D,20071219,000000,3.2856,3.2856,3.2519,3.2519,11639,0
RON,D,20071220,000000,3.3126,3.3126,3.2519,3.2519,172038,0
RON,D,20071221,000000,3.3059,3.3059,3.1098,3.1098,162761,0
RON,D,20071227,000000,3.2112,3.2112,2.9746,3.0423,7946,0
RON,D,20071228,000000,3.0423,3.3396,2.9746,3.2788,41162,0
RON,D,20080102,000000,3.3126,3.3126,3.191,3.191,739,0
RON,D,20080103,000000,3.3126,3.3126,3.2992,3.3126,1562,0
RON,D,20080104,000000,3.3126,3.3126,3.2585,3.2585,2209,0
RON,D,20080107,000000,3.2856,3.3465,3.1437,3.1437,3809,0
RON,D,20080108,000000,3.1234,3.1775,3.1234,3.1775,264,0
RON,D,20080109,000000,3.1234,3.2045,3.1098,3.1098,4100,0
RON,D,20080110,000000,3.1775,3.1775,2.907,3.0423,5186,0
RON,D,20080111,000000,3.0423,3.0423,2.907,2.907,4346,0
RON,D,20080114,000000,2.7042,2.7042,2.5352,2.7042,88010,0
RON,D,20080115,000000,2.6029,2.6029,2.5014,2.6029,9355,0
RON,D,20080116,000000,2.6029,2.6029,2.3662,2.5014,6003,0
RON,D,20080117,000000,2.3662,2.5014,2.3662,2.5014,26763,0
RON,D,20080118,000000,2.3662,2.5014,2.3662,2.4676,1886054,0
RON,D,20080122,000000,2.454,2.5014,2.3662,2.3662,11943,0
RON,D,20080123,000000,2.2648,2.3662,2.2648,2.3662,68,0
RON,D,20080124,000000,2.3662,2.4676,2.3594,2.4676,24913,0
RON,D,20080125,000000,2.4676,2.4676,2.4338,2.4338,842,0
RON,D,20080128,000000,2.4676,2.4676,2.3662,2.3662,2866,0
RON,D,20080129,000000,2.4001,2.4338,2.4001,2.4338,2219,0
RON,D,20080130,000000,2.4676,2.4676,2.4676,2.4676,1553,0
RON,D,20080201,000000,2.3662,2.5825,2.346,2.5825,13593,0
RON,D,20080204,000000,2.6231,2.8799,2.5691,2.6772,391013,0
RON,D,20080205,000000,2.7042,2.8733,2.6974,2.7786,23040,0
RON,D,20080206,000000,2.6772,2.7042,2.6029,2.6434,20339,0
RON,D,20080207,000000,2.6568,2.7042,2.6162,2.7042,6284,0
RON,D,20080208,000000,2.6367,2.6704,2.6367,2.6704,5992,0
RON,D,20080211,000000,2.5892,2.5892,2.5892,2.5892,1394,0
RON,D,20080212,000000,2.6231,2.6231,2.5892,2.5892,1184,0
RON,D,20080213,000000,2.6367,2.6367,2.6029,2.6029,445294,0
RON,D,20080214,000000,2.5691,2.6298,2.5285,2.5691,4823,0
RON,D,20080215,000000,2.4676,2.5691,2.4676,2.5691,146,0
RON,D,20080218,000000,2.5623,2.5623,2.5623,2.5623,380,0
RON,D,20080219,000000,2.5352,2.5691,2.5014,2.5691,5520,0
RON,D,20080220,000000,2.5217,2.5217,2.5217,2.5217,207,0
