<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWL,D,20041130,000000,9.2285,9.2285,8.4972,8.7271,159396,0
RWL,D,20041201,000000,8.8043,9.574,8.8043,9.4203,31371,0
RWL,D,20041202,000000,9.651,9.651,9.1512,9.2285,27734,0
RWL,D,20041203,000000,9.1512,9.3813,9.0748,9.1512,18674,0
RWL,D,20041206,000000,9.4584,9.4584,9.0748,9.1889,1613,0
RWL,D,20041207,000000,9.0748,9.2285,9.0748,9.0748,5457,0
RWL,D,20041208,000000,9.0748,9.2285,9.0748,9.2285,2039,0
RWL,D,20041209,000000,9.3051,9.3051,8.8806,8.9974,4521,0
RWL,D,20041210,000000,8.9974,8.9974,8.9974,8.9974,2834,0
RWL,D,20041213,000000,8.7661,8.7661,8.7661,8.7661,79,0
RWL,D,20041214,000000,8.7661,8.7661,8.7661,8.7661,299,0
RWL,D,20041215,000000,8.7271,8.7271,8.7271,8.7271,618,0
RWL,D,20041216,000000,8.7271,8.8434,8.5742,8.8434,1137,0
RWL,D,20041217,000000,8.9974,8.9974,8.9188,8.9974,1910,0
RWL,D,20041220,000000,8.9974,9.0351,8.9974,9.0351,941,0
RWL,D,20041221,000000,8.9974,9.3051,8.9974,9.3051,14284,0
RWL,D,20041222,000000,9.2662,9.2662,9.0748,9.0748,670,0
RWL,D,20041223,000000,9.2285,9.2285,9.2285,9.2285,2006,0
RWL,D,20041227,000000,9.2285,9.3051,9.1512,9.1512,20367,0
RWL,D,20041228,000000,9.2285,9.2662,9.1889,9.2662,13391,0
RWL,D,20041229,000000,9.2285,9.3051,9.2285,9.2285,17174,0
RWL,D,20041230,000000,9.2662,9.3051,9.1512,9.1889,17871,0
RWL,D,20041231,000000,9.1889,9.2662,9.1889,9.2662,6957,0
RWL,D,20050103,000000,9.2285,9.2662,9.2285,9.2285,6980,0
RWL,D,20050104,000000,9.2285,9.2662,9.2285,9.2662,10382,0
RWL,D,20050105,000000,9.2662,9.919,9.2285,9.689,91651,0
RWL,D,20050106,000000,9.728,9.765,9.4203,9.728,16050,0
RWL,D,20050107,000000,9.689,9.765,9.612,9.728,9133,0
RWL,D,20050110,000000,9.689,9.689,9.612,9.689,12113,0
RWL,D,20050111,000000,9.612,9.728,9.612,9.728,6687,0
RWL,D,20050112,000000,9.689,9.728,9.651,9.728,4602,0
RWL,D,20050113,000000,9.689,9.728,9.651,9.689,14662,0
RWL,D,20050114,000000,9.535,9.728,9.4966,9.728,3267,0
RWL,D,20050117,000000,9.689,9.765,9.689,9.728,3582,0
RWL,D,20050118,000000,9.689,9.728,9.651,9.728,6191,0
RWL,D,20050119,000000,9.651,9.689,9.651,9.689,9613,0
RWL,D,20050120,000000,9.689,9.689,9.612,9.612,10986,0
RWL,D,20050121,000000,9.689,9.765,9.535,9.689,18148,0
RWL,D,20050124,000000,9.689,9.689,9.651,9.689,34176,0
RWL,D,20050125,000000,9.689,9.728,9.651,9.689,70861,0
RWL,D,20050126,000000,9.765,9.765,9.689,9.765,21801,0
RWL,D,20050127,000000,9.765,9.765,9.728,9.765,7995,0
RWL,D,20050128,000000,9.689,9.689,9.689,9.689,2401,0
RWL,D,20050131,000000,9.765,10.227,9.765,9.995,7398,0
RWL,D,20050201,000000,10.151,10.227,9.995,9.995,10619,0
RWL,D,20050202,000000,10.072,10.112,10.072,10.112,3350,0
RWL,D,20050203,000000,10.264,10.264,10.151,10.151,949,0
RWL,D,20050204,000000,10.305,10.305,10.151,10.151,36553,0
RWL,D,20050207,000000,10.151,10.189,10.072,10.072,23882,0
RWL,D,20050208,000000,10.227,10.264,10.035,10.151,9426,0
RWL,D,20050209,000000,9.995,10.151,9.995,10.151,73127,0
RWL,D,20050210,000000,10.035,10.072,9.995,9.995,3607,0
RWL,D,20050211,000000,10.035,10.112,9.995,10.072,5637,0
RWL,D,20050214,000000,10.151,10.227,10.151,10.227,3472,0
RWL,D,20050215,000000,10.264,10.305,10.151,10.189,3772,0
RWL,D,20050216,000000,10.227,10.382,10.227,10.305,696,0
RWL,D,20050217,000000,10.344,10.689,10.344,10.648,23400,0
RWL,D,20050218,000000,10.689,11.072,10.689,10.766,8411,0
RWL,D,20050221,000000,11.072,11.072,10.766,10.995,173385,0
RWL,D,20050222,000000,11.15,11.689,10.995,11.112,12797,0
RWL,D,20050223,000000,11.15,12.149,11.15,11.88,28833,0
RWL,D,20050224,000000,11.919,11.919,11.38,11.842,5761,0
RWL,D,20050225,000000,11.803,11.919,11.611,11.689,7179,0
RWL,D,20050228,000000,11.535,11.535,10.995,11.072,3537,0
RWL,D,20050301,000000,11.266,11.266,11.188,11.266,2771,0
RWL,D,20050302,000000,11.496,11.496,10.766,11.227,13281,0
RWL,D,20050303,000000,11.15,11.266,11.15,11.266,5454,0
RWL,D,20050304,000000,11.227,11.227,10.958,11.227,28961,0
RWL,D,20050307,000000,11.303,11.303,10.958,10.958,59,0
RWL,D,20050308,000000,10.842,11.15,10.842,11.15,21723,0
RWL,D,20050309,000000,10.881,11.15,10.881,11.15,13896,0
RWL,D,20050310,000000,11.419,11.419,10.919,11.034,13777,0
RWL,D,20050311,000000,11.15,11.15,10.766,10.995,134465,0
RWL,D,20050315,000000,10.842,10.842,10.382,10.727,41382,0
RWL,D,20050316,000000,10.457,10.612,10.457,10.496,29629,0
RWL,D,20050317,000000,10.496,10.727,10.496,10.727,3706,0
RWL,D,20050321,000000,10.457,10.457,10.457,10.457,1301,0
RWL,D,20050322,000000,10.457,10.648,10.382,10.648,39015,0
RWL,D,20050323,000000,10.727,10.727,10.689,10.689,4323,0
RWL,D,20050324,000000,10.382,10.648,10.382,10.648,653,0
RWL,D,20050329,000000,10.382,10.612,10.382,10.612,1950,0
RWL,D,20050330,000000,10.612,10.612,10.612,10.612,13004,0
RWL,D,20050331,000000,10.612,10.919,10.612,10.919,33714,0
RWL,D,20050401,000000,10.919,10.919,10.727,10.727,2901,0
RWL,D,20050404,000000,10.382,10.689,10.382,10.689,7933,0
RWL,D,20050405,000000,10.727,10.804,10.612,10.727,1377,0
RWL,D,20050406,000000,10.727,10.766,10.612,10.727,101721,0
RWL,D,20050407,000000,10.689,10.766,10.689,10.766,131739,0
RWL,D,20050411,000000,10.766,10.919,10.766,10.804,5131,0
RWL,D,20050412,000000,10.804,10.804,10.612,10.612,7720,0
RWL,D,20050413,000000,10.689,11.072,10.689,10.919,79074,0
RWL,D,20050414,000000,11.112,11.112,10.842,10.881,18151,0
RWL,D,20050415,000000,10.995,11.034,10.881,11.034,22690,0
RWL,D,20050418,000000,10.958,10.958,10.766,10.958,9487,0
RWL,D,20050419,000000,10.881,10.958,10.881,10.958,6932,0
RWL,D,20050420,000000,10.995,10.995,10.766,10.766,66396,0
RWL,D,20050421,000000,10.689,10.766,10.689,10.766,7851,0
RWL,D,20050422,000000,10.689,10.727,10.457,10.727,1376,0
RWL,D,20050425,000000,10.727,10.727,10.727,10.727,655,0
RWL,D,20050426,000000,10.648,10.648,10.648,10.648,2039,0
RWL,D,20050427,000000,10.727,10.727,10.727,10.727,226,0
RWL,D,20050428,000000,10.419,10.535,10.419,10.535,65088,0
RWL,D,20050429,000000,10.496,10.766,10.419,10.766,67910,0
RWL,D,20050504,000000,10.804,10.804,10.766,10.766,7916,0
RWL,D,20050505,000000,10.648,10.648,10.648,10.648,135,0
RWL,D,20050506,000000,10.612,10.612,10.573,10.573,1125,0
RWL,D,20050509,000000,10.573,10.689,10.573,10.689,191142,0
RWL,D,20050510,000000,10.766,10.766,10.766,10.766,2392,0
RWL,D,20050511,000000,10.648,10.648,10.573,10.648,7157,0
RWL,D,20050516,000000,10.457,11.072,10.457,11.072,580,0
RWL,D,20050517,000000,11.034,11.034,10.573,10.689,4477,0
RWL,D,20050518,000000,10.573,10.766,10.573,10.766,1554,0
RWL,D,20050519,000000,10.457,10.995,10.457,10.995,4671,0
RWL,D,20050520,000000,10.648,10.766,10.612,10.766,8520,0
RWL,D,20050523,000000,10.766,10.766,10.689,10.689,960,0
RWL,D,20050524,000000,10.766,10.766,10.766,10.766,18282,0
RWL,D,20050525,000000,10.648,10.648,10.648,10.648,349,0
RWL,D,20050527,000000,10.766,10.766,10.766,10.766,3253,0
RWL,D,20050530,000000,10.766,10.842,10.766,10.842,1736,0
RWL,D,20050531,000000,10.804,10.919,10.804,10.919,2580,0
RWL,D,20050601,000000,10.919,10.919,10.919,10.919,1601,0
RWL,D,20050602,000000,10.958,10.995,10.919,10.995,7374,0
RWL,D,20050603,000000,11.034,11.034,10.995,10.995,1008,0
RWL,D,20050606,000000,10.958,10.958,10.958,10.958,465,0
RWL,D,20050607,000000,10.842,10.958,10.842,10.958,323,0
RWL,D,20050608,000000,10.919,10.958,10.881,10.881,7214,0
RWL,D,20050609,000000,10.881,10.881,10.881,10.881,361,0
RWL,D,20050610,000000,10.919,10.919,10.727,10.727,536,0
RWL,D,20050613,000000,10.842,10.842,10.842,10.842,417,0
RWL,D,20050614,000000,10.573,10.842,10.573,10.842,2902,0
RWL,D,20050615,000000,10.842,10.842,10.842,10.842,111,0
RWL,D,20050617,000000,10.766,10.842,10.766,10.842,1364,0
RWL,D,20050620,000000,10.766,10.766,10.766,10.766,4552,0
RWL,D,20050621,000000,10.842,10.842,10.766,10.766,1290,0
RWL,D,20050622,000000,10.766,10.842,10.766,10.842,465,0
RWL,D,20050623,000000,10.842,10.881,10.842,10.881,24709,0
RWL,D,20050624,000000,10.842,10.881,10.842,10.881,160,0
RWL,D,20050627,000000,10.804,10.881,10.804,10.881,3422,0
RWL,D,20050628,000000,10.919,10.958,10.919,10.958,4503,0
RWL,D,20050629,000000,10.958,10.995,10.958,10.958,22573,0
RWL,D,20050630,000000,10.995,10.995,10.995,10.995,8676,0
RWL,D,20050701,000000,11.072,11.15,11.072,11.15,1561,0
RWL,D,20050704,000000,11.266,11.764,11.227,11.38,7668,0
RWL,D,20050705,000000,11.419,11.573,11.419,11.535,4011,0
RWL,D,20050706,000000,11.535,11.611,11.535,11.611,4760,0
RWL,D,20050707,000000,11.188,11.535,11.188,11.535,28987,0
RWL,D,20050708,000000,11.535,11.535,11.535,11.535,65649,0
RWL,D,20050711,000000,11.535,11.535,11.535,11.535,157,0
RWL,D,20050712,000000,11.611,11.689,11.611,11.689,2139,0
RWL,D,20050713,000000,11.611,11.611,11.611,11.611,121,0
RWL,D,20050715,000000,11.611,11.611,11.227,11.419,7335,0
RWL,D,20050718,000000,11.611,11.611,11.535,11.535,1824,0
RWL,D,20050720,000000,11.689,11.689,11.611,11.611,2557,0
RWL,D,20050721,000000,11.764,11.764,11.689,11.689,729,0
RWL,D,20050722,000000,11.726,12.534,11.726,12.073,10861,0
RWL,D,20050725,000000,12.303,12.534,12.303,12.495,6009,0
RWL,D,20050726,000000,12.534,13.302,12.534,13.302,112782,0
RWL,D,20050727,000000,13.302,13.457,12.919,13.38,83931,0
RWL,D,20050728,000000,13.109,13.109,13.072,13.072,975,0
RWL,D,20050729,000000,12.842,12.919,12.842,12.842,105,0
RWL,D,20050801,000000,13.033,13.033,12.38,12.38,887,0
RWL,D,20050802,000000,12.458,12.612,12.458,12.612,1731,0
RWL,D,20050803,000000,12.458,12.458,12.458,12.458,2698,0
RWL,D,20050804,000000,12.688,12.919,12.534,12.766,134372,0
RWL,D,20050805,000000,12.919,12.956,12.919,12.956,2599,0
RWL,D,20050808,000000,12.919,12.956,12.919,12.919,4110,0
RWL,D,20050809,000000,12.919,12.956,12.688,12.956,3930,0
RWL,D,20050810,000000,12.919,12.919,12.919,12.919,3824,0
RWL,D,20050811,000000,12.766,12.956,12.766,12.956,2829,0
RWL,D,20050812,000000,12.997,13.072,12.956,13.072,2758,0
RWL,D,20050816,000000,13.457,13.61,13.072,13.227,21524,0
RWL,D,20050817,000000,13.227,13.227,13.072,13.072,2363,0
RWL,D,20050818,000000,13.15,13.15,13.072,13.072,1723,0
RWL,D,20050819,000000,12.804,13.15,12.804,13.15,934,0
RWL,D,20050822,000000,13.072,13.072,12.766,12.766,1624,0
RWL,D,20050823,000000,12.766,13.15,12.766,13.15,3607,0
RWL,D,20050824,000000,12.919,12.919,12.534,12.688,32176,0
RWL,D,20050826,000000,12.688,12.688,12.534,12.534,6005,0
RWL,D,20050829,000000,12.688,12.919,12.688,12.919,5466,0
RWL,D,20050830,000000,12.534,12.919,12.534,12.919,181,0
RWL,D,20050831,000000,12.919,12.919,12.534,12.919,5495,0
RWL,D,20050901,000000,12.919,12.919,12.572,12.919,558,0
RWL,D,20050902,000000,12.688,12.879,12.688,12.879,1242,0
RWL,D,20050905,000000,12.766,12.766,12.534,12.534,811,0
RWL,D,20050907,000000,12.534,12.879,12.534,12.879,1310,0
RWL,D,20050908,000000,12.612,12.879,12.612,12.879,555,0
RWL,D,20050909,000000,12.534,12.688,12.534,12.688,1217,0
RWL,D,20050912,000000,12.688,12.879,12.688,12.879,4553,0
RWL,D,20050913,000000,12.688,12.804,12.688,12.688,476,0
RWL,D,20050914,000000,12.688,12.688,12.612,12.648,1247,0
RWL,D,20050915,000000,12.612,12.612,12.534,12.612,61315,0
RWL,D,20050916,000000,12.919,12.919,12.919,12.919,1632,0
RWL,D,20050919,000000,12.688,12.956,12.688,12.956,11134,0
RWL,D,20050920,000000,12.956,12.997,12.956,12.997,1041,0
RWL,D,20050921,000000,12.997,13.072,12.997,13.072,4089,0
RWL,D,20050922,000000,13.072,13.15,13.072,13.109,47786,0
RWL,D,20050923,000000,13.457,14.686,13.109,14.608,5520,0
RWL,D,20050926,000000,14.608,15.226,14.224,14.301,6919,0
RWL,D,20050927,000000,14.033,14.686,13.494,14.686,4627,0
RWL,D,20050928,000000,14.841,15.264,14.841,14.918,4015,0
RWL,D,20050929,000000,14.918,15.11,14.918,15.11,1940,0
RWL,D,20050930,000000,15.071,16.148,15.071,15.686,12837,0
RWL,D,20051003,000000,16.533,16.533,15.686,16.303,1691,0
RWL,D,20051004,000000,16.148,16.148,15.61,15.764,2576,0
RWL,D,20051005,000000,15.764,15.764,15.38,15.686,4009,0
RWL,D,20051006,000000,15.533,15.533,14.686,15.38,4811,0
RWL,D,20051007,000000,15.226,15.226,15.071,15.071,1463,0
RWL,D,20051010,000000,14.726,15.071,14.726,14.879,14923,0
RWL,D,20051011,000000,14.726,14.764,14.686,14.686,2681,0
RWL,D,20051012,000000,14.686,14.686,14.686,14.686,352,0
RWL,D,20051013,000000,14.686,14.686,14.608,14.608,1697,0
RWL,D,20051014,000000,14.764,14.764,14.686,14.686,406,0
RWL,D,20051017,000000,14.686,14.764,14.686,14.686,1185,0
RWL,D,20051018,000000,14.686,14.686,14.608,14.649,499,0
RWL,D,20051019,000000,14.608,14.764,14.608,14.764,233,0
RWL,D,20051020,000000,14.803,14.996,14.608,14.996,1465,0
RWL,D,20051021,000000,14.996,15.149,14.996,15.149,1679,0
RWL,D,20051024,000000,14.956,15.38,14.956,15.38,571,0
RWL,D,20051025,000000,15.38,15.38,14.996,14.996,617,0
RWL,D,20051026,000000,14.996,14.996,14.996,14.996,2522,0
RWL,D,20051027,000000,14.996,15.071,14.996,14.996,3454,0
RWL,D,20051028,000000,14.996,15.071,14.996,14.996,1624,0
RWL,D,20051031,000000,14.996,14.996,14.918,14.996,5149,0
RWL,D,20051102,000000,15.071,15.226,15.071,15.226,6614,0
RWL,D,20051103,000000,15.994,16.148,15.226,15.686,6786,0
RWL,D,20051104,000000,15.994,15.994,15.533,15.764,3815,0
RWL,D,20051107,000000,15.61,15.686,15.61,15.61,2462,0
RWL,D,20051108,000000,15.686,15.764,14.996,15.38,5955,0
RWL,D,20051109,000000,15.303,15.38,15.226,15.38,1671,0
RWL,D,20051110,000000,15.38,15.38,15.38,15.38,670,0
RWL,D,20051114,000000,15.226,16.148,14.996,16.148,8182,0
RWL,D,20051115,000000,16.456,17.686,16.456,17.149,20121,0
RWL,D,20051116,000000,17.686,17.686,17.302,17.686,12891,0
RWL,D,20051117,000000,18.147,21.684,18.147,20.3,33780,0
RWL,D,20051118,000000,20.761,24.3,20.377,22.299,40624,0
RWL,D,20051121,000000,22.299,22.299,20.839,22.223,9012,0
RWL,D,20051122,000000,22.223,22.683,21.223,21.299,9943,0
RWL,D,20051123,000000,21.146,21.299,19.609,20.916,12229,0
RWL,D,20051124,000000,20.224,21.07,19.839,20.761,6806,0
RWL,D,20051125,000000,20.761,21.146,20.761,20.916,1134,0
RWL,D,20051128,000000,20.916,21.838,20.839,21.376,3309,0
RWL,D,20051129,000000,21.608,21.608,20.916,21.376,3645,0
RWL,D,20051130,000000,21.376,21.376,20.377,20.531,4776,0
RWL,D,20051201,000000,20.456,20.456,19.839,19.994,2456,0
RWL,D,20051202,000000,19.994,20.916,19.686,19.916,6860,0
RWL,D,20051205,000000,19.763,20.531,19.609,19.686,5231,0
RWL,D,20051206,000000,19.994,19.994,19.224,19.302,4765,0
RWL,D,20051207,000000,18.917,20.685,18.917,20.531,4544,0
RWL,D,20051208,000000,20.531,20.531,19.994,19.994,3753,0
RWL,D,20051209,000000,20.224,20.224,19.609,20.224,2391,0
RWL,D,20051212,000000,19.609,19.994,19.609,19.994,355,0
RWL,D,20051213,000000,19.763,19.994,19.609,19.994,1210,0
RWL,D,20051214,000000,19.994,20.608,19.609,19.609,3972,0
RWL,D,20051215,000000,19.532,20.224,19.532,20.071,3229,0
RWL,D,20051216,000000,20.377,20.993,20.147,20.993,3413,0
RWL,D,20051219,000000,20.993,21.684,20.993,20.993,5393,0
RWL,D,20051220,000000,21.07,21.531,20.531,20.761,1851,0
RWL,D,20051221,000000,21.376,21.376,20.3,21.376,4927,0
RWL,D,20051222,000000,21.376,22.069,21.376,21.453,3802,0
RWL,D,20051223,000000,22.069,22.992,21.915,22.76,6049,0
RWL,D,20051227,000000,23.144,24.222,22.914,23.838,5946,0
RWL,D,20051228,000000,23.838,23.838,23.453,23.838,6020,0
RWL,D,20051229,000000,23.838,23.838,23.453,23.838,1052,0
RWL,D,20051230,000000,24.146,24.146,23.453,23.838,3871,0
RWL,D,20060102,000000,23.222,24.146,23.222,24.146,89039,0
RWL,D,20060103,000000,23.915,26.145,23.915,25.068,11224,0
RWL,D,20060104,000000,25.221,25.374,24.838,25.221,33725,0
RWL,D,20060105,000000,24.991,25.606,24.991,25.374,74457,0
RWL,D,20060106,000000,25.452,25.452,24.761,24.761,29486,0
RWL,D,20060109,000000,24.991,25.374,24.53,24.838,17162,0
RWL,D,20060110,000000,24.991,25.374,24.838,25.221,10225,0
RWL,D,20060111,000000,25.374,25.374,25.221,25.374,9966,0
RWL,D,20060112,000000,25.374,25.528,23.992,25.528,60973,0
RWL,D,20060113,000000,24.838,25.374,24.607,25.374,27885,0
RWL,D,20060116,000000,25.374,25.606,25.221,25.374,1701,0
RWL,D,20060117,000000,25.374,25.606,24.991,25.374,6788,0
RWL,D,20060118,000000,24.991,25.068,24.607,24.991,15488,0
RWL,D,20060119,000000,25.374,25.374,24.607,25.374,9651,0
RWL,D,20060120,000000,24.838,25.299,24.685,25.068,3714,0
RWL,D,20060123,000000,24.607,24.761,23.992,24.3,3255,0
RWL,D,20060124,000000,24.222,25.374,23.607,24.761,8691,0
RWL,D,20060125,000000,24.761,24.761,23.838,24.146,3409,0
RWL,D,20060126,000000,24.146,24.146,23.838,24.146,5466,0
RWL,D,20060127,000000,23.915,23.915,23.53,23.53,2673,0
RWL,D,20060130,000000,23.607,24.3,23.607,23.992,1924,0
RWL,D,20060131,000000,24.761,24.761,23.992,23.992,4288,0
RWL,D,20060201,000000,24.068,24.3,23.838,24.3,3704,0
RWL,D,20060202,000000,28.453,28.453,26.145,27.144,43252,0
RWL,D,20060203,000000,27.683,27.683,23.453,25.452,15171,0
RWL,D,20060206,000000,24.607,25.528,24.607,25.299,3275,0
RWL,D,20060207,000000,24.838,25.144,24.607,24.607,745,0
RWL,D,20060208,000000,24.685,25.374,24.376,25.374,859,0
RWL,D,20060209,000000,25.374,25.374,24.607,25.299,3741,0
RWL,D,20060210,000000,24.991,25.683,24.991,25.683,3078,0
RWL,D,20060213,000000,25.759,25.759,25.452,25.452,2417,0
RWL,D,20060214,000000,25.528,26.145,25.452,26.145,21951,0
RWL,D,20060215,000000,26.145,26.837,26.145,26.759,6207,0
RWL,D,20060216,000000,26.913,28.067,26.452,26.452,11111,0
RWL,D,20060217,000000,27.683,27.683,27.067,27.298,2372,0
RWL,D,20060220,000000,27.298,27.375,27.144,27.144,9099,0
RWL,D,20060221,000000,26.837,27.298,26.222,26.529,9871,0
RWL,D,20060222,000000,26.375,26.913,26.298,26.913,2064,0
RWL,D,20060223,000000,27.067,27.067,26.452,26.452,8911,0
RWL,D,20060224,000000,26.529,26.529,26.222,26.529,6003,0
RWL,D,20060227,000000,26.529,27.451,26.375,27.298,10171,0
RWL,D,20060228,000000,27.528,27.989,27.298,27.298,19784,0
RWL,D,20060301,000000,27.221,27.221,26.913,26.913,1336,0
RWL,D,20060302,000000,27.683,28.298,27.683,28.298,4767,0
RWL,D,20060303,000000,29.219,29.988,29.219,29.682,39640,0
RWL,D,20060306,000000,29.988,30.528,28.606,29.604,7249,0
RWL,D,20060307,000000,28.606,29.296,28.298,28.298,2103,0
RWL,D,20060308,000000,27.836,28.836,27.836,28.836,58613,0
RWL,D,20060309,000000,28.221,28.913,28.221,28.836,9306,0
