<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAN,D,20000103,000000,21.441,21.515,20.972,21.208,17880961,0
SAN,D,20000104,000000,21.219,21.329,20.78,20.982,17937793,0
SAN,D,20000105,000000,20.685,20.943,20.409,20.574,18979134,0
SAN,D,20000107,000000,20.366,21.164,20.349,21.108,19529717,0
SAN,D,20000110,000000,21.199,21.199,20.641,20.821,13735743,0
SAN,D,20000111,000000,20.899,20.936,19.868,20.23,31098627,0
SAN,D,20000112,000000,19.908,19.961,19.618,19.961,24532073,0
SAN,D,20000113,000000,20.073,20.091,19.532,19.785,22456106,0
SAN,D,20000114,000000,19.741,20.315,19.598,20.171,32021255,0
SAN,D,20000117,000000,20.3,20.337,19.289,19.449,64367251,0
SAN,D,20000118,000000,19.483,19.483,18.448,18.573,40925984,0
SAN,D,20000119,000000,18.329,18.524,18.081,18.508,42094794,0
SAN,D,20000120,000000,18.654,19.169,18.585,18.85,23944977,0
SAN,D,20000121,000000,18.949,19.128,18.134,18.241,37150747,0
SAN,D,20000124,000000,18.417,18.772,18.223,18.417,20153233,0
SAN,D,20000125,000000,18.43,18.662,18.322,18.626,32272661,0
SAN,D,20000126,000000,18.789,19.074,18.558,19.021,46089556,0
SAN,D,20000127,000000,19.147,19.164,18.738,18.987,101996953,0
SAN,D,20000128,000000,19.004,19.004,18.246,18.333,26668260,0
SAN,D,20000131,000000,18.622,18.837,18.336,18.569,100552174,0
SAN,D,20000201,000000,20.849,20.849,18.503,18.807,23566659,0
SAN,D,20000202,000000,18.966,18.984,18.536,18.805,21604268,0
SAN,D,20000203,000000,18.91,19.323,18.695,19.107,23036784,0
SAN,D,20000204,000000,19.094,19.254,18.829,19.042,28125554,0
SAN,D,20000207,000000,19.287,19.661,19.163,19.661,25227812,0
SAN,D,20000208,000000,19.643,20.05,19.377,19.926,24760888,0
SAN,D,20000209,000000,20.209,20.209,19.405,19.691,22076287,0
SAN,D,20000210,000000,19.466,19.625,18.967,19.234,18493251,0
SAN,D,20000211,000000,19.194,19.211,18.005,18.147,35187207,0
SAN,D,20000214,000000,18.763,19.681,18.093,18.94,54175384,0
SAN,D,20000215,000000,19.228,19.882,19.052,19.28,43166199,0
SAN,D,20000216,000000,19.68,20.244,19.363,20.192,68155409,0
SAN,D,20000217,000000,19.992,20.449,19.956,20.133,33992254,0
SAN,D,20000218,000000,20.154,20.225,19.626,19.626,37080673,0
SAN,D,20000221,000000,19.473,20.071,19.368,19.93,18066206,0
SAN,D,20000222,000000,20.185,20.47,19.721,19.935,23475943,0
SAN,D,20000223,000000,20.056,20.341,19.701,20.341,19019996,0
SAN,D,20000224,000000,20.04,20.217,19.598,19.687,22411191,0
SAN,D,20000225,000000,19.624,19.994,19.484,19.695,20116706,0
SAN,D,20000228,000000,19.69,19.796,19.392,19.532,19303544,0
SAN,D,20000229,000000,19.505,19.941,19.418,19.575,15178379,0
SAN,D,20000301,000000,19.536,19.571,19.224,19.414,18507481,0
SAN,D,20000302,000000,19.501,19.76,19.449,19.692,28588279,0
SAN,D,20000303,000000,19.796,19.968,19.348,19.416,33986855,0
SAN,D,20000306,000000,19.692,19.692,19.297,19.297,25011063,0
SAN,D,20000307,000000,19.309,19.533,19.138,19.206,20320501,0
SAN,D,20000308,000000,19.265,19.68,19.249,19.507,18612976,0
SAN,D,20000309,000000,19.392,19.736,19.289,19.512,29960989,0
SAN,D,20000310,000000,19.73,19.815,19.42,19.815,121243872,0
SAN,D,20000314,000000,19.816,19.885,19.491,19.885,47531022,0
SAN,D,20000315,000000,19.763,20.332,19.711,20.194,67595599,0
SAN,D,20000316,000000,20.34,20.547,20.253,20.494,33384419,0
SAN,D,20000317,000000,20.669,21.183,20.514,20.943,49615967,0
SAN,D,20000320,000000,20.79,21.115,20.79,20.877,40582326,0
SAN,D,20000321,000000,20.623,20.809,20.078,20.503,22278134,0
SAN,D,20000322,000000,20.357,20.628,19.969,20.154,26193263,0
SAN,D,20000323,000000,20.347,20.566,19.903,19.954,21132537,0
SAN,D,20000324,000000,19.967,20.427,19.848,20.257,11217234,0
SAN,D,20000327,000000,19.948,20.151,19.744,19.965,12786614,0
SAN,D,20000328,000000,19.902,20.463,19.869,20.345,15869889,0
SAN,D,20000329,000000,20.064,20.284,19.894,20.064,10266493,0
SAN,D,20000330,000000,20.216,20.353,19.975,20.131,17147091,0
SAN,D,20000331,000000,19.86,20.014,19.809,19.809,52207715,0
SAN,D,20000403,000000,19.997,20.239,19.823,20.03,15847549,0
SAN,D,20000404,000000,20.295,20.854,20.279,20.435,42671045,0
SAN,D,20000405,000000,20.637,20.83,20.039,20.25,25930479,0
SAN,D,20000406,000000,19.978,19.978,19.354,19.372,43563023,0
SAN,D,20000407,000000,19.531,19.755,19.409,19.703,22372726,0
SAN,D,20000410,000000,19.785,20.095,19.542,20.079,17447077,0
SAN,D,20000411,000000,19.846,20.176,19.846,19.864,18128021,0
SAN,D,20000412,000000,20.034,20.155,19.673,19.897,15856930,0
SAN,D,20000413,000000,19.895,20.498,19.861,20.413,23691504,0
SAN,D,20000414,000000,20.799,21.063,20.287,20.517,22464453,0
SAN,D,20000417,000000,19.79,20.3,19.489,20.213,55959530,0
SAN,D,20000418,000000,20.269,20.374,19.673,19.971,18765750,0
SAN,D,20000419,000000,20.013,20.047,19.663,19.663,31758250,0
SAN,D,20000420,000000,19.759,20.337,19.637,20.232,46220481,0
SAN,D,20000425,000000,19.858,20.343,19.701,20.273,23943845,0
SAN,D,20000426,000000,20.413,20.516,20.085,20.344,16689571,0
SAN,D,20000427,000000,20.368,20.368,19.696,19.869,19584860,0
SAN,D,20000428,000000,20.465,20.924,20.342,20.871,49876126,0
SAN,D,20000502,000000,20.941,21.367,20.798,21.367,16325012,0
SAN,D,20000503,000000,20.762,21.007,20.167,20.203,19979635,0
SAN,D,20000504,000000,20.449,20.981,20.414,20.768,21061284,0
SAN,D,20000505,000000,20.999,21.269,20.64,20.64,14630961,0
SAN,D,20000508,000000,20.092,20.249,19.97,20.179,15592931,0
SAN,D,20000510,000000,19.711,19.871,19.025,19.13,31020500,0
SAN,D,20000511,000000,18.762,19.463,18.57,19.463,23594166,0
SAN,D,20000512,000000,19.666,19.914,19.274,19.594,13488325,0
SAN,D,20000515,000000,19.424,19.494,18.986,19.197,22693687,0
SAN,D,20000516,000000,19.341,19.497,19.15,19.255,19086464,0
SAN,D,20000517,000000,19.389,19.423,18.566,18.654,31489007,0
SAN,D,20000518,000000,18.752,19.051,18.648,18.857,29533179,0
SAN,D,20000519,000000,19.061,19.096,18.317,18.708,25194120,0
SAN,D,20000522,000000,18.821,19.141,18.464,18.553,16314206,0
SAN,D,20000523,000000,18.771,18.825,18.326,18.611,17438900,0
SAN,D,20000524,000000,18.435,18.774,18.417,18.614,16729034,0
SAN,D,20000525,000000,18.865,19.368,18.668,19.368,16855665,0
SAN,D,20000526,000000,19.25,19.523,19.14,19.304,11694151,0
SAN,D,20000530,000000,19.194,19.482,18.887,19.356,17304429,0
SAN,D,20000531,000000,19.332,19.42,18.956,19.332,16546794,0
SAN,D,20000601,000000,19.163,19.982,19.129,19.982,20243288,0
SAN,D,20000602,000000,19.858,20.197,19.662,19.982,28502117,0
SAN,D,20000605,000000,20.145,20.162,19.861,19.914,14056698,0
SAN,D,20000606,000000,20.424,20.442,19.623,19.806,22005927,0
SAN,D,20000607,000000,19.67,20.085,19.27,20.068,19867551,0
SAN,D,20000608,000000,20.459,20.568,20.203,20.477,17358982,0
SAN,D,20000609,000000,20.519,20.611,20.079,20.079,18716645,0
SAN,D,20000612,000000,20.177,20.25,19.518,19.81,15411679,0
SAN,D,20000613,000000,20.175,20.36,19.917,19.953,15674199,0
SAN,D,20000614,000000,19.969,20.245,19.786,20.117,24648218,0
SAN,D,20000615,000000,19.847,20.323,19.756,20.323,25684852,0
SAN,D,20000616,000000,20.483,20.76,20.207,20.76,55899338,0
SAN,D,20000620,000000,20.343,20.36,20.068,20.068,18099242,0
SAN,D,20000621,000000,19.862,20.025,19.607,19.662,21396516,0
SAN,D,20000622,000000,19.864,20.319,19.791,20.245,17269208,0
SAN,D,20000623,000000,20.254,20.362,19.818,20.001,12726417,0
SAN,D,20000626,000000,20.121,20.465,20.029,20.339,15086080,0
SAN,D,20000627,000000,20.015,20.358,20.015,20.323,12532204,0
SAN,D,20000628,000000,20.325,20.398,20.144,20.325,16071371,0
SAN,D,20000629,000000,20.383,20.401,19.927,20.219,43891967,0
SAN,D,20000630,000000,20.252,20.689,20.107,20.689,33142354,0
SAN,D,20000703,000000,20.199,20.359,20.02,20.252,16938031,0
SAN,D,20000704,000000,20.129,20.898,20.129,20.756,23185799,0
SAN,D,20000705,000000,20.743,21.3,20.382,20.401,61183755,0
SAN,D,20000706,000000,20.437,20.869,20.437,20.671,22155494,0
SAN,D,20000710,000000,20.619,20.902,20.583,20.743,28977294,0
SAN,D,20000711,000000,20.582,20.76,20.212,20.512,37402993,0
SAN,D,20000712,000000,20.013,20.383,20.013,20.277,79884177,0
SAN,D,20000713,000000,20.138,20.437,19.998,20.384,76040477,0
SAN,D,20000714,000000,20.411,20.624,20.411,20.569,52517448,0
SAN,D,20000717,000000,20.384,20.402,20.068,20.155,35133115,0
SAN,D,20000718,000000,20.034,20.297,20.034,20.156,40003784,0
SAN,D,20000719,000000,20.174,20.243,20.051,20.192,20518182,0
SAN,D,20000720,000000,20.222,20.257,20.1,20.24,21319485,0
SAN,D,20000721,000000,20.164,20.287,19.99,20.113,22398634,0
SAN,D,20000725,000000,20.398,20.557,20.257,20.257,29370634,0
SAN,D,20000726,000000,20.299,20.528,20.246,20.405,27260621,0
SAN,D,20000728,000000,20.115,20.202,20.062,20.097,21330746,0
SAN,D,20000731,000000,20.136,20.207,19.96,20.207,23528442,0
SAN,D,20000801,000000,20.152,20.24,20.065,20.135,19499052,0
SAN,D,20000802,000000,20.07,20.351,20.052,20.316,19078158,0
