<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKA,D,20031229,000000,13.605,14.565,13.605,14.356,229250,0
SKA,D,20031230,000000,14.565,15.585,14.565,15.585,236238,0
SKA,D,20031231,000000,15.802,16.281,15.106,15.21,280708,0
SKA,D,20040102,000000,14.995,15.266,14.46,15.266,116625,0
SKA,D,20040105,000000,14.995,15.106,14.46,14.995,166400,0
SKA,D,20040106,000000,14.731,15.315,14.62,14.995,140356,0
SKA,D,20040107,000000,14.995,15.315,14.94,15.049,80326,0
SKA,D,20040108,000000,15.049,15.21,14.78,14.78,124499,0
SKA,D,20040109,000000,14.675,14.731,14.356,14.565,138166,0
SKA,D,20040112,000000,14.46,14.62,14.356,14.46,61016,0
SKA,D,20040113,000000,14.515,14.675,14.46,14.46,59126,0
SKA,D,20040114,000000,14.515,14.515,14.299,14.299,40968,0
SKA,D,20040115,000000,14.196,14.196,13.87,14.084,67109,0
SKA,D,20040116,000000,13.98,13.98,13.764,13.764,82258,0
SKA,D,20040119,000000,13.605,13.98,13.605,13.87,38575,0
SKA,D,20040120,000000,13.821,14.299,13.821,14.299,40892,0
SKA,D,20040121,000000,14.356,14.405,14.196,14.245,19902,0
SKA,D,20040122,000000,14.356,14.46,14.245,14.46,36901,0
SKA,D,20040123,000000,14.46,14.675,14.356,14.515,66974,0
SKA,D,20040126,000000,14.46,14.836,14.299,14.78,115766,0
SKA,D,20040127,000000,14.78,14.78,14.62,14.731,43991,0
SKA,D,20040128,000000,14.675,14.675,14.245,14.405,85298,0
SKA,D,20040129,000000,14.196,14.356,14.084,14.299,58767,0
SKA,D,20040130,000000,14.405,14.46,14.245,14.405,12572,0
SKA,D,20040202,000000,14.299,14.78,14.299,14.731,62031,0
SKA,D,20040203,000000,14.515,14.78,14.46,14.46,16767,0
SKA,D,20040204,000000,14.46,14.62,14.405,14.565,17510,0
SKA,D,20040205,000000,14.515,14.62,14.46,14.62,18665,0
SKA,D,20040206,000000,14.731,15.106,14.675,14.995,177591,0
SKA,D,20040209,000000,15.049,15.266,15.049,15.21,90701,0
SKA,D,20040210,000000,15.37,15.37,14.995,15.106,69947,0
SKA,D,20040211,000000,15.049,15.156,14.891,15.049,24906,0
SKA,D,20040212,000000,14.995,15.106,14.94,15.106,18344,0
SKA,D,20040213,000000,15.049,15.106,14.94,14.94,24688,0
