<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNX,D,20110929,000000,3.9847,4.6879,3.594,3.9847,58229,0
SNX,D,20110930,000000,4.141,4.141,2.9691,3.0472,16039,0
SNX,D,20111003,000000,3.0472,3.0472,2.5002,2.6566,6709,0
SNX,D,20111004,000000,2.2657,2.7347,2.2657,2.3438,3976,0
SNX,D,20111005,000000,2.2657,3.5159,2.2657,3.5159,17675,0
SNX,D,20111006,000000,3.5159,3.9847,3.0472,3.594,10619,0
SNX,D,20111007,000000,3.5159,3.594,3.2034,3.5159,1218,0
SNX,D,20111010,000000,3.1251,3.2815,2.5002,2.5783,2310,0
SNX,D,20111011,000000,2.8908,3.0472,2.4221,3.0472,3679,0
SNX,D,20111012,000000,2.5002,2.9691,2.5002,2.5783,2320,0
SNX,D,20111013,000000,3.0472,3.0472,2.5002,2.5783,1117,0
SNX,D,20111014,000000,2.5002,2.7347,2.3438,2.7347,4243,0
SNX,D,20111017,000000,2.7347,2.7347,2.3438,2.3438,1575,0
SNX,D,20111018,000000,2.6566,2.6566,2.1877,2.4221,4021,0
SNX,D,20111019,000000,2.2657,2.8908,2.2657,2.7347,2607,0
SNX,D,20111020,000000,2.4221,2.5002,2.3438,2.3438,4761,0
SNX,D,20111021,000000,2.3438,2.3438,1.8752,2.0313,3135,0
SNX,D,20111024,000000,1.9532,2.3438,1.9532,2.3438,161,0
SNX,D,20111025,000000,2.2657,2.2657,1.8752,2.1877,3785,0
SNX,D,20111026,000000,1.9532,2.1877,1.8752,1.9532,4061,0
SNX,D,20111027,000000,2.0313,2.0313,1.797,1.8752,654,0
SNX,D,20111028,000000,2.0313,2.1877,1.9532,2.1877,2089,0
SNX,D,20111031,000000,2.1877,2.2657,2.0313,2.0313,1409,0
SNX,D,20111102,000000,2.0313,2.0313,1.8752,2.0313,523,0
SNX,D,20111104,000000,1.8752,2.1096,1.8752,1.8752,1203,0
SNX,D,20111107,000000,1.797,1.8752,1.797,1.8752,267,0
SNX,D,20111108,000000,2.1096,2.1096,1.8752,2.0313,101,0
SNX,D,20111109,000000,2.1096,2.1096,1.9532,1.9532,413,0
SNX,D,20111110,000000,1.8752,2.0313,1.8752,2.0313,825,0
SNX,D,20111114,000000,2.1096,2.1096,1.8752,2.1096,116,0
SNX,D,20111115,000000,2.0313,2.2657,2.0313,2.2657,589,0
SNX,D,20111116,000000,2.2657,2.2657,2.2657,2.2657,65,0
SNX,D,20111117,000000,1.8752,2.2657,1.8752,2.1096,408,0
SNX,D,20111121,000000,2.1096,2.1096,2.1096,2.1096,70,0
SNX,D,20111122,000000,1.7189,2.1096,1.7189,2.1096,5,0
SNX,D,20111123,000000,1.9532,2.1096,1.9532,2.1096,141,0
SNX,D,20111124,000000,2.1096,2.1096,1.797,2.1096,126,0
SNX,D,20111125,000000,1.797,2.0313,1.7189,2.0313,1112,0
SNX,D,20111128,000000,1.8752,2.0313,1.6407,2.0313,2526,0
SNX,D,20111129,000000,1.5627,1.9532,1.5627,1.9532,528,0
SNX,D,20111130,000000,1.5627,1.5627,1.5627,1.5627,1278,0
SNX,D,20111201,000000,1.7189,1.7189,1.7189,1.7189,544,0
SNX,D,20111202,000000,1.797,2.1096,1.797,1.9532,3870,0
SNX,D,20111205,000000,2.1877,2.1877,1.797,1.9532,1772,0
SNX,D,20111213,000000,1.797,2.2657,1.797,2.2657,629,0
SNX,D,20111215,000000,2.0313,2.0313,1.8752,1.8752,815,0
SNX,D,20111216,000000,2.0313,2.0313,2.0313,2.0313,65,0
SNX,D,20111221,000000,1.8752,2.0313,1.797,2.0313,2013,0
SNX,D,20111222,000000,1.9532,1.9532,1.9532,1.9532,257,0
SNX,D,20111223,000000,1.7189,2.0313,1.6407,2.0313,1183,0
SNX,D,20111227,000000,1.9532,1.9532,1.9532,1.9532,141,0
SNX,D,20111230,000000,1.9532,2.0313,1.9532,2.0313,574,0
SNX,D,20120103,000000,2.1096,2.1096,2.1096,2.1096,65,0
SNX,D,20120110,000000,1.797,2.0313,1.7189,2.0313,644,0
SNX,D,20120116,000000,2.0313,2.1096,2.0313,2.1096,166,0
SNX,D,20120119,000000,2.0313,2.0313,2.0313,2.0313,257,0
SNX,D,20120123,000000,2.0313,2.1096,2.0313,2.1096,408,0
SNX,D,20120125,000000,1.797,1.797,1.797,1.797,297,0
SNX,D,20120126,000000,1.797,2.0313,1.797,2.0313,171,0
SNX,D,20120130,000000,1.797,1.8752,1.797,1.797,1359,0
SNX,D,20120131,000000,1.797,1.797,1.797,1.797,795,0
SNX,D,20120201,000000,1.9532,1.9532,1.9532,1.9532,257,0
SNX,D,20120202,000000,1.797,1.797,1.797,1.797,191,0
SNX,D,20120206,000000,1.797,1.9532,1.797,1.9532,745,0
SNX,D,20120217,000000,1.9532,1.9532,1.9532,1.9532,377,0
SNX,D,20120229,000000,1.6407,1.6407,1.6407,1.6407,0,0
SNX,D,20120301,000000,1.8752,1.8752,1.8752,1.8752,0,0
SNX,D,20120305,000000,1.6407,1.6407,1.6407,1.6407,644,0
SNX,D,20120306,000000,1.5627,1.5627,1.4064,1.5627,3609,0
SNX,D,20120307,000000,1.3282,1.3282,1.3282,1.3282,0,0
SNX,D,20120308,000000,1.3282,1.3282,1.3282,1.3282,257,0
SNX,D,20120313,000000,1.4064,1.6407,1.4064,1.6407,2728,0
SNX,D,20120314,000000,1.6407,1.6407,1.6407,1.6407,15,0
SNX,D,20120320,000000,1.6407,1.6407,1.6407,1.6407,478,0
SNX,D,20120322,000000,1.4845,1.6407,1.4845,1.6407,423,0
SNX,D,20120327,000000,1.4064,1.5627,1.4064,1.5627,1112,0
SNX,D,20120403,000000,1.3282,1.4845,1.3282,1.4845,448,0
SNX,D,20120412,000000,1.3282,1.3282,1.3282,1.3282,629,0
SNX,D,20120413,000000,1.2501,1.4845,1.2501,1.4845,322,0
SNX,D,20120420,000000,1.5627,1.5627,1.4064,1.5627,1726,0
SNX,D,20120510,000000,1.5627,1.5627,1.5627,1.5627,75,0
SNX,D,20120515,000000,1.3282,1.5627,1.3282,1.5627,715,0
SNX,D,20120523,000000,1.2501,1.4064,1.2501,1.4064,312,0
SNX,D,20120606,000000,1.4064,1.4064,1.4064,1.4064,191,0
SNX,D,20120628,000000,1.4064,1.5627,1.4064,1.5627,775,0
SNX,D,20120629,000000,1.5627,1.6407,1.5627,1.6407,976,0
SNX,D,20120702,000000,1.5627,1.797,1.5627,1.797,1243,0
SNX,D,20120703,000000,1.4845,1.4845,1.4845,1.4845,382,0
SNX,D,20120704,000000,1.6407,1.7189,1.6407,1.7189,1334,0
SNX,D,20120705,000000,1.9532,2.0313,1.8752,2.0313,735,0
SNX,D,20120706,000000,2.3438,2.8128,2.3438,2.8128,649,0
SNX,D,20120711,000000,2.2657,2.6566,2.2657,2.6566,1384,0
SNX,D,20120712,000000,2.3438,2.3438,2.3438,2.3438,151,0
SNX,D,20120713,000000,2.5002,2.5002,2.5002,2.5002,327,0
SNX,D,20120716,000000,2.5002,2.5002,2.3438,2.3438,634,0
SNX,D,20120717,000000,2.3438,2.3438,2.3438,2.3438,382,0
SNX,D,20120719,000000,2.3438,2.3438,2.3438,2.3438,126,0
SNX,D,20120724,000000,2.3438,2.3438,2.1096,2.1096,508,0
SNX,D,20120725,000000,2.2657,2.2657,2.2657,2.2657,589,0
SNX,D,20120730,000000,2.3438,2.3438,2.3438,2.3438,297,0
SNX,D,20120802,000000,2.4221,2.5783,2.4221,2.4221,3508,0
SNX,D,20120806,000000,2.1877,2.1877,2.1877,2.1877,126,0
SNX,D,20120809,000000,2.2657,2.2657,2.2657,2.2657,257,0
SNX,D,20120810,000000,2.1877,2.1877,2.1096,2.1096,332,0
SNX,D,20120827,000000,2.3438,2.3438,2.3438,2.3438,166,0
SNX,D,20120907,000000,2.1096,2.2657,2.0313,2.2657,463,0
SNX,D,20120912,000000,2.1096,2.1877,1.8752,2.1877,866,0
SNX,D,20120913,000000,2.1096,2.3438,2.1096,2.3438,498,0
SNX,D,20120919,000000,2.3438,2.3438,1.9532,2.3438,2134,0
SNX,D,20120925,000000,1.9532,1.9532,1.9532,1.9532,126,0
SNX,D,20120928,000000,2.0313,2.0313,1.6407,1.9532,6075,0
SNX,D,20121001,000000,1.9532,1.9532,1.9532,1.9532,438,0
SNX,D,20121002,000000,1.6407,1.6407,1.5627,1.5627,1374,0
SNX,D,20121003,000000,1.7189,1.7189,1.7189,1.7189,644,0
SNX,D,20121009,000000,1.4845,1.4845,1.4845,1.4845,1278,0
SNX,D,20121010,000000,1.4845,1.6407,1.4845,1.6407,644,0
SNX,D,20121011,000000,1.3282,1.7189,1.3282,1.7189,1344,0
SNX,D,20121012,000000,1.7189,1.7189,1.7189,1.7189,644,0
SNX,D,20121015,000000,1.7189,1.7189,1.7189,1.7189,0,0
SNX,D,20121016,000000,1.7189,1.797,1.7189,1.797,508,0
SNX,D,20121017,000000,1.7189,1.7189,1.7189,1.7189,257,0
SNX,D,20121018,000000,1.8752,1.8752,1.8752,1.8752,0,0
SNX,D,20121019,000000,1.8752,1.8752,1.8752,1.8752,0,0
SNX,D,20121022,000000,1.8752,1.8752,1.8752,1.8752,1439,0
SNX,D,20121023,000000,1.9532,1.9532,1.9532,1.9532,0,0
SNX,D,20121025,000000,1.9532,2.3438,1.797,2.0313,22265,0
SNX,D,20121026,000000,1.9532,2.0313,1.7189,1.8752,3654,0
SNX,D,20121029,000000,1.7189,1.797,1.6407,1.797,1449,0
SNX,D,20121030,000000,1.8752,1.8752,1.8752,1.8752,257,0
SNX,D,20121031,000000,1.8752,1.8752,1.7189,1.8752,498,0
SNX,D,20121102,000000,1.7189,1.8752,1.7189,1.8752,226,0
SNX,D,20121106,000000,1.8752,1.9532,1.797,1.8752,1570,0
SNX,D,20121107,000000,1.9532,1.9532,1.9532,1.9532,5,0
SNX,D,20121108,000000,1.9532,1.9532,1.9532,1.9532,0,0
SNX,D,20121109,000000,1.8752,1.8752,1.7189,1.7189,1042,0
SNX,D,20121113,000000,1.7189,1.7189,1.5627,1.7189,1042,0
SNX,D,20121114,000000,1.6407,1.797,1.5627,1.797,508,0
SNX,D,20121116,000000,1.6407,1.797,1.6407,1.797,659,0
SNX,D,20121119,000000,1.5627,1.6407,1.4845,1.6407,1676,0
SNX,D,20121120,000000,1.4064,1.5627,1.4064,1.5627,287,0
SNX,D,20121122,000000,1.6407,1.6407,1.6407,1.6407,322,0
SNX,D,20121123,000000,1.6407,1.6407,1.5627,1.6407,669,0
SNX,D,20121129,000000,1.5627,1.6407,1.4845,1.6407,1475,0
SNX,D,20121130,000000,1.4845,1.6407,1.4845,1.6407,257,0
SNX,D,20121203,000000,1.4845,1.4845,1.4845,1.4845,911,0
SNX,D,20121204,000000,1.4845,1.5627,1.4845,1.5627,126,0
