<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SON,D,20080623,000000,4.3991,4.4165,4.0571,4.231,39663,0
SON,D,20080624,000000,4.3413,4.3413,4.0861,4.2833,5986,0
SON,D,20080625,000000,4.1092,4.3294,4.1092,4.3294,139,0
SON,D,20080627,000000,4.231,4.231,4.231,4.231,237,0
SON,D,20080701,000000,4.0571,4.0571,4.0571,4.0571,174,0
SON,D,20080702,000000,3.8891,4.0571,3.8891,4.0571,4873,0
SON,D,20080703,000000,3.9702,3.9702,3.9702,3.9702,2062,0
SON,D,20080707,000000,3.9992,3.9992,3.9992,3.9992,914,0
SON,D,20080708,000000,3.9992,4.2542,3.9414,4.2542,6038,0
SON,D,20080709,000000,3.8948,4.1673,3.8948,4.1673,10432,0
SON,D,20080711,000000,3.9992,4.1441,3.9992,4.1441,2300,0
SON,D,20080715,000000,3.9414,3.9414,3.9414,3.9414,2588,0
SON,D,20080716,000000,3.9414,3.9414,3.9414,3.9414,291,0
SON,D,20080722,000000,3.8832,4.1673,3.8832,4.1673,776,0
SON,D,20080724,000000,4.5788,4.5788,4.5788,4.5788,17,0
SON,D,20080725,000000,4.1441,4.3585,4.1441,4.3585,1959,0
SON,D,20080729,000000,4.3585,4.3585,4.3585,4.3585,85,0
SON,D,20080730,000000,3.9354,3.9414,3.9354,3.9414,2675,0
SON,D,20080731,000000,4.0048,4.2658,4.0048,4.2658,1900,0
SON,D,20080805,000000,4.115,4.2194,4.115,4.115,1672,0
SON,D,20080811,000000,4.1556,4.1556,4.1556,4.1556,147,0
SON,D,20080812,000000,4.2833,4.2833,4.2833,4.2833,1,0
SON,D,20080818,000000,4.2833,4.2833,4.115,4.115,652,0
SON,D,20080820,000000,4.115,4.115,4.115,4.115,328,0
SON,D,20080822,000000,4.2774,4.2774,4.2774,4.2774,1,0
SON,D,20080825,000000,4.2774,4.2774,4.2774,4.2774,588,0
SON,D,20080829,000000,4.3585,4.3585,4.3585,4.3585,5,0
SON,D,20080902,000000,4.3585,4.3585,4.3585,4.3585,174,0
SON,D,20080905,000000,4.3644,4.3644,4.2717,4.3413,603,0
SON,D,20080908,000000,4.2542,4.2542,4.2542,4.2542,1369,0
SON,D,20080909,000000,4.2542,4.2542,4.2542,4.2542,347,0
SON,D,20080912,000000,4.3179,4.3179,4.0282,4.0861,9087,0
SON,D,20080915,000000,3.9992,4.173,3.9992,4.173,1924,0
SON,D,20080916,000000,4.0861,4.173,4.0861,4.173,606,0
SON,D,20080917,000000,4.0861,4.0861,4.0571,4.0571,1958,0
SON,D,20080918,000000,3.976,3.976,3.976,3.976,2003,0
SON,D,20080919,000000,3.8948,3.8948,3.8136,3.8948,1660,0
SON,D,20080922,000000,3.976,3.976,3.8948,3.976,2128,0
SON,D,20080923,000000,4.0571,4.0571,3.976,3.976,2051,0
SON,D,20080925,000000,3.8254,3.8891,3.7964,3.8891,2010,0
