<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPL,D,19930622,000000,5.3062,5.3062,5.3062,5.3062,1158306,0
SPL,D,19930624,000000,4.8455,4.8455,4.8455,4.8455,1026761,0
SPL,D,19930628,000000,4.8455,4.8455,4.8455,4.8455,488173,0
SPL,D,19930629,000000,5.1278,5.1278,5.1278,5.1278,395555,0
SPL,D,19930701,000000,5.3062,5.3062,5.3062,5.3062,640156,0
SPL,D,19930705,000000,5.5515,5.5515,5.5515,5.5515,414929,0
SPL,D,19930706,000000,5.5813,5.5813,5.5813,5.5813,289918,0
SPL,D,19930708,000000,5.0238,5.0238,5.0238,5.0238,314722,0
SPL,D,19930712,000000,5.1278,5.1278,5.1278,5.1278,148255,0
SPL,D,19930713,000000,5.0906,5.0906,5.0906,5.0906,189324,0
SPL,D,19930715,000000,5.0238,5.0238,5.0238,5.0238,342970,0
SPL,D,19930719,000000,5.0238,5.0238,5.0238,5.0238,292530,0
SPL,D,19930720,000000,4.9495,4.9495,4.9495,4.9495,358193,0
SPL,D,19930722,000000,5.0609,5.0609,5.0609,5.0609,414195,0
SPL,D,19930726,000000,5.0609,5.0609,5.0609,5.0609,268789,0
SPL,D,19930727,000000,4.9865,4.9865,4.9865,4.9865,205283,0
SPL,D,19930729,000000,5.0609,5.0609,5.0609,5.0609,270076,0
SPL,D,19930802,000000,5.1278,5.1278,5.1278,5.1278,217989,0
SPL,D,19930803,000000,5.1278,5.1278,5.1278,5.1278,232111,0
SPL,D,19930805,000000,5.0906,5.0906,5.0906,5.0906,241012,0
SPL,D,19930809,000000,5.5813,5.5813,5.5813,5.5813,628219,0
SPL,D,19930810,000000,6.146,6.146,6.146,6.146,0,0
SPL,D,19930812,000000,6.7778,6.7778,6.7778,6.7778,0,0
SPL,D,19930816,000000,7.4094,7.4094,7.4094,7.4094,767961,0
SPL,D,19930817,000000,8.1531,8.1531,8.1531,8.1531,967979,0
SPL,D,19930819,000000,8.9253,8.9253,8.9253,8.9253,655746,0
SPL,D,19930823,000000,9.728,9.728,9.728,9.728,0,0
SPL,D,19930824,000000,10.643,10.643,10.643,10.643,281395,0
SPL,D,19930826,000000,11.736,11.736,11.736,11.736,583899,0
SPL,D,19930830,000000,10.575,10.575,10.575,10.575,566385,0
SPL,D,19930831,000000,9.557,9.557,9.557,9.557,650937,0
