<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STF,D,20000426,000000,1.0413,1.0413,1.0413,1.0413,975379,0
STF,D,20000427,000000,0.9909,0.9909,0.9909,0.9909,317669,0
STF,D,20000428,000000,0.9741,0.9741,0.9741,0.9741,272730,0
STF,D,20000504,000000,0.9406,0.9406,0.9406,0.9406,193442,0
STF,D,20000505,000000,0.9238,0.9238,0.9238,0.9238,81328,0
STF,D,20000508,000000,0.8986,0.8986,0.8986,0.8986,62729,0
STF,D,20000509,000000,0.8481,0.8481,0.8481,0.8481,80196,0
STF,D,20000510,000000,0.8314,0.8314,0.8314,0.8314,126401,0
STF,D,20000511,000000,0.8229,0.8229,0.8229,0.8229,89632,0
STF,D,20000512,000000,0.8314,0.8314,0.8314,0.8314,134117,0
STF,D,20000515,000000,0.8314,0.8314,0.8314,0.8314,103366,0
STF,D,20000516,000000,0.8567,0.8567,0.8567,0.8567,58475,0
STF,D,20000517,000000,0.8901,0.8901,0.8901,0.8901,83367,0
STF,D,20000518,000000,0.9068,0.9068,0.9068,0.9068,23489,0
STF,D,20000519,000000,0.9322,0.9322,0.9322,0.9322,79497,0
STF,D,20000522,000000,0.9153,0.9153,0.9153,0.9153,86806,0
STF,D,20000523,000000,0.8734,0.8734,0.8734,0.8734,76339,0
STF,D,20000524,000000,0.8314,0.8314,0.8314,0.8314,92962,0
STF,D,20000525,000000,0.8398,0.8398,0.8398,0.8398,33943,0
STF,D,20000526,000000,0.8567,0.8567,0.8567,0.8567,6756,0
STF,D,20000529,000000,0.8567,0.8567,0.8567,0.8567,86980,0
STF,D,20000530,000000,0.8567,0.8567,0.8567,0.8567,40050,0
STF,D,20000531,000000,0.8734,0.8734,0.8734,0.8734,36707,0
STF,D,20000601,000000,0.8651,0.8651,0.8651,0.8651,32246,0
STF,D,20000602,000000,0.8734,0.8734,0.8734,0.8734,47408,0
STF,D,20000605,000000,0.8651,0.8651,0.8651,0.8651,71007,0
STF,D,20000606,000000,0.8567,0.8567,0.8567,0.8567,28513,0
STF,D,20000607,000000,0.8481,0.8481,0.8481,0.8481,30712,0
STF,D,20000608,000000,0.8567,0.8567,0.8567,0.8567,49140,0
STF,D,20000609,000000,0.8481,0.8481,0.8481,0.8481,14435,0
STF,D,20000612,000000,0.8314,0.8314,0.8314,0.8314,46277,0
STF,D,20000613,000000,0.8062,0.8062,0.8062,0.8062,142727,0
STF,D,20000614,000000,0.8567,0.8567,0.8567,0.8567,62655,0
STF,D,20000615,000000,0.8314,0.8314,0.8314,0.8314,23931,0
STF,D,20000616,000000,0.8314,0.8314,0.8314,0.8314,25120,0
STF,D,20000619,000000,0.8398,0.8398,0.8398,0.8398,14740,0
STF,D,20000620,000000,0.8314,0.8314,0.8314,0.8314,9337,0
STF,D,20000621,000000,0.8398,0.8398,0.8398,0.8398,8597,0
STF,D,20000623,000000,0.8567,0.8567,0.8567,0.8567,40601,0
STF,D,20000626,000000,0.8567,0.8567,0.8567,0.8567,30603,0
STF,D,20000627,000000,0.8567,0.8567,0.8567,0.8567,69312,0
STF,D,20000628,000000,0.8146,0.8146,0.8146,0.8146,27026,0
STF,D,20000629,000000,0.8314,0.8314,0.8314,0.8314,13208,0
STF,D,20000630,000000,0.8146,0.8146,0.8146,0.8146,8990,0
STF,D,20000703,000000,0.7977,0.7977,0.7977,0.7977,38980,0
STF,D,20000704,000000,0.8146,0.8146,0.8146,0.8146,184558,0
STF,D,20000705,000000,0.8481,0.8481,0.8481,0.8481,174866,0
STF,D,20000706,000000,0.8817,0.8817,0.8817,0.8817,125184,0
STF,D,20000707,000000,0.8734,0.8734,0.8734,0.8734,104178,0
STF,D,20000710,000000,0.8481,0.8481,0.8481,0.8481,8597,0
STF,D,20000711,000000,0.8567,0.8567,0.8567,0.8567,47614,0
STF,D,20000712,000000,0.8314,0.8314,0.8314,0.8314,22543,0
STF,D,20000713,000000,0.8481,0.8481,0.8481,0.8481,20197,0
STF,D,20000714,000000,0.8398,0.8398,0.8398,0.8398,8549,0
STF,D,20000717,000000,0.8481,0.8481,0.8481,0.8481,20887,0
STF,D,20000718,000000,0.8398,0.8398,0.8398,0.8398,50860,0
STF,D,20000719,000000,0.8398,0.8398,0.8398,0.8398,41571,0
STF,D,20000720,000000,0.8481,0.8481,0.8481,0.8481,16336,0
STF,D,20000721,000000,0.9238,0.9238,0.9238,0.9238,390114,0
STF,D,20000724,000000,0.9153,0.9153,0.9153,0.9153,207750,0
STF,D,20000725,000000,0.9322,0.9322,0.9322,0.9322,261737,0
STF,D,20000726,000000,1.0329,1.0329,1.0329,1.0329,1055979,0
STF,D,20000727,000000,1.0329,1.0329,1.0329,1.0329,272014,0
STF,D,20000728,000000,1.0161,1.0161,1.0161,1.0161,88808,0
STF,D,20000731,000000,0.9574,0.9574,0.9574,0.9574,160002,0
STF,D,20000801,000000,0.9827,0.9827,0.9827,0.9827,161477,0
STF,D,20000802,000000,1.0077,1.0077,1.0077,1.0077,133061,0
STF,D,20000803,000000,1.0077,1.0077,1.0077,1.0077,187435,0
STF,D,20000804,000000,0.9909,0.9909,0.9909,0.9909,95010,0
STF,D,20000807,000000,0.949,0.949,0.949,0.949,126007,0
STF,D,20000808,000000,1.0077,1.0077,1.0077,1.0077,139804,0
