<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STH,D,20211210,000000,23,24.465,23,23.7,3393494,0
STH,D,20211213,000000,23.8,24.83,23.8,24.6,978812,0
STH,D,20211214,000000,24.8,24.88,24,24.5,190590,0
STH,D,20211215,000000,24.64,24.64,24.225,24.23,174782,0
STH,D,20211216,000000,24.5,24.65,24.24,24.375,213565,0
STH,D,20211217,000000,24.4,24.49,23.6,23.98,211283,0
STH,D,20211220,000000,23.605,23.605,22.8,23.22,266671,0
STH,D,20211221,000000,23.49,23.97,23.11,23.9,171128,0
STH,D,20211222,000000,23.9,24.195,23.51,24.1,62833,0
STH,D,20211223,000000,24.25,24.25,23.15,24.2,888260,0
STH,D,20211227,000000,24.2,24.2,23.37,23.5,345747,0
STH,D,20211228,000000,23.4,23.94,23.4,23.9,71109,0
STH,D,20211229,000000,23.6,23.97,23.6,23.97,7815,0
STH,D,20211230,000000,24,24,23.505,23.505,59867,0
STH,D,20220103,000000,23.94,23.94,23.505,23.6,494312,0
STH,D,20220104,000000,23.75,23.75,23.315,23.36,14390,0
STH,D,20220105,000000,23.32,23.32,22.455,22.455,238845,0
STH,D,20220107,000000,22.4,22.91,22.2,22.78,33280,0
STH,D,20220110,000000,22.78,23.48,22.365,22.86,48334,0
STH,D,20220111,000000,23,23.5,22.9,23.1,16806,0
STH,D,20220112,000000,23.3,23.965,23.21,23.895,100329,0
STH,D,20220113,000000,23.85,23.98,23.53,23.76,55851,0
STH,D,20220114,000000,23.8,23.9,23.5,23.5,172069,0
STH,D,20220117,000000,23.9,23.9,23.65,23.79,35398,0
STH,D,20220118,000000,23.885,23.885,23.22,23.45,83630,0
STH,D,20220119,000000,23.485,23.5,23.02,23.25,74864,0
STH,D,20220120,000000,23.35,23.375,22.9,22.9,58367,0
STH,D,20220121,000000,22.9,23.85,22.9,23.85,461518,0
STH,D,20220124,000000,23.8,23.8,22.7,23,226730,0
STH,D,20220125,000000,22.66,23,21.79,21.79,99245,0
STH,D,20220126,000000,21.66,22.36,21.255,22.36,108119,0
STH,D,20220127,000000,22,22.055,21.255,21.8,37012,0
STH,D,20220128,000000,21.42,22.42,20.805,22.2,89797,0
STH,D,20220131,000000,22.08,22.08,21.295,22,21100,0
STH,D,20220201,000000,22,22,21.42,21.675,6990,0
STH,D,20220202,000000,21.675,21.785,21.28,21.36,18338,0
STH,D,20220203,000000,21.35,21.395,20.82,20.875,61109,0
STH,D,20220204,000000,21.35,21.35,19.994,20.105,168865,0
STH,D,20220207,000000,20.2,20.47,20,20.3,9418,0
STH,D,20220208,000000,20.2,21.1,20.155,21.1,13546,0
STH,D,20220209,000000,21.1,21.1,20.11,20.4,21745,0
STH,D,20220210,000000,20.4,20.945,20.32,20.78,145476,0
STH,D,20220211,000000,20.44,20.9,20.1,20.9,58327,0
STH,D,20220214,000000,20.5,20.645,20,20.09,47735,0
STH,D,20220215,000000,20,20.3,19.656,19.8,34598,0
STH,D,20220216,000000,19.61,20.1,18.502,18.51,46067,0
STH,D,20220217,000000,18.1,18.81,17.35,17.55,36801,0
STH,D,20220218,000000,17.6,18.396,17.4,17.8,40033,0
STH,D,20220221,000000,18.08,18.83,17.13,17.13,96802,0
STH,D,20220222,000000,17.13,18.354,16.9,18.26,86815,0
STH,D,20220223,000000,18.5,18.79,17.222,17.5,58125,0
STH,D,20220224,000000,16.88,16.88,15.202,15.38,88665,0
STH,D,20220225,000000,16.3,16.3,15.5,15.9,90332,0
STH,D,20220228,000000,15.898,16.3,15.5,16.3,58734,0
STH,D,20220301,000000,16.3,16.7,15.6,15.8,187174,0
STH,D,20220302,000000,16,16.2,15.05,15.78,46883,0
STH,D,20220303,000000,15.21,16,15.21,15.706,21629,0
STH,D,20220304,000000,15.8,15.948,14.8,15,74347,0
STH,D,20220307,000000,13.862,14.394,13.602,13.906,82749,0
STH,D,20220308,000000,13.95,14.28,13.5,13.98,64775,0
STH,D,20220309,000000,14.198,14.68,13.82,14.18,96136,0
STH,D,20220310,000000,14.18,16.398,14.18,16.398,182569,0
STH,D,20220311,000000,16.5,17.052,15.464,16.99,247868,0
STH,D,20220314,000000,17,17.446,16.758,17,93583,0
STH,D,20220315,000000,17.278,17.3,16,16,1361156,0
STH,D,20220316,000000,16.4,16.85,16.002,16.7,314890,0
STH,D,20220317,000000,16.7,17.3,16.5,17,60251,0
STH,D,20220318,000000,17.2,17.64,16.838,17.6,225697,0
STH,D,20220321,000000,17.99,18.38,17.15,17.5,49796,0
STH,D,20220322,000000,17.5,17.5,17.16,17.4,24999,0
STH,D,20220323,000000,17.3,17.4,17.1,17.39,9542,0
STH,D,20220324,000000,17.298,17.7,16.9,17.7,347077,0
STH,D,20220325,000000,17.9,17.9,17,17,10196,0
STH,D,20220328,000000,17.15,17.152,16.526,16.526,21785,0
STH,D,20220329,000000,16.502,17.198,16.502,16.53,42417,0
STH,D,20220330,000000,17.88,17.89,17.1,17.2,67139,0
STH,D,20220331,000000,17.2,17.4,17,17.326,7557,0
STH,D,20220401,000000,17.326,17.796,17.324,17.49,13277,0
STH,D,20220404,000000,17.698,17.75,17.242,17.412,10033,0
STH,D,20220405,000000,17.7,17.738,17.202,17.212,12305,0
STH,D,20220406,000000,17.4,17.4,16.6,16.9,38989,0
STH,D,20220407,000000,16.554,16.87,16.002,16.5,34037,0
STH,D,20220408,000000,16.2,16.75,15.768,15.768,76585,0
STH,D,20220411,000000,15.3,16,15.3,15.66,53015,0
STH,D,20220412,000000,15.66,16.44,15.602,16.006,14801,0
STH,D,20220413,000000,16.08,16.248,15.3,15.3,40291,0
STH,D,20220414,000000,15.702,16.04,15.4,16.04,448375,0
STH,D,20220419,000000,16.038,16.74,15.85,16.44,8290,0
STH,D,20220420,000000,16.44,17.75,16.44,16.76,43840,0
STH,D,20220421,000000,16.702,17,16.52,16.52,23271,0
STH,D,20220422,000000,16.5,16.5,15.8,16.19,25154,0
