<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STP,D,19970806,000000,19.848,19.848,19.848,19.848,28743,0
STP,D,19970807,000000,19.848,19.848,19.848,19.848,36704,0
STP,D,19970808,000000,20.884,20.884,20.884,20.884,20570,0
STP,D,19970811,000000,21.432,21.432,21.432,21.432,50429,0
STP,D,19970812,000000,20.563,20.563,20.563,20.563,4542,0
STP,D,19970813,000000,21.275,21.275,21.275,21.275,16027,0
STP,D,19970814,000000,19.929,19.929,19.929,19.929,10639,0
STP,D,19970818,000000,19.848,19.848,19.848,19.848,6803,0
STP,D,19970819,000000,19.216,19.216,19.216,19.216,5960,0
STP,D,19970820,000000,19.693,19.693,19.693,19.693,4190,0
STP,D,19970821,000000,19.606,19.606,19.606,19.606,5203,0
STP,D,19970822,000000,19.05,19.05,19.05,19.05,2650,0
STP,D,19970825,000000,19.216,19.216,19.216,19.216,7155,0
STP,D,19970826,000000,18.971,18.971,18.971,18.971,14471,0
STP,D,19970827,000000,18.024,18.024,18.024,18.024,7649,0
STP,D,19970828,000000,18.659,18.659,18.659,18.659,24599,0
STP,D,19970829,000000,18.659,18.659,18.659,18.659,6877,0
STP,D,19970901,000000,18.659,18.659,18.659,18.659,8791,0
STP,D,19970902,000000,18.258,18.258,18.258,18.258,2471,0
STP,D,19970903,000000,18.659,18.659,18.659,18.659,8745,0
STP,D,19970904,000000,18.659,18.659,18.659,18.659,6509,0
STP,D,19970905,000000,18.258,18.258,18.258,18.258,6299,0
STP,D,19970908,000000,18.258,18.258,18.258,18.258,3485,0
STP,D,19970909,000000,18.659,18.659,18.659,18.659,7322,0
STP,D,19970910,000000,18.581,18.581,18.581,18.581,4023,0
STP,D,19970911,000000,18.024,18.024,18.024,18.024,6937,0
STP,D,19970912,000000,18.103,18.103,18.103,18.103,4496,0
STP,D,19970915,000000,18.024,18.024,18.024,18.024,24307,0
STP,D,19970916,000000,18.103,18.103,18.103,18.103,10060,0
STP,D,19970917,000000,16.357,16.357,16.357,16.357,3713,0
STP,D,19970918,000000,16.277,16.277,16.277,16.277,30545,0
STP,D,19970919,000000,16.357,16.357,16.357,16.357,5034,0
STP,D,19970922,000000,16.669,16.669,16.669,16.669,2989,0
STP,D,19970923,000000,17.226,17.226,17.226,17.226,4640,0
STP,D,19970924,000000,17.068,17.068,17.068,17.068,2992,0
STP,D,19970925,000000,16.669,16.669,16.669,16.669,3144,0
STP,D,19970926,000000,16.277,16.277,16.277,16.277,6596,0
STP,D,19970929,000000,16.277,16.277,16.277,16.277,3262,0
STP,D,19970930,000000,16.277,16.277,16.277,16.277,4660,0
STP,D,19971001,000000,16.59,16.59,16.59,16.59,4726,0
STP,D,19971002,000000,16.669,16.669,16.669,16.669,9057,0
STP,D,19971003,000000,16.433,16.433,16.433,16.433,9737,0
STP,D,19971006,000000,16.277,16.277,16.277,16.277,10963,0
STP,D,19971007,000000,16.113,16.113,16.113,16.113,6359,0
STP,D,19971008,000000,15.878,15.878,15.878,15.878,27914,0
STP,D,19971009,000000,16.277,16.277,16.277,16.277,15801,0
STP,D,19971010,000000,16.433,16.433,16.433,16.433,12227,0
STP,D,19971013,000000,16.669,16.669,16.669,16.669,3196,0
STP,D,19971014,000000,17.146,17.146,17.146,17.146,9239,0
STP,D,19971015,000000,17.469,17.469,17.469,17.469,9332,0
STP,D,19971016,000000,17.859,17.859,17.859,17.859,15603,0
STP,D,19971017,000000,18.258,18.258,18.258,18.258,23963,0
STP,D,19971020,000000,18.258,18.258,18.258,18.258,15428,0
STP,D,19971021,000000,19.136,19.136,19.136,19.136,28868,0
STP,D,19971022,000000,20.085,20.085,20.085,20.085,50328,0
STP,D,19971023,000000,19.848,19.848,19.848,19.848,29509,0
STP,D,19971024,000000,19.606,19.606,19.606,19.606,52934,0
STP,D,19971027,000000,18.581,18.581,18.581,18.581,21951,0
STP,D,19971028,000000,16.756,16.756,16.756,16.756,0,0
STP,D,19971029,000000,18.103,18.103,18.103,18.103,45681,0
STP,D,19971030,000000,17.947,17.947,17.947,17.947,28853,0
STP,D,19971031,000000,18.338,18.338,18.338,18.338,11007,0
STP,D,19971103,000000,19.05,19.05,19.05,19.05,5078,0
STP,D,19971104,000000,19.848,19.848,19.848,19.848,44480,0
STP,D,19971105,000000,19.848,19.848,19.848,19.848,32545,0
STP,D,19971106,000000,19.216,19.216,19.216,19.216,7368,0
STP,D,19971107,000000,19.05,19.05,19.05,19.05,8255,0
STP,D,19971112,000000,18.415,18.415,18.415,18.415,15421,0
STP,D,19971113,000000,18.415,18.415,18.415,18.415,16727,0
STP,D,19971114,000000,18.738,18.738,18.738,18.738,12932,0
STP,D,19971117,000000,19.05,19.05,19.05,19.05,15091,0
STP,D,19971118,000000,19.373,19.373,19.373,19.373,24229,0
STP,D,19971119,000000,18.495,18.495,18.495,18.495,2303,0
STP,D,19971120,000000,19.05,19.05,19.05,19.05,11504,0
STP,D,19971121,000000,19.373,19.373,19.373,19.373,24384,0
STP,D,19971124,000000,19.449,19.449,19.449,19.449,21184,0
STP,D,19971125,000000,19.05,19.05,19.05,19.05,27238,0
STP,D,19971126,000000,19.216,19.216,19.216,19.216,15854,0
STP,D,19971127,000000,18.894,18.894,18.894,18.894,10477,0
STP,D,19971128,000000,19.05,19.05,19.05,19.05,10225,0
