<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWG,D,20071205,000000,35.025,36.775,34.149,34.236,5224,0
SWG,D,20071206,000000,35.595,35.595,34.193,35.288,1258,0
SWG,D,20071207,000000,35.33,35.33,35.025,35.322,819,0
SWG,D,20071210,000000,35.55,35.55,34.586,35.375,232,0
SWG,D,20071211,000000,35.506,36.775,35.506,36.775,309,0
SWG,D,20071212,000000,36.775,38.615,36.775,38.615,496,0
SWG,D,20071213,000000,39.928,39.928,39.928,39.928,27,0
SWG,D,20071214,000000,42.292,42.466,38.527,39.928,1563,0
SWG,D,20071217,000000,39.753,39.753,38.265,39.402,366,0
SWG,D,20071218,000000,39.402,39.402,39.402,39.402,10,0
SWG,D,20071219,000000,40.191,40.191,38.527,38.527,153,0
SWG,D,20071220,000000,38.265,38.265,37.039,37.126,1314,0
SWG,D,20071221,000000,36.819,38.615,36.819,38.615,148,0
SWG,D,20071227,000000,38.527,39.841,38.527,39.841,219,0
SWG,D,20071228,000000,40.191,40.191,40.191,40.191,1,0
SWG,D,20080102,000000,40.279,40.279,40.191,40.191,246,0
SWG,D,20080103,000000,39.402,39.402,38.527,39.402,537,0
SWG,D,20080107,000000,37.082,38.965,37.082,38.965,698,0
SWG,D,20080109,000000,38.001,38.089,37.652,38.089,1313,0
SWG,D,20080110,000000,38.089,38.089,38.089,38.089,811,0
SWG,D,20080111,000000,38.089,38.089,38.089,38.089,100,0
SWG,D,20080115,000000,37.213,38.089,37.213,37.213,128,0
SWG,D,20080116,000000,35.025,35.025,33.711,33.711,400,0
SWG,D,20080117,000000,35.025,35.025,33.273,33.273,264,0
SWG,D,20080118,000000,34.061,34.586,34.061,34.586,9046,0
SWG,D,20080121,000000,34.586,34.586,34.586,34.586,344,0
SWG,D,20080122,000000,34.149,34.149,34.149,34.149,1281,0
SWG,D,20080123,000000,34.149,35.9,34.149,35.9,5909,0
SWG,D,20080124,000000,36.775,37.213,35.462,36.339,7759,0
SWG,D,20080125,000000,35.9,36.339,35.9,36.339,2432,0
