<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAR,D,20130618,000000,8.5405,9.2207,8.3282,9.1614,501264,0
TAR,D,20130619,000000,9.1784,9.578,8.7533,8.838,167385,0
TAR,D,20130620,000000,8.7444,8.9235,8.7275,8.838,54022,0
TAR,D,20130621,000000,8.838,9.2973,8.838,9.2292,35053,0
TAR,D,20130624,000000,9.2462,9.2973,9.0927,9.1784,51259,0
TAR,D,20130625,000000,9.0927,9.1275,9.0079,9.1275,19943,0
TAR,D,20130626,000000,9.0079,9.0927,8.8468,9.0927,14127,0
TAR,D,20130627,000000,9.0079,9.169,9.0079,9.0927,28390,0
TAR,D,20130628,000000,9.1614,9.3392,8.8637,9.3392,55054,0
TAR,D,20130701,000000,9.3392,9.348,9.0249,9.0927,4821,0
TAR,D,20130702,000000,9.0079,9.186,8.838,9.186,16234,0
TAR,D,20130704,000000,9.0758,9.0842,8.8976,8.8976,2656,0
TAR,D,20130705,000000,8.8548,8.8807,8.7533,8.8807,4813,0
TAR,D,20130708,000000,9.1784,9.1784,8.5921,8.7872,1848,0
TAR,D,20130709,000000,8.8637,8.8637,8.5921,8.7533,6466,0
TAR,D,20130710,000000,8.9145,9.0927,8.9145,9.0079,5709,0
TAR,D,20130711,000000,9.0682,9.969,9.0079,9.943,34163,0
TAR,D,20130712,000000,9.9,10.019,9.774,9.943,14370,0
TAR,D,20130715,000000,10.537,10.537,10.215,10.342,21506,0
TAR,D,20130716,000000,10.351,10.351,10.199,10.283,5472,0
TAR,D,20130717,000000,10.199,10.283,10.028,10.028,4048,0
TAR,D,20130718,000000,9.815,9.815,9.645,9.722,7010,0
TAR,D,20130719,000000,9.688,9.976,9.688,9.976,2423,0
TAR,D,20130722,000000,9.976,10.962,9.976,10.811,71134,0
TAR,D,20130723,000000,10.869,11.557,10.869,11.176,55283,0
TAR,D,20130724,000000,11.176,11.371,11.176,11.362,8650,0
TAR,D,20130725,000000,11.268,11.787,11.268,11.787,37602,0
TAR,D,20130726,000000,11.855,11.898,10.793,11.898,35110,0
TAR,D,20130729,000000,11.898,11.898,11.727,11.803,15744,0
TAR,D,20130730,000000,11.881,11.888,11.812,11.812,4546,0
TAR,D,20130731,000000,11.898,11.983,11.516,11.643,23897,0
TAR,D,20130801,000000,11.634,11.634,11.387,11.549,31899,0
TAR,D,20130802,000000,11.516,11.855,11.413,11.855,27992,0
TAR,D,20130805,000000,11.837,12.323,11.837,12.229,41115,0
TAR,D,20130806,000000,12.493,12.493,12.162,12.229,38400,0
TAR,D,20130807,000000,12.323,12.442,12.272,12.442,17019,0
TAR,D,20130808,000000,12.577,12.858,12.577,12.858,76906,0
TAR,D,20130809,000000,13.121,13.121,12.918,13.088,33335,0
TAR,D,20130812,000000,13.129,13.155,12.748,12.901,14408,0
TAR,D,20130813,000000,12.901,13.079,12.901,13.07,10197,0
TAR,D,20130814,000000,13.172,13.172,12.713,12.748,35022,0
TAR,D,20130816,000000,12.449,12.449,11.32,11.898,110114,0
TAR,D,20130819,000000,11.898,11.898,11.056,11.685,146768,0
TAR,D,20130820,000000,11.643,11.727,11.439,11.727,35965,0
TAR,D,20130821,000000,11.803,11.983,11.753,11.881,50627,0
TAR,D,20130822,000000,11.864,11.923,11.727,11.898,104269,0
TAR,D,20130823,000000,11.898,11.898,11.736,11.888,24212,0
TAR,D,20130826,000000,11.898,11.898,11.643,11.77,3322,0
TAR,D,20130827,000000,11.77,11.881,11.387,11.643,136684,0
TAR,D,20130828,000000,11.387,11.626,10.955,11.132,32375,0
TAR,D,20130829,000000,10.962,10.962,10.537,10.716,23327,0
TAR,D,20130830,000000,10.903,11.022,10.427,10.572,130940,0
TAR,D,20130902,000000,10.665,11.26,10.537,11.081,16428,0
TAR,D,20130903,000000,11.26,11.43,11.098,11.115,17614,0
TAR,D,20130904,000000,11.26,11.26,10.622,10.921,7683,0
TAR,D,20130905,000000,10.793,10.793,9.859,10.622,47397,0
TAR,D,20130906,000000,10.386,10.878,10.386,10.878,11924,0
TAR,D,20130909,000000,11.176,11.516,10.887,11.516,9930,0
TAR,D,20130910,000000,11.533,11.888,11.533,11.812,19111,0
TAR,D,20130911,000000,11.855,11.855,11.609,11.727,30006,0
TAR,D,20130912,000000,11.702,11.702,11.557,11.557,236,0
TAR,D,20130913,000000,11.457,11.617,11.457,11.609,1019,0
TAR,D,20130916,000000,11.457,11.472,11.303,11.303,1568,0
TAR,D,20130917,000000,11.303,11.472,11.047,11.457,3638,0
TAR,D,20130918,000000,11.472,11.472,10.962,11.125,15036,0
TAR,D,20130919,000000,11.166,11.43,11.047,11.047,11818,0
TAR,D,20130920,000000,11.132,11.132,10.962,10.962,2498,0
TAR,D,20130923,000000,10.962,10.962,10.589,10.75,13427,0
TAR,D,20130924,000000,10.912,11.039,10.869,10.955,21400,0
TAR,D,20130925,000000,11.047,11.091,11.039,11.091,4107,0
TAR,D,20130926,000000,11.091,11.303,11.091,11.303,11029,0
TAR,D,20130927,000000,11.379,11.472,11.303,11.457,3901,0
TAR,D,20130930,000000,11.472,11.472,11.387,11.387,6483,0
TAR,D,20131001,000000,11.387,11.413,11.387,11.406,1772,0
TAR,D,20131002,000000,11.396,11.506,11.387,11.472,6098,0
TAR,D,20131003,000000,11.516,11.516,11.387,11.472,6936,0
TAR,D,20131004,000000,11.533,11.533,11.345,11.472,2495,0
TAR,D,20131007,000000,11.472,11.497,11.43,11.43,1671,0
