<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN,D,20180511,000000,49.281,59.476,48.252,58.533,212671,0
TEN,D,20180514,000000,64.197,70.617,61.648,62.97,254460,0
TEN,D,20180515,000000,62.875,62.875,55.02,58.533,99528,0
TEN,D,20180516,000000,59.949,60.325,56.654,60.109,36022,0
TEN,D,20180517,000000,60.298,60.325,55.699,55.699,25494,0
TEN,D,20180518,000000,55.699,58.533,55.039,55.699,13837,0
TEN,D,20180521,000000,56.654,59.476,56.654,57.399,21541,0
TEN,D,20180522,000000,59.004,59.099,57.588,58.4,8034,0
TEN,D,20180523,000000,58.533,58.533,55.511,57.588,12900,0
TEN,D,20180524,000000,57.588,57.588,56.465,57.578,5898,0
TEN,D,20180525,000000,57.588,57.588,56.173,57.126,6244,0
TEN,D,20180528,000000,57.399,60.42,56.663,60.42,38591,0
TEN,D,20180529,000000,66.085,68.634,62.402,63.611,95955,0
TEN,D,20180530,000000,61.345,63.064,57.872,59.004,34199,0
TEN,D,20180601,000000,59.004,61.365,58.25,60.42,6770,0
TEN,D,20180604,000000,61.365,65.991,60.893,65.802,21067,0
TEN,D,20180605,000000,67.51,73.628,67.038,73.628,77813,0
TEN,D,20180606,000000,75.289,82.794,72.976,74.865,104200,0
TEN,D,20180607,000000,76.847,79.302,72.704,78.358,23316,0
TEN,D,20180608,000000,77.876,79.292,75.997,78.216,16791,0
TEN,D,20180611,000000,79.774,80.057,71.324,74.95,30498,0
TEN,D,20180612,000000,74.912,77.414,74.912,75.893,8450,0
TEN,D,20180613,000000,76.328,76.47,74.119,74.836,5967,0
TEN,D,20180614,000000,73.637,78.358,71.844,77.886,22279,0
TEN,D,20180615,000000,78.074,78.169,76.186,77.414,13520,0
TEN,D,20180618,000000,77.32,77.32,75.525,76.347,6443,0
TEN,D,20180619,000000,75.62,75.62,72.127,74.109,11797,0
TEN,D,20180620,000000,73.637,74.488,70.05,72.684,12914,0
TEN,D,20180621,000000,72.684,73.807,67.501,68.917,16669,0
TEN,D,20180622,000000,68.446,69.862,68.446,68.908,6903,0
TEN,D,20180625,000000,69.153,75.516,67.596,73.326,11450,0
TEN,D,20180626,000000,73.448,74.488,70.825,72.684,7425,0
TEN,D,20180627,000000,71.938,72.788,70.456,70.947,6406,0
TEN,D,20180628,000000,70.475,72.694,70.343,72.675,7482,0
TEN,D,20180629,000000,70.966,72.665,70.957,71.749,13293,0
TEN,D,20180702,000000,71.749,73.732,71.749,73.637,19861,0
TEN,D,20180703,000000,73.637,73.637,72.278,73.071,3630,0
TEN,D,20180704,000000,73.496,75.384,72.694,73.166,10128,0
TEN,D,20180705,000000,73.26,76.942,72.892,75.997,34429,0
TEN,D,20180706,000000,76.47,77.414,75.545,75.563,7622,0
TEN,D,20180709,000000,76.366,76.461,74.157,75.337,4542,0
TEN,D,20180710,000000,75.563,83.74,75.148,80.812,67876,0
TEN,D,20180711,000000,82.134,82.134,80.245,80.718,8499,0
TEN,D,20180712,000000,81.379,82.125,77.414,80.972,6361,0
TEN,D,20180713,000000,81.096,81.945,80.237,80.718,5921,0
TEN,D,20180716,000000,81.568,82.125,80.529,80.727,3875,0
TEN,D,20180717,000000,80.746,80.746,78.405,79.963,7470,0
TEN,D,20180718,000000,80.218,80.237,77.99,78.83,7966,0
TEN,D,20180719,000000,78.83,79.764,77.14,78.358,5697,0
TEN,D,20180720,000000,79.302,81.945,78.358,79.67,14202,0
TEN,D,20180723,000000,80.614,81.691,79.774,81.691,7676,0
TEN,D,20180724,000000,82.134,83.031,78.367,82.37,17552,0
TEN,D,20180725,000000,83.078,91.386,82.134,89.687,30641,0
