<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIM,D,19980216,000000,5.5882,5.5882,5.5882,5.5882,31531,0
TIM,D,19980217,000000,5.9886,5.9886,5.9886,5.9886,67070,0
TIM,D,19980218,000000,6.4477,6.4477,6.4477,6.4477,99063,0
TIM,D,19980219,000000,6.7894,6.7894,6.7894,6.7894,167434,0
TIM,D,19980220,000000,6.5598,6.5598,6.5598,6.5598,46351,0
TIM,D,19980223,000000,6.1593,6.1593,6.1593,6.1593,44990,0
TIM,D,19980224,000000,6.389,6.389,6.389,6.389,83719,0
TIM,D,19980225,000000,6.2183,6.2183,6.2183,6.2183,24170,0
TIM,D,19980226,000000,5.9886,5.9886,5.9886,5.9886,14975,0
TIM,D,19980227,000000,6.2183,6.2183,6.2183,6.2183,48970,0
TIM,D,19980302,000000,6.2183,6.2183,6.2183,6.2183,38638,0
TIM,D,19980303,000000,6.3301,6.3301,6.3301,6.3301,47523,0
TIM,D,19980304,000000,6.1005,6.1005,6.1005,6.1005,10598,0
TIM,D,19980305,000000,5.8766,5.8766,5.8766,5.8766,17900,0
TIM,D,19980306,000000,5.8766,5.8766,5.8766,5.8766,24631,0
TIM,D,19980309,000000,6.1005,6.1005,6.1005,6.1005,16027,0
TIM,D,19980310,000000,6.1005,6.1005,6.1005,6.1005,17378,0
TIM,D,19980311,000000,5.9886,5.9886,5.9886,5.9886,23097,0
TIM,D,19980312,000000,5.8178,5.8178,5.8178,5.8178,17105,0
TIM,D,19980313,000000,5.9886,5.9886,5.9886,5.9886,20565,0
TIM,D,19980316,000000,6.1005,6.1005,6.1005,6.1005,24400,0
TIM,D,19980317,000000,6.2183,6.2183,6.2183,6.2183,30474,0
TIM,D,19980318,000000,6.0474,6.0474,6.0474,6.0474,16225,0
TIM,D,19980319,000000,6.0474,6.0474,6.0474,6.0474,29851,0
TIM,D,19980320,000000,6.1593,6.1593,6.1593,6.1593,16826,0
TIM,D,19980323,000000,6.2712,6.2712,6.2712,6.2712,30422,0
TIM,D,19980324,000000,6.2712,6.2712,6.2712,6.2712,60875,0
TIM,D,19980325,000000,6.4477,6.4477,6.4477,6.4477,63068,0
TIM,D,19980326,000000,6.2712,6.2712,6.2712,6.2712,28847,0
TIM,D,19980327,000000,5.647,5.647,5.647,5.647,18026,0
TIM,D,19980330,000000,6.0474,6.0474,6.0474,6.0474,70484,0
TIM,D,19980331,000000,5.9886,5.9886,5.9886,5.9886,12463,0
TIM,D,19980401,000000,5.9886,5.9886,5.9886,5.9886,4100,0
TIM,D,19980402,000000,5.7588,5.7588,5.7588,5.7588,28226,0
TIM,D,19980406,000000,5.9886,5.9886,5.9886,5.9886,5196,0
TIM,D,19980407,000000,6.0474,6.0474,6.0474,6.0474,11128,0
TIM,D,19980408,000000,5.9295,5.9295,5.9295,5.9295,27327,0
TIM,D,19980409,000000,5.9295,5.9295,5.9295,5.9295,69222,0
TIM,D,19980414,000000,5.9886,5.9886,5.9886,5.9886,4180,0
TIM,D,19980415,000000,6.1005,6.1005,6.1005,6.1005,14891,0
TIM,D,19980416,000000,5.9886,5.9886,5.9886,5.9886,4203,0
TIM,D,19980417,000000,5.8766,5.8766,5.8766,5.8766,39612,0
TIM,D,19980420,000000,5.9295,5.9295,5.9295,5.9295,14588,0
TIM,D,19980421,000000,5.9295,5.9295,5.9295,5.9295,10800,0
TIM,D,19980422,000000,5.8766,5.8766,5.8766,5.8766,34995,0
TIM,D,19980423,000000,5.8178,5.8178,5.8178,5.8178,15846,0
TIM,D,19980424,000000,5.7588,5.7588,5.7588,5.7588,22544,0
TIM,D,19980427,000000,5.8766,5.8766,5.8766,5.8766,9312,0
TIM,D,19980428,000000,5.647,5.647,5.647,5.647,18298,0
TIM,D,19980429,000000,5.647,5.647,5.647,5.647,20357,0
TIM,D,19980430,000000,5.4173,5.4173,5.4173,5.4173,19242,0
TIM,D,19980504,000000,5.4173,5.4173,5.4173,5.4173,30851,0
TIM,D,19980505,000000,5.4173,5.4173,5.4173,5.4173,25735,0
TIM,D,19980506,000000,5.3056,5.3056,5.3056,5.3056,7361,0
TIM,D,19980507,000000,5.3585,5.3585,5.3585,5.3585,12013,0
