<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOR,D,20140708,000000,6.071,6.071,5.7514,5.8223,1038887,0
TOR,D,20140709,000000,5.8223,5.8223,5.6521,5.7443,39255,0
TOR,D,20140710,000000,5.7443,5.7869,5.7089,5.7799,109951,0
TOR,D,20140711,000000,5.8012,5.8012,5.7231,5.7799,6846,0
TOR,D,20140714,000000,5.7514,6.0213,5.7514,5.9928,72177,0
TOR,D,20140715,000000,6.0354,6.0354,5.9716,5.9716,62213,0
TOR,D,20140716,000000,6.0142,6.0142,5.9644,5.9644,10730,0
TOR,D,20140717,000000,5.9644,5.9787,5.8223,5.858,99918,0
TOR,D,20140718,000000,5.9503,5.9503,5.8295,5.9075,7793,0
TOR,D,20140721,000000,5.9075,6.0213,5.9075,5.9503,133691,0
TOR,D,20140722,000000,5.9289,6.0213,5.9075,6.0213,165083,0
TOR,D,20140723,000000,6.0142,6.2769,5.9787,6.2769,37217,0
TOR,D,20140724,000000,6.2697,6.2769,6.149,6.1563,23039,0
TOR,D,20140725,000000,6.149,6.2485,6.1064,6.1987,44003,0
TOR,D,20140728,000000,6.1987,6.1987,6.0852,6.1064,9226,0
TOR,D,20140729,000000,6.1064,6.2485,6.0568,6.0994,5926,0
TOR,D,20140730,000000,6.213,6.213,6.0354,6.0354,7683,0
TOR,D,20140731,000000,5.9644,6.2485,5.794,6.1349,173180,0
TOR,D,20140801,000000,6.0354,6.0354,5.8935,5.9999,23330,0
TOR,D,20140804,000000,5.9999,5.9999,5.9218,5.9218,7081,0
TOR,D,20140806,000000,5.9644,5.9644,5.7302,5.794,7793,0
TOR,D,20140807,000000,5.794,5.8223,5.7443,5.7869,16053,0
TOR,D,20140808,000000,5.8083,5.8438,5.8083,5.8438,800,0
TOR,D,20140811,000000,5.8722,5.9289,5.7585,5.9289,3816,0
TOR,D,20140812,000000,5.9432,5.9572,5.8862,5.8862,8132,0
TOR,D,20140813,000000,5.8083,5.8862,5.8083,5.8862,876,0
TOR,D,20140814,000000,5.8793,5.8862,5.7727,5.7727,2098,0
TOR,D,20140818,000000,5.9289,5.9289,5.7656,5.9289,1685,0
TOR,D,20140819,000000,5.9218,5.9503,5.7869,5.8223,10186,0
TOR,D,20140821,000000,5.9289,5.9999,5.9289,5.9644,59880,0
TOR,D,20140822,000000,5.9644,5.9644,5.9005,5.9644,3711,0
TOR,D,20140825,000000,5.9644,5.9644,5.9005,5.9432,6880,0
TOR,D,20140826,000000,5.9432,6.0142,5.9005,6.0142,5910,0
TOR,D,20140827,000000,6.0213,6.149,5.9858,6.1277,32391,0
TOR,D,20140828,000000,6.0852,6.3691,6.0425,6.213,72206,0
TOR,D,20140829,000000,6.0354,6.2414,6.0354,6.213,14667,0
TOR,D,20140901,000000,6.213,6.2697,6.142,6.2697,40123,0
