<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRN,D,20080912,000000,2.6327,4.1055,2.5998,3.7434,15860,0
TRN,D,20080915,000000,4.1218,4.3605,3.5377,3.7434,6530,0
TRN,D,20080916,000000,3.949,4.1136,3.7845,3.949,2668,0
TRN,D,20080917,000000,4.0313,4.0313,4.0313,4.0313,61,0
TRN,D,20080918,000000,3.949,4.1136,3.949,4.1136,1178,0
TRN,D,20080919,000000,4.1465,4.237,4.1465,4.237,2736,0
TRN,D,20080922,000000,4.1959,4.6073,4.1959,4.3193,1859,0
TRN,D,20080923,000000,4.2946,4.3605,4.2946,4.3605,30,0
TRN,D,20080924,000000,4.4016,4.4016,4.4016,4.4016,12,0
TRN,D,20080925,000000,4.344,4.4591,4.344,4.4591,207,0
TRN,D,20080926,000000,4.6073,5.3476,4.6073,4.7718,5337,0
TRN,D,20080929,000000,4.7718,4.7718,4.5661,4.7718,1998,0
TRN,D,20080930,000000,4.7718,4.8211,4.5661,4.8211,2534,0
TRN,D,20081001,000000,4.8211,4.8211,4.4838,4.4838,1959,0
TRN,D,20081002,000000,4.6073,4.8211,4.6073,4.6895,257,0
TRN,D,20081003,000000,4.6895,4.8211,4.6895,4.8129,1746,0
TRN,D,20081006,000000,4.7718,4.8541,4.7718,4.8541,403,0
TRN,D,20081007,000000,4.8541,4.8541,4.8541,4.8541,12,0
TRN,D,20081008,000000,4.7718,4.8952,4.7718,4.8952,66,0
TRN,D,20081009,000000,4.8541,4.9199,4.5661,4.6895,7901,0
TRN,D,20081010,000000,4.6895,4.6895,4.6484,4.6484,447,0
TRN,D,20081013,000000,4.6484,4.6484,4.6484,4.6484,12,0
TRN,D,20081014,000000,4.6895,4.6895,4.6895,4.6895,134,0
TRN,D,20081015,000000,4.6484,4.6484,4.6484,4.6484,12,0
TRN,D,20081016,000000,4.6484,4.6484,4.6484,4.6484,12,0
TRN,D,20081017,000000,4.6484,4.6484,4.6484,4.6484,12,0
TRN,D,20081020,000000,4.6484,4.6484,4.6484,4.6484,12,0
TRN,D,20081021,000000,4.6895,4.6895,4.6895,4.6895,12,0
TRN,D,20081022,000000,4.6895,4.6895,4.6895,4.6895,12,0
TRN,D,20081023,000000,4.6895,4.8869,4.6895,4.8869,24,0
TRN,D,20081028,000000,4.8787,4.8787,4.8787,4.8787,12,0
TRN,D,20081029,000000,4.8787,4.8787,4.6895,4.6895,18,0
TRN,D,20081030,000000,4.6895,4.6895,4.6895,4.6895,12,0
TRN,D,20081031,000000,4.6895,4.7307,4.6895,4.7307,38,0
TRN,D,20081103,000000,4.7307,4.7307,4.7307,4.7307,217,0
TRN,D,20081104,000000,4.8787,4.8952,4.8787,4.8952,411,0
TRN,D,20081105,000000,4.8869,4.8869,4.8129,4.8129,6,0
TRN,D,20081106,000000,4.8129,4.8129,4.8129,4.8129,1,0
TRN,D,20081107,000000,4.8129,4.8129,4.6073,4.6073,381,0
TRN,D,20081110,000000,4.6073,4.6073,4.6073,4.6073,1,0
TRN,D,20081114,000000,4.6073,4.6073,4.6073,4.6073,1,0
TRN,D,20081117,000000,4.6073,4.6073,4.6073,4.6073,5,0
TRN,D,20081118,000000,4.6073,4.6073,4.6073,4.6073,1,0
TRN,D,20081119,000000,4.6073,4.6073,4.6073,4.6073,1,0
TRN,D,20081121,000000,4.6073,4.6073,4.6073,4.6073,1,0
TRN,D,20081124,000000,4.7718,4.7718,4.7718,4.7718,1,0
TRN,D,20081201,000000,4.8952,4.8952,4.8952,4.8952,1,0
TRN,D,20081202,000000,4.8952,4.8952,4.8952,4.8952,1,0
TRN,D,20081203,000000,4.8952,4.8952,4.8952,4.8952,1,0
TRN,D,20081204,000000,4.8952,4.8952,4.8952,4.8952,1,0
TRN,D,20081205,000000,4.8952,4.8952,4.8952,4.8952,1,0
TRN,D,20081208,000000,4.8952,4.8952,4.8952,4.8952,1,0
TRN,D,20081209,000000,4.8952,4.8952,4.8952,4.8952,1,0
TRN,D,20081210,000000,4.8952,4.8952,4.8952,4.8952,1,0
TRN,D,20081211,000000,4.8952,4.8952,4.8541,4.8541,3,0
TRN,D,20081212,000000,4.8541,4.8541,4.8541,4.8541,1,0
TRN,D,20081217,000000,4.8541,4.8541,4.8541,4.8541,1,0
TRN,D,20081219,000000,4.8541,4.8541,4.8541,4.8541,25,0
TRN,D,20081230,000000,4.8541,4.8541,4.8541,4.8541,1,0
TRN,D,20081231,000000,4.8952,4.8952,4.8952,4.8952,1,0
TRN,D,20090105,000000,4.8541,4.8541,4.8541,4.8541,1,0
TRN,D,20090120,000000,4.7718,4.7718,4.7718,4.7718,10,0
TRN,D,20090204,000000,4.9363,4.9363,4.9363,4.9363,5,0
TRN,D,20090305,000000,4.6073,4.6073,4.6073,4.6073,375,0
TRN,D,20090420,000000,4.6073,4.6073,4.6073,4.6073,1720,0
TRN,D,20090421,000000,4.6073,4.7718,4.6073,4.7718,729,0
TRN,D,20090422,000000,4.4428,4.4428,4.4428,4.4428,243,0
TRN,D,20090423,000000,4.4428,4.4428,4.4428,4.4428,929,0
TRN,D,20090505,000000,4.6073,4.6073,4.6073,4.6073,48,0
TRN,D,20090521,000000,4.6073,4.6073,4.6073,4.6073,1,0
TRN,D,20090601,000000,4.6073,4.6073,4.6073,4.6073,1,0
TRN,D,20090609,000000,4.6073,4.6073,4.6073,4.6073,1,0
TRN,D,20090616,000000,4.6073,4.6073,4.6073,4.6073,1,0
TRN,D,20090618,000000,4.6073,4.6073,4.6073,4.6073,1,0
TRN,D,20090701,000000,4.6895,4.6895,4.6895,4.6895,1,0
TRN,D,20090715,000000,4.6895,4.6895,4.6895,4.6895,1,0
TRN,D,20090728,000000,4.6895,4.6895,4.6895,4.6895,1,0
TRN,D,20090731,000000,4.6895,4.6895,4.6895,4.6895,1,0
TRN,D,20090803,000000,4.6895,4.6895,4.6895,4.6895,1,0
TRN,D,20090806,000000,4.6895,4.6895,4.6895,4.6895,1,0
TRN,D,20090818,000000,4.6895,4.6895,4.6895,4.6895,710,0
TRN,D,20090915,000000,4.6895,4.6895,4.6895,4.6895,121,0
TRN,D,20090923,000000,4.6073,4.6073,4.6073,4.6073,608,0
TRN,D,20091022,000000,4.5661,4.5661,4.5661,4.5661,5,0
TRN,D,20091103,000000,4.4428,4.4428,4.4428,4.4428,5,0
TRN,D,20091104,000000,4.4428,4.4428,4.4428,4.4428,2,0
TRN,D,20091105,000000,4.2782,4.2782,4.2782,4.2782,182,0
