<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULG,D,20180615,000000,8.8358,9.1088,5.8478,7.2869,371886,0
ULG,D,20180618,000000,7.0319,8.4256,7.0319,7.1959,120203,0
ULG,D,20180619,000000,7.1959,7.2597,6.367,6.6311,57445,0
ULG,D,20180620,000000,6.4034,6.4034,5.4653,5.4835,97919,0
ULG,D,20180621,000000,5.6929,7.5147,5.6929,7.0775,150902,0
ULG,D,20180622,000000,7.4236,8.1523,7.0775,7.2869,125063,0
ULG,D,20180625,000000,7.4965,7.5602,6.8315,6.8315,23893,0
ULG,D,20180626,000000,7.0137,7.1048,6.6584,7.0684,18568,0
ULG,D,20180627,000000,6.9226,7.0684,6.7131,6.9499,14139,0
ULG,D,20180628,000000,6.9408,6.9408,6.1483,6.6494,24841,0
ULG,D,20180629,000000,6.6494,6.6494,6.1119,6.2849,26675,0
ULG,D,20180702,000000,6.2849,6.54,6.2849,6.3761,11770,0
ULG,D,20180703,000000,6.3761,6.5218,6.2849,6.5127,4180,0
ULG,D,20180704,000000,6.5036,6.8315,6.5036,6.704,7320,0
ULG,D,20180705,000000,6.8315,7.1503,6.7404,7.0228,24550,0
ULG,D,20180706,000000,7.1503,7.1503,6.7496,6.959,11488,0
ULG,D,20180709,000000,6.8862,6.8862,6.6128,6.7222,8100,0
ULG,D,20180710,000000,6.7951,7.0592,6.6494,6.8771,12298,0
ULG,D,20180711,000000,6.9954,7.7424,6.959,7.2778,48783,0
ULG,D,20180712,000000,7.378,7.451,7.1048,7.2778,14165,0
ULG,D,20180713,000000,7.2778,7.2869,7.0592,7.2869,3476,0
ULG,D,20180716,000000,7.5147,7.542,7.1776,7.1959,11706,0
ULG,D,20180717,000000,7.2597,7.3872,7.1139,7.3598,4692,0
ULG,D,20180718,000000,7.2869,7.378,7.0319,7.3507,16595,0
ULG,D,20180719,000000,7.3598,7.3963,7.1503,7.378,8019,0
ULG,D,20180720,000000,7.3689,7.378,7.1959,7.2414,5900,0
ULG,D,20180723,000000,7.378,7.378,7.1048,7.3325,15352,0
ULG,D,20180724,000000,7.205,7.2414,7.0137,7.2414,13704,0
ULG,D,20180725,000000,7.0137,7.2869,7.0137,7.2687,12899,0
ULG,D,20180726,000000,7.1048,7.3142,7.0865,7.3142,14780,0
ULG,D,20180727,000000,7.2869,7.5511,7.2141,7.5329,36343,0
ULG,D,20180730,000000,8.0339,9.1088,7.9337,8.9267,199199,0
ULG,D,20180731,000000,9.1088,9.655,8.6533,9.0177,114247,0
ULG,D,20180801,000000,9.0909,9.1088,8.4438,8.5258,21448,0
ULG,D,20180802,000000,8.3801,8.6169,7.9428,8.462,36792,0
ULG,D,20180803,000000,8.3801,8.7444,8.1979,8.5076,16688,0
ULG,D,20180806,000000,8.5804,8.5804,8.3891,8.4984,12536,0
ULG,D,20180807,000000,8.5622,8.5622,7.6513,8.3527,14075,0
ULG,D,20180808,000000,8.3801,8.6533,8.1979,8.544,16688,0
ULG,D,20180809,000000,8.5622,8.6078,8.3527,8.4711,5747,0
ULG,D,20180810,000000,8.5167,9.0177,8.3435,8.6989,21431,0
ULG,D,20180813,000000,9.0628,10.02,8.9267,9.4184,70479,0
ULG,D,20180814,000000,9.565,9.746,9.4005,9.4362,52653,0
ULG,D,20180816,000000,9.583,9.583,8.9455,9.2551,50503,0
ULG,D,20180817,000000,9.272,9.3818,9.1003,9.2551,41979,0
ULG,D,20180820,000000,9.6,11.842,9.565,11.842,122135,0
ULG,D,20180821,000000,11.677,11.842,10.84,11.387,101140,0
ULG,D,20180822,000000,11.204,13.39,11.204,11.751,171358,0
ULG,D,20180823,000000,12.206,12.662,10.821,10.84,206062,0
ULG,D,20180824,000000,10.84,11.313,9.4184,9.746,351047,0
ULG,D,20180827,000000,10.912,11.477,10.476,11.331,109729,0
ULG,D,20180828,000000,11.477,11.751,11.113,11.387,45526,0
ULG,D,20180829,000000,11.477,11.696,10.129,11.331,41496,0
ULG,D,20180830,000000,11.331,11.659,11.021,11.331,22039,0
ULG,D,20180831,000000,10.038,11.04,10.038,10.676,45142,0
ULG,D,20180903,000000,10.676,10.676,9.565,9.746,51787,0
ULG,D,20180904,000000,9.4737,10.384,9.1088,9.728,50990,0
ULG,D,20180905,000000,9.565,10.238,9.4737,9.838,32911,0
ULG,D,20180906,000000,9.71,10.457,9.655,10.22,46145,0
ULG,D,20180907,000000,10.366,11.751,10.111,11.277,45019,0
ULG,D,20180910,000000,11.277,11.732,10.566,10.931,35073,0
ULG,D,20180911,000000,10.949,11.258,10.585,10.73,11714,0
ULG,D,20180912,000000,10.749,11.021,10.749,10.912,6450,0
ULG,D,20180913,000000,10.931,10.931,10.585,10.694,9202,0
ULG,D,20180914,000000,10.749,11.331,10.749,11.04,26715,0
ULG,D,20180917,000000,10.785,11.113,10.621,10.785,12726,0
ULG,D,20180918,000000,10.585,11.113,10.476,10.894,15230,0
