<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNI,D,20080408,000000,7.2239,7.6456,7.2086,7.3698,322692,0
UNI,D,20080409,000000,7.3008,7.4004,7.3008,7.362,167134,0
UNI,D,20080410,000000,7.3468,7.3773,7.3313,7.362,83667,0
UNI,D,20080411,000000,7.3849,7.4464,7.3849,7.4388,27302,0
UNI,D,20080414,000000,7.4388,7.4388,7.293,7.362,7862,0
UNI,D,20080415,000000,7.362,7.4004,7.362,7.362,10294,0
UNI,D,20080416,000000,7.3392,7.362,7.3392,7.362,5373,0
UNI,D,20080417,000000,7.362,7.362,7.3313,7.362,2448,0
UNI,D,20080418,000000,7.293,7.362,7.293,7.362,11215,0
UNI,D,20080421,000000,7.3698,7.3698,7.362,7.3698,13163,0
UNI,D,20080422,000000,7.3927,7.3927,7.3159,7.362,80849,0
UNI,D,20080423,000000,7.2701,7.362,7.2701,7.362,3307,0
UNI,D,20080424,000000,7.362,7.362,7.362,7.362,469,0
UNI,D,20080425,000000,7.362,7.362,7.2165,7.2239,41127,0
UNI,D,20080428,000000,7.2165,7.3468,7.2165,7.3468,237,0
UNI,D,20080429,000000,7.3468,7.3468,7.3468,7.3468,160,0
UNI,D,20080430,000000,7.1319,7.4388,7.1319,7.4388,13053,0
UNI,D,20080505,000000,7.2854,7.362,7.2854,7.362,1736,0
UNI,D,20080506,000000,7.362,7.362,7.362,7.362,17,0
UNI,D,20080507,000000,7.4158,7.4158,7.4158,7.4158,131,0
UNI,D,20080508,000000,7.4158,7.4158,7.2165,7.362,40157,0
UNI,D,20080509,000000,7.431,7.454,7.2854,7.431,1014,0
UNI,D,20080512,000000,7.4388,7.4388,7.431,7.4388,40727,0
UNI,D,20080513,000000,7.4464,7.4464,7.293,7.4464,926,0
UNI,D,20080514,000000,7.454,7.5154,7.362,7.5154,5844,0
UNI,D,20080515,000000,7.5844,7.6687,7.5154,7.6687,2490,0
UNI,D,20080516,000000,7.7378,8.1368,7.7378,7.8605,156181,0
UNI,D,20080519,000000,8.052,8.2047,8.052,8.1829,37612,0
UNI,D,20080520,000000,8.2821,8.4282,8.1368,8.259,3000,0
UNI,D,20080521,000000,8.2745,8.2745,8.0678,8.0678,3478,0
UNI,D,20080523,000000,7.914,8.2133,7.914,8.2133,2573,0
UNI,D,20080526,000000,8.259,8.2821,7.9373,8.2047,342,0
UNI,D,20080527,000000,8.2047,8.2047,8.1909,8.1909,253,0
UNI,D,20080528,000000,8.1752,8.1829,8.1752,8.1829,144,0
UNI,D,20080529,000000,8.1829,8.1829,8.1829,8.1829,101,0
UNI,D,20080530,000000,8.259,8.259,8.1292,8.1292,149,0
UNI,D,20080602,000000,8.1292,8.1292,8.1292,8.1292,838,0
UNI,D,20080603,000000,8.1292,8.1292,8.1292,8.1292,198,0
UNI,D,20080604,000000,8.1292,8.1292,7.9066,7.9066,221,0
UNI,D,20080605,000000,7.9908,8.1292,7.9908,7.9908,6107,0
UNI,D,20080606,000000,8.0678,8.0678,8.0603,8.0603,1453,0
UNI,D,20080609,000000,7.8222,8.1292,7.5922,8.1292,2527,0
UNI,D,20080610,000000,8.1139,8.1139,8.1139,8.1139,25,0
UNI,D,20080611,000000,8.0294,8.0294,8.0294,8.0294,65,0
UNI,D,20080612,000000,8.037,8.037,8.037,8.037,49,0
UNI,D,20080613,000000,8.052,8.052,8.052,8.052,60,0
UNI,D,20080616,000000,8.0294,8.0294,8.0294,8.0294,65,0
UNI,D,20080617,000000,7.7456,7.9983,7.7456,7.9983,933,0
UNI,D,20080618,000000,7.9758,7.9758,7.6842,7.9758,434,0
UNI,D,20080619,000000,7.6842,7.7456,7.6842,7.7456,1797,0
UNI,D,20080620,000000,7.7378,7.9066,7.7378,7.9066,812,0
UNI,D,20080623,000000,7.7456,8.0058,7.7456,7.9683,61,0
UNI,D,20080624,000000,7.9524,7.9524,7.9373,7.9373,1214,0
UNI,D,20080625,000000,7.8912,7.8912,7.8605,7.8835,210,0
UNI,D,20080626,000000,7.8222,7.8988,7.7837,7.8988,1566,0
