<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIN,D,20090323,000000,5.425,7.5951,5.425,6.51,32619,0
VIN,D,20090324,000000,6.051,6.51,5.4917,6.51,2275,0
VIN,D,20090325,000000,6.0093,7.0942,6.0093,6.1928,3838,0
VIN,D,20090326,000000,6.1761,6.6769,5.6754,6.6769,1872,0
VIN,D,20090327,000000,6.2596,6.2596,6.2596,6.2596,599,0
VIN,D,20090330,000000,6.0093,6.6769,6.0093,6.2596,1666,0
VIN,D,20090331,000000,6.6602,7.0775,6.6602,6.802,3950,0
VIN,D,20090401,000000,6.51,6.802,6.51,6.7604,684,0
VIN,D,20090402,000000,6.7604,6.8439,6.7604,6.8439,3042,0
VIN,D,20090403,000000,7.0691,7.0691,6.5517,6.5517,4394,0
VIN,D,20090406,000000,7.0024,7.0108,6.5683,6.5683,1689,0
VIN,D,20090407,000000,6.5683,7.0942,6.5683,7.0858,3547,0
VIN,D,20090408,000000,7.0942,7.5114,6.5935,6.6769,4708,0
VIN,D,20090409,000000,6.6769,7.0525,6.2596,6.3013,3088,0
VIN,D,20090414,000000,6.343,6.51,6.2596,6.2596,11275,0
VIN,D,20090415,000000,7.0858,7.0858,6.2846,6.5015,9229,0
VIN,D,20090416,000000,6.3514,6.3514,5.6087,5.8255,12083,0
VIN,D,20090417,000000,6.0093,6.0678,5.8006,5.8006,4328,0
VIN,D,20090420,000000,5.8423,5.8423,5.3832,5.3832,2838,0
VIN,D,20090421,000000,5.3415,5.3415,5.1329,5.1329,1200,0
VIN,D,20090422,000000,5.2164,5.3415,5.2164,5.2998,2263,0
VIN,D,20090423,000000,5.5835,5.5835,5.4833,5.4833,2959,0
VIN,D,20090424,000000,5.7169,5.7169,5.4917,5.4917,175,0
VIN,D,20090427,000000,5.6754,6.0093,5.6754,6.0093,326,0
VIN,D,20090428,000000,5.9426,5.9426,5.7588,5.7588,257,0
VIN,D,20090429,000000,5.7588,6.0093,5.7505,5.7505,2939,0
VIN,D,20090430,000000,6.1761,6.1761,5.1413,5.1413,5567,0
VIN,D,20090504,000000,6.1678,6.1761,5.6337,5.6337,9399,0
VIN,D,20090505,000000,6.1593,6.1593,5.7169,5.7169,902,0
VIN,D,20090506,000000,5.642,5.7588,5.425,5.7588,3174,0
VIN,D,20090507,000000,6.0093,6.0093,5.5918,5.5918,3822,0
VIN,D,20090508,000000,5.9426,5.9426,5.45,5.7256,2356,0
VIN,D,20090511,000000,5.7505,5.7505,5.3499,5.425,8298,0
VIN,D,20090512,000000,5.4165,5.4165,5.2412,5.2581,6528,0
VIN,D,20090513,000000,5.3499,5.3499,5.0077,5.0077,8246,0
VIN,D,20090514,000000,5.2581,5.2581,5.0577,5.0577,2220,0
VIN,D,20090515,000000,5.0912,5.0912,5.0494,5.0494,534,0
VIN,D,20090518,000000,5.3415,5.3415,5.0494,5.0494,2872,0
VIN,D,20090519,000000,5.2581,5.2581,4.941,4.941,4674,0
VIN,D,20090520,000000,5.1829,5.1829,4.941,4.966,114,0
VIN,D,20090521,000000,4.966,5.0912,4.966,5.0912,2001,0
VIN,D,20090522,000000,5.1829,5.1829,5.1829,5.1829,2,0
VIN,D,20090525,000000,5.0494,5.0494,4.9241,4.9241,829,0
VIN,D,20090526,000000,5.0494,5.0494,5.0494,5.0494,11,0
VIN,D,20090527,000000,5.0077,5.0077,5.0077,5.0077,377,0
VIN,D,20090528,000000,5.0077,5.0077,5.0077,5.0077,1018,0
VIN,D,20090529,000000,5.0077,5.0077,4.966,4.966,508,0
VIN,D,20090601,000000,5.0077,5.0077,4.9994,4.9994,505,0
VIN,D,20090602,000000,4.9994,4.9994,4.9241,4.9241,90,0
VIN,D,20090603,000000,4.9744,5.0077,4.9326,4.9326,1256,0
VIN,D,20090604,000000,5.041,5.041,4.9326,4.9326,698,0
VIN,D,20090605,000000,5.0077,5.0077,4.7657,4.7657,571,0
