<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOX,D,20111011,000000,12.241,12.649,11.832,11.832,28885,0
VOX,D,20111012,000000,11.832,11.832,11.18,11.661,33209,0
VOX,D,20111013,000000,11.669,12.119,11.587,12.119,3658,0
VOX,D,20111014,000000,12.241,12.625,12.079,12.241,18447,0
VOX,D,20111017,000000,12.241,12.241,11.424,11.996,3196,0
VOX,D,20111018,000000,11.956,11.956,10.609,11.424,1042,0
VOX,D,20111019,000000,11.506,11.506,11.424,11.424,734,0
VOX,D,20111020,000000,11.424,11.424,11.221,11.221,124,0
VOX,D,20111021,000000,11.221,12.094,10.975,12.094,7156,0
VOX,D,20111024,000000,11.832,11.832,11.832,11.832,10,0
VOX,D,20111025,000000,11.832,11.832,11.719,11.826,624,0
VOX,D,20111026,000000,11.826,11.826,11.71,11.71,26,0
VOX,D,20111027,000000,11.71,11.71,11.587,11.587,43,0
VOX,D,20111028,000000,11.587,11.587,11.424,11.424,2593,0
VOX,D,20111031,000000,11.424,11.424,11.262,11.424,1483,0
VOX,D,20111102,000000,11.221,11.221,10.609,10.731,2912,0
VOX,D,20111103,000000,11.017,11.301,11.017,11.262,1359,0
VOX,D,20111104,000000,11.301,11.424,11.262,11.262,239,0
VOX,D,20111107,000000,11.262,11.326,11.262,11.319,172,0
VOX,D,20111108,000000,11.344,11.344,10.771,10.771,7966,0
VOX,D,20111109,000000,11.017,11.017,11.017,11.017,10,0
VOX,D,20111110,000000,11.017,11.474,11.017,11.466,3206,0
VOX,D,20111114,000000,11.466,11.474,11.295,11.295,1230,0
VOX,D,20111115,000000,11.18,11.18,11.056,11.056,36,0
VOX,D,20111116,000000,11.056,11.056,11.017,11.017,61,0
VOX,D,20111117,000000,11.017,11.017,8.1688,8.9774,15966,0
VOX,D,20111118,000000,9.785,9.785,7.9973,8.1603,25820,0
VOX,D,20111121,000000,8.1603,8.1603,8.1603,8.1603,10,0
VOX,D,20111122,000000,8.1445,8.4047,8.1445,8.4047,25209,0
VOX,D,20111123,000000,8.5682,8.6513,8.4047,8.4047,430,0
VOX,D,20111124,000000,8.4135,9.3841,8.4047,8.4047,828,0
VOX,D,20111125,000000,8.4047,8.4047,8.4047,8.4047,10,0
VOX,D,20111128,000000,8.4864,8.4864,8.4135,8.4135,74,0
VOX,D,20111129,000000,8.4047,8.4047,8.3238,8.3238,307,0
VOX,D,20111130,000000,8.3238,8.3317,8.3238,8.3238,179,0
VOX,D,20111201,000000,8.3238,8.3238,8.3238,8.3238,4,0
VOX,D,20111202,000000,8.2586,8.2664,8.2586,8.2664,98,0
VOX,D,20111205,000000,8.283,8.3647,8.283,8.3647,49,0
VOX,D,20111206,000000,8.283,8.283,8.283,8.283,36,0
VOX,D,20111207,000000,8.3647,8.3647,8.3647,8.3647,61,0
VOX,D,20111208,000000,8.3238,9.785,7.9156,9.785,94976,0
VOX,D,20111209,000000,9.785,9.785,9.785,9.785,10,0
VOX,D,20111212,000000,9.776,9.776,8.1603,8.1603,1165,0
VOX,D,20111214,000000,8.1603,8.1603,8.1603,8.1603,10,0
VOX,D,20111216,000000,8.1603,8.5682,8.152,8.152,1825,0
VOX,D,20111219,000000,8.5682,8.5682,8.1603,8.1603,85,0
VOX,D,20111220,000000,8.152,8.152,7.7444,7.7524,2168,0
VOX,D,20111221,000000,7.7524,8.4047,7.7444,8.4047,22083,0
VOX,D,20111222,000000,8.4864,8.5682,8.4864,8.5682,4129,0
VOX,D,20111223,000000,8.5682,8.6513,8.5604,8.6513,1668,0
VOX,D,20111227,000000,8.7322,8.968,8.7322,8.9352,2507,0
VOX,D,20111228,000000,8.9774,9.3764,8.5682,9.3764,26750,0
VOX,D,20111229,000000,9.459,9.711,9.4177,9.548,8906,0
