<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VTI,D,20100607,000000,0.5555,0.6237,0.5068,0.5068,168532,0
VTI,D,20100608,000000,0.5263,0.5555,0.48727,0.5263,125880,0
VTI,D,20100609,000000,0.536,0.5555,0.48727,0.5263,31915,0
VTI,D,20100610,000000,0.5457,0.5555,0.48727,0.536,30560,0
VTI,D,20100611,000000,0.536,0.536,0.48727,0.48727,31722,0
VTI,D,20100614,000000,0.48727,0.5165,0.48727,0.5165,8240,0
VTI,D,20100615,000000,0.5165,0.5847,0.5165,0.5652,52965,0
VTI,D,20100616,000000,0.575,0.5847,0.5457,0.5457,6804,0
VTI,D,20100617,000000,0.5847,0.6237,0.5847,0.6237,4991,0
VTI,D,20100618,000000,0.6237,0.6237,0.5263,0.5263,23238,0
VTI,D,20100621,000000,0.5555,0.614,0.536,0.614,15580,0
VTI,D,20100622,000000,0.5945,0.5945,0.536,0.536,564,0
VTI,D,20100623,000000,0.5457,0.5457,0.47753,0.48727,85562,0
VTI,D,20100624,000000,0.44829,0.44829,0.44829,0.44829,1865,0
VTI,D,20100625,000000,0.4288,0.49702,0.4288,0.45804,33795,0
VTI,D,20100628,000000,0.45804,0.5068,0.44829,0.46778,19189,0
VTI,D,20100629,000000,0.43855,0.43855,0.38982,0.40931,44615,0
VTI,D,20100630,000000,0.40931,0.4288,0.38982,0.4288,14971,0
VTI,D,20100701,000000,0.4288,0.4288,0.37033,0.40931,4635,0
VTI,D,20100702,000000,0.38007,0.38007,0.38007,0.38007,1,0
VTI,D,20100705,000000,0.40931,0.40931,0.40931,0.40931,205,0
VTI,D,20100706,000000,0.40931,0.40931,0.40931,0.40931,103,0
VTI,D,20100707,000000,0.40931,0.40931,0.38007,0.38007,411,0
VTI,D,20100708,000000,0.38007,0.39956,0.38007,0.39956,2683,0
VTI,D,20100709,000000,0.40931,0.40931,0.38007,0.38007,308,0
VTI,D,20100712,000000,0.38007,0.39956,0.38007,0.39956,2694,0
VTI,D,20100714,000000,0.38007,0.38007,0.38007,0.38007,309,0
VTI,D,20100715,000000,0.38007,0.39956,0.38007,0.39956,822,0
VTI,D,20100716,000000,0.39956,0.46778,0.39956,0.44829,18470,0
VTI,D,20100719,000000,0.5068,0.5068,0.48727,0.48727,2037,0
VTI,D,20100720,000000,0.49702,0.5263,0.49702,0.5263,25227,0
VTI,D,20100721,000000,0.536,0.536,0.48727,0.5165,28554,0
VTI,D,20100722,000000,0.5068,0.5263,0.46778,0.5263,11700,0
VTI,D,20100723,000000,0.5165,0.5165,0.44829,0.48727,13301,0
VTI,D,20100726,000000,0.47753,0.47753,0.4288,0.46778,22872,0
VTI,D,20100728,000000,0.48727,0.48727,0.48727,0.48727,514,0
VTI,D,20100802,000000,0.48727,0.48727,0.45804,0.48727,18629,0
VTI,D,20100803,000000,0.49702,0.49702,0.49702,0.49702,23,0
VTI,D,20100804,000000,0.49702,0.5165,0.45804,0.5165,40996,0
VTI,D,20100805,000000,0.5165,0.5165,0.5165,0.5165,103,0
VTI,D,20100806,000000,0.5165,0.5165,0.48727,0.48727,6157,0
VTI,D,20100809,000000,0.47753,0.48727,0.47753,0.48727,119,0
VTI,D,20100811,000000,0.48727,0.49702,0.48727,0.49702,1658,0
VTI,D,20100812,000000,0.48727,0.48727,0.47753,0.47753,1519,0
VTI,D,20100813,000000,0.48727,0.5165,0.48727,0.5165,5131,0
VTI,D,20100816,000000,0.5165,0.5165,0.5068,0.5165,5654,0
VTI,D,20100817,000000,0.5165,0.5165,0.5165,0.5165,513,0
VTI,D,20100818,000000,0.49702,0.49702,0.48727,0.48727,2052,0
VTI,D,20100819,000000,0.45804,0.48727,0.45804,0.48727,523,0
VTI,D,20100820,000000,0.45804,0.48727,0.45804,0.48727,523,0
VTI,D,20100823,000000,0.48727,0.48727,0.48727,0.48727,103,0
VTI,D,20100824,000000,0.49702,0.49702,0.49702,0.49702,10,0
VTI,D,20100826,000000,0.49702,0.49702,0.49702,0.49702,205,0
VTI,D,20100827,000000,0.49702,0.49702,0.49702,0.49702,103,0
VTI,D,20100830,000000,0.49702,0.5165,0.46778,0.5165,23498,0
VTI,D,20100831,000000,0.5165,0.5165,0.5165,0.5165,103,0
VTI,D,20100901,000000,0.5165,0.5165,0.43855,0.48727,27512,0
VTI,D,20100902,000000,0.48727,0.48727,0.48727,0.48727,1303,0
VTI,D,20100903,000000,0.48727,0.48727,0.48727,0.48727,103,0
VTI,D,20100906,000000,0.48727,0.49702,0.46778,0.49702,16541,0
VTI,D,20100907,000000,0.49702,0.49702,0.49702,0.49702,103,0
VTI,D,20100908,000000,0.49702,0.5165,0.49702,0.5165,8312,0
VTI,D,20100909,000000,0.5165,0.5165,0.5165,0.5165,11103,0
VTI,D,20100910,000000,0.5165,0.5165,0.5165,0.5165,103,0
VTI,D,20100913,000000,0.5263,0.614,0.5263,0.614,94118,0
VTI,D,20100914,000000,0.614,0.6237,0.5165,0.614,69357,0
VTI,D,20100915,000000,0.6237,0.6237,0.6237,0.6237,103,0
VTI,D,20100916,000000,0.6042,0.6822,0.6042,0.6822,14468,0
VTI,D,20100917,000000,0.7212,0.7796,0.7017,0.7114,44989,0
VTI,D,20100920,000000,0.7212,0.7796,0.7114,0.7699,12012,0
VTI,D,20100921,000000,0.7407,0.8089,0.7407,0.8089,22369,0
VTI,D,20100922,000000,0.8186,0.8966,0.8186,0.8186,13567,0
VTI,D,20100923,000000,0.8186,0.9745,0.8089,0.9258,216830,0
VTI,D,20100924,000000,0.9648,1.072,0.9648,1.072,2042,0
VTI,D,20100927,000000,1.111,1.1207,1.0623,1.1207,4002,0
VTI,D,20100928,000000,1.0623,1.0623,1.0623,1.0623,103,0
VTI,D,20100929,000000,1.0623,1.1207,0.8868,1.1207,9594,0
VTI,D,20100930,000000,1.1207,1.1207,0.9745,1.1207,9994,0
VTI,D,20101001,000000,1.1207,1.1207,1.1207,1.1207,21,0
VTI,D,20101004,000000,1.1207,1.1207,1.1207,1.1207,51,0
VTI,D,20101005,000000,1.1207,1.1207,0.9258,1.072,17371,0
VTI,D,20101006,000000,1.072,1.072,1.072,1.072,21,0
