<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAS,D,20010524,000000,3.7142,3.7544,3.5373,3.6739,66192,0
WAS,D,20010525,000000,3.6981,3.6981,3.5614,3.5854,6800,0
WAS,D,20010528,000000,3.5936,3.5936,3.4731,3.5775,13153,0
WAS,D,20010529,000000,3.5132,3.5614,3.4166,3.5132,13905,0
WAS,D,20010530,000000,3.5051,3.5051,3.3523,3.4328,2617,0
WAS,D,20010531,000000,3.3925,3.3925,3.312,3.312,12787,0
WAS,D,20010601,000000,3.3042,3.3523,3.2639,3.2639,10077,0
WAS,D,20010604,000000,3.312,3.312,3.0709,3.0709,4156,0
WAS,D,20010605,000000,3.0228,3.0308,2.6209,2.7494,22776,0
WAS,D,20010606,000000,2.7175,2.7413,2.6931,2.7333,3536,0
WAS,D,20010607,000000,2.669,2.7253,2.6369,2.7092,1709,0
WAS,D,20010608,000000,2.6931,2.7092,2.6369,2.7092,1283,0
WAS,D,20010612,000000,2.5565,2.6611,2.476,2.476,12678,0
WAS,D,20010613,000000,2.4922,2.4922,2.46,2.46,3906,0
WAS,D,20010615,000000,2.476,2.5083,2.3958,2.3958,8715,0
WAS,D,20010618,000000,2.3958,2.3958,2.235,2.235,4787,0
WAS,D,20010619,000000,2.2189,2.2189,1.8329,1.9455,26140,0
WAS,D,20010620,000000,1.9215,1.9215,1.8008,1.8008,12998,0
WAS,D,20010621,000000,1.8008,1.8329,1.7847,1.8329,3260,0
WAS,D,20010622,000000,1.8088,1.8489,1.7927,1.7927,17094,0
WAS,D,20010625,000000,1.8489,1.9376,1.825,1.9376,61147,0
WAS,D,20010626,000000,1.9856,1.9856,1.9133,1.9133,2276,0
WAS,D,20010627,000000,1.9133,1.9133,1.9133,1.9133,219,0
WAS,D,20010628,000000,1.8329,1.8329,1.7606,1.7606,1229,0
WAS,D,20010629,000000,1.7606,1.8411,1.7606,1.8329,5704,0
WAS,D,20010702,000000,1.8008,1.8008,1.8008,1.8008,1504,0
WAS,D,20010704,000000,1.7606,1.8329,1.7606,1.8329,258,0
WAS,D,20010705,000000,1.9455,1.9937,1.9455,1.9536,2405,0
WAS,D,20010710,000000,1.9536,1.9536,1.9133,1.9133,4131,0
WAS,D,20010711,000000,1.9536,1.9536,1.9536,1.9536,876,0
WAS,D,20010713,000000,1.7927,1.7927,1.7927,1.7927,2916,0
WAS,D,20010716,000000,1.9856,2.042,1.9856,2.042,595,0
WAS,D,20010717,000000,2.034,2.0742,2.034,2.0742,765,0
WAS,D,20010718,000000,2.0742,2.0742,2.0742,2.0742,1,0
WAS,D,20010719,000000,2.0742,2.0742,1.9133,2.0742,29,0
WAS,D,20010723,000000,1.9536,1.9536,1.9536,1.9536,4006,0
WAS,D,20010724,000000,2.0098,2.0098,2.0098,2.0098,1,0
WAS,D,20010725,000000,2.0019,2.0019,1.9937,1.9937,6509,0
WAS,D,20010726,000000,2.0019,2.0019,2.0019,2.0019,42,0
WAS,D,20010727,000000,1.9133,1.9133,1.9133,1.9133,7486,0
WAS,D,20010730,000000,1.8973,1.8973,1.8973,1.8973,1302,0
WAS,D,20010731,000000,1.8329,1.9053,1.7927,1.9053,10294,0
WAS,D,20010802,000000,1.8088,1.8088,1.7446,1.7446,4077,0
WAS,D,20010803,000000,1.8329,1.8329,1.8329,1.8329,39,0
WAS,D,20010807,000000,1.6399,1.7606,1.6399,1.7606,2508,0
WAS,D,20010809,000000,1.5997,1.5997,1.5997,1.5997,11896,0
WAS,D,20010810,000000,1.6802,1.7606,1.6802,1.7606,2190,0
WAS,D,20010813,000000,1.7927,1.7927,1.3667,1.5837,31746,0
WAS,D,20010814,000000,1.4551,1.4712,1.4309,1.4712,10645,0
WAS,D,20010816,000000,1.4712,1.4712,1.3587,1.4632,9412,0
WAS,D,20010817,000000,1.5355,1.5355,1.4551,1.4551,1582,0
WAS,D,20010820,000000,1.4551,1.4551,1.4551,1.4551,6375,0
WAS,D,20010821,000000,1.5195,1.5195,1.439,1.439,5451,0
WAS,D,20010822,000000,1.3989,1.4791,1.3989,1.4791,6092,0
WAS,D,20010823,000000,1.5195,1.5195,1.4791,1.4791,2478,0
WAS,D,20010827,000000,1.5195,1.5275,1.439,1.5275,1376,0
WAS,D,20010831,000000,1.3989,1.4791,1.3989,1.447,9242,0
WAS,D,20010903,000000,1.4149,1.4149,1.3909,1.3909,3562,0
WAS,D,20010904,000000,1.3989,1.3989,1.3989,1.3989,1069,0
WAS,D,20010905,000000,1.4874,1.4874,1.4874,1.4874,625,0
WAS,D,20010906,000000,1.439,1.439,1.439,1.439,625,0
WAS,D,20010907,000000,1.439,1.439,1.439,1.439,1251,0
WAS,D,20010912,000000,1.1979,1.439,1.1979,1.439,5635,0
WAS,D,20010917,000000,1.2783,1.4068,1.2783,1.4068,207,0
WAS,D,20010918,000000,1.2783,1.4149,1.2783,1.4149,977,0
WAS,D,20010919,000000,1.3989,1.3989,1.3989,1.3989,249,0
WAS,D,20010925,000000,1.1898,1.3185,1.1898,1.3185,8015,0
WAS,D,20010926,000000,1.439,1.439,1.1979,1.3506,1904,0
WAS,D,20010927,000000,1.3587,1.3587,1.1979,1.3023,1053,0
WAS,D,20010928,000000,1.2783,1.3667,1.2783,1.3667,1254,0
WAS,D,20011002,000000,1.1656,1.238,1.1656,1.238,382,0
WAS,D,20011005,000000,1.1577,1.2701,1.1577,1.2701,2565,0
WAS,D,20011008,000000,1.1175,1.238,1.1175,1.238,2521,0
WAS,D,20011010,000000,1.238,1.3989,1.1737,1.3989,8943,0
WAS,D,20011011,000000,1.439,1.439,1.23,1.439,2802,0
WAS,D,20011012,000000,1.439,1.439,1.3185,1.4228,16882,0
WAS,D,20011015,000000,1.4149,1.4149,1.4149,1.4149,124,0
WAS,D,20011016,000000,1.3989,1.6562,1.3989,1.5433,103880,0
WAS,D,20011017,000000,1.6399,1.857,1.3426,1.6562,253428,0
WAS,D,20011018,000000,1.6321,1.6321,1.439,1.5516,21986,0
WAS,D,20011019,000000,1.4228,1.5595,1.4228,1.5113,10509,0
WAS,D,20011022,000000,1.5275,1.6399,1.5275,1.6399,34036,0
WAS,D,20011023,000000,1.7285,1.7285,1.5595,1.5919,18579,0
WAS,D,20011024,000000,1.5195,1.6639,1.5195,1.624,4141,0
WAS,D,20011025,000000,1.6321,1.6321,1.5275,1.6079,13508,0
WAS,D,20011026,000000,1.6399,1.6399,1.5516,1.5997,6650,0
WAS,D,20011029,000000,1.6399,1.6399,1.5433,1.5919,7116,0
WAS,D,20011030,000000,1.5195,1.5195,1.5195,1.5195,1251,0
WAS,D,20011031,000000,1.4551,1.5113,1.4551,1.5113,2877,0
WAS,D,20011102,000000,1.4791,1.5275,1.4632,1.4632,11692,0
WAS,D,20011105,000000,1.5676,1.5676,1.439,1.5433,9391,0
WAS,D,20011106,000000,1.5433,1.5433,1.5195,1.5195,1111,0
WAS,D,20011107,000000,1.5433,1.5433,1.5433,1.5433,3818,0
WAS,D,20011108,000000,1.4632,1.5195,1.439,1.5195,2943,0
WAS,D,20011109,000000,1.5195,1.5195,1.439,1.439,5191,0
WAS,D,20011112,000000,1.4551,1.4551,1.4551,1.4551,124,0
WAS,D,20011113,000000,1.439,1.5113,1.439,1.5113,6484,0
WAS,D,20011114,000000,1.439,1.4791,1.3587,1.4712,60647,0
WAS,D,20011115,000000,1.4632,1.4632,1.4149,1.439,6331,0
WAS,D,20011116,000000,1.4551,1.4551,1.4149,1.439,1849,0
WAS,D,20011119,000000,1.439,1.439,1.3909,1.3909,6573,0
WAS,D,20011120,000000,1.3746,1.3746,1.3587,1.3587,7539,0
WAS,D,20011121,000000,1.3746,1.4068,1.3185,1.3185,85505,0
WAS,D,20011122,000000,1.3185,1.3185,1.2944,1.2944,4489,0
WAS,D,20011123,000000,1.2944,1.2944,1.2863,1.2863,5601,0
WAS,D,20011126,000000,1.3426,1.3426,1.1979,1.23,43808,0
WAS,D,20011127,000000,1.2783,1.2783,1.2138,1.2783,16218,0
WAS,D,20011128,000000,1.2783,1.3264,1.2783,1.3023,11207,0
WAS,D,20011129,000000,1.2701,1.3103,1.2701,1.3103,751,0
WAS,D,20011130,000000,1.2623,1.3185,1.222,1.222,5992,0
WAS,D,20011203,000000,1.1979,1.206,1.1979,1.1979,2305,0
WAS,D,20011204,000000,1.2138,1.222,1.2138,1.2138,4838,0
WAS,D,20011205,000000,1.222,1.2623,1.222,1.2623,5466,0
WAS,D,20011206,000000,1.2783,1.3264,1.2783,1.3023,12527,0
WAS,D,20011207,000000,1.3185,1.3185,1.2863,1.2863,8686,0
WAS,D,20011210,000000,1.3746,1.3746,1.23,1.23,13526,0
WAS,D,20011211,000000,1.1335,1.23,1.1335,1.23,1837,0
WAS,D,20011212,000000,1.1577,1.1577,1.1577,1.1577,5010,0
WAS,D,20011213,000000,1.1415,1.1415,1.1175,1.1175,1251,0
WAS,D,20011214,000000,1.1335,1.1335,1.021,1.021,2897,0
WAS,D,20011217,000000,1.0933,1.0933,1.0369,1.0369,159,0
WAS,D,20011218,000000,1.0933,1.0933,0.9649,1.0369,155315,0
WAS,D,20011219,000000,1.021,1.021,0.9807,0.9807,12086,0
WAS,D,20011220,000000,0.9807,1.0131,0.9566,0.9566,3212,0
WAS,D,20011221,000000,0.9649,0.9649,0.9649,0.9649,3024,0
WAS,D,20011227,000000,0.9807,0.9807,0.9244,0.9244,1990,0
WAS,D,20011228,000000,0.9325,0.9888,0.9325,0.9406,5010,0
WAS,D,20011231,000000,0.9566,0.9888,0.9566,0.9888,417611,0
WAS,D,20020102,000000,0.9807,1.0291,0.9807,1.0291,16481,0
WAS,D,20020103,000000,1.0451,1.0613,1.0369,1.0613,6272,0
WAS,D,20020104,000000,1.0772,1.0854,1.0613,1.0613,5856,0
WAS,D,20020107,000000,1.0369,1.0772,1.021,1.0772,10913,0
WAS,D,20020108,000000,1.0772,1.1335,1.0772,1.1335,18754,0
WAS,D,20020109,000000,1.1496,1.2461,1.1496,1.2138,29685,0
WAS,D,20020110,000000,1.2701,1.2863,1.1656,1.1819,32159,0
WAS,D,20020111,000000,1.1819,1.222,1.1819,1.206,2066,0
