<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIK,D,19970220,000000,6.9382,6.9382,6.9382,6.9382,190747,0
WIK,D,19970221,000000,7.6359,7.6359,7.6359,7.6359,64961,0
WIK,D,19970224,000000,8.3918,8.3918,8.3918,8.3918,0,0
WIK,D,19970225,000000,9.2542,9.2542,9.2542,9.2542,272077,0
WIK,D,19970226,000000,9.952,9.952,9.952,9.952,538906,0
WIK,D,19970227,000000,8.9635,8.9635,8.9635,8.9635,102505,0
WIK,D,19970228,000000,8.1011,8.1011,8.1011,8.1011,138309,0
WIK,D,19970303,000000,7.4034,7.4034,7.4034,7.4034,248860,0
WIK,D,19970304,000000,7.6359,7.6359,7.6359,7.6359,162014,0
WIK,D,19970305,000000,7.6359,7.6359,7.6359,7.6359,121347,0
WIK,D,19970306,000000,7.6359,7.6359,7.6359,7.6359,38376,0
WIK,D,19970307,000000,7.9266,7.9266,7.9266,7.9266,175786,0
WIK,D,19970310,000000,8.1592,8.1592,8.1592,8.1592,49535,0
WIK,D,19970311,000000,8.9635,8.9635,8.9635,8.9635,117898,0
WIK,D,19970312,000000,8.9054,8.9054,8.9054,8.9054,144031,0
WIK,D,19970313,000000,8.2173,8.2173,8.2173,8.2173,77738,0
WIK,D,19970314,000000,7.7522,7.7522,7.7522,7.7522,91475,0
WIK,D,19970317,000000,7.6359,7.6359,7.6359,7.6359,76423,0
WIK,D,19970318,000000,8.1011,8.1011,8.1011,8.1011,93172,0
WIK,D,19970319,000000,7.5196,7.5196,7.5196,7.5196,45417,0
WIK,D,19970320,000000,7.6941,7.6941,7.6941,7.6941,46017,0
WIK,D,19970321,000000,7.6359,7.6359,7.6359,7.6359,47020,0
WIK,D,19970324,000000,7.6941,7.6941,7.6941,7.6941,43808,0
WIK,D,19970325,000000,7.9266,7.9266,7.9266,7.9266,82089,0
WIK,D,19970326,000000,8.2173,8.2173,8.2173,8.2173,75546,0
WIK,D,19970327,000000,8.5565,8.5565,8.5565,8.5565,102034,0
WIK,D,19970401,000000,7.9266,7.9266,7.9266,7.9266,67387,0
WIK,D,19970402,000000,7.5196,7.5196,7.5196,7.5196,82388,0
WIK,D,19970403,000000,7.6359,7.6359,7.6359,7.6359,104318,0
WIK,D,19970404,000000,7.6359,7.6359,7.6359,7.6359,46497,0
WIK,D,19970407,000000,8.1011,8.1011,8.1011,8.1011,129292,0
WIK,D,19970408,000000,7.6359,7.6359,7.6359,7.6359,55600,0
WIK,D,19970409,000000,7.9266,7.9266,7.9266,7.9266,60257,0
WIK,D,19970410,000000,7.8685,7.8685,7.8685,7.8685,106718,0
WIK,D,19970411,000000,7.9848,7.9848,7.9848,7.9848,42657,0
WIK,D,19970414,000000,7.8685,7.8685,7.8685,7.8685,69218,0
WIK,D,19970415,000000,8.1011,8.1011,8.1011,8.1011,94162,0
