<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPL,D,20150507,000000,32.756,33.454,32.153,32.525,479874,0
WPL,D,20150508,000000,33.064,33.083,32.571,32.645,25641,0
WPL,D,20150511,000000,32.989,32.989,32.525,32.525,92212,0
WPL,D,20150512,000000,32.618,32.618,32.431,32.431,105193,0
WPL,D,20150513,000000,32.349,32.478,31.874,31.874,3379,0
WPL,D,20150514,000000,31.967,32.385,31.642,32.385,2812,0
WPL,D,20150515,000000,32.06,32.709,32.06,32.709,3246,0
WPL,D,20150518,000000,32.85,32.989,32.357,32.357,14663,0
WPL,D,20150519,000000,32.246,32.385,32.246,32.339,62338,0
WPL,D,20150520,000000,32.292,32.896,32.292,32.339,2624,0
WPL,D,20150521,000000,32.989,32.989,32.533,32.533,543,0
WPL,D,20150522,000000,32.264,32.971,32.264,32.357,52734,0
WPL,D,20150525,000000,32.878,32.878,32.878,32.878,156,0
WPL,D,20150526,000000,32.385,32.385,32.385,32.385,67,0
WPL,D,20150527,000000,32.07,32.525,32.07,32.292,83375,0
WPL,D,20150528,000000,32.246,32.375,32.08,32.292,44013,0
WPL,D,20150529,000000,31.977,32.431,31.977,32.339,14157,0
WPL,D,20150601,000000,32.246,32.385,32.106,32.292,6471,0
WPL,D,20150602,000000,32.246,32.292,32.06,32.292,27634,0
WPL,D,20150603,000000,32.06,32.339,32.06,32.226,16356,0
WPL,D,20150605,000000,32.2,32.2,32.153,32.153,35163,0
WPL,D,20150608,000000,32.134,32.339,32.134,32.339,5940,0
WPL,D,20150609,000000,32.153,32.153,32.153,32.153,35982,0
WPL,D,20150610,000000,32.153,32.246,32.08,32.116,13827,0
WPL,D,20150611,000000,32.246,32.246,32.08,32.106,53584,0
WPL,D,20150612,000000,32.2,32.2,32.106,32.106,8263,0
WPL,D,20150615,000000,32.339,32.339,32.153,32.153,3562,0
WPL,D,20150616,000000,32.153,32.292,32.04,32.292,23058,0
WPL,D,20150617,000000,32.339,32.339,32.2,32.246,15630,0
WPL,D,20150618,000000,32.292,32.385,32.292,32.32,4069,0
WPL,D,20150619,000000,32.292,32.431,32.04,32.04,13132,0
WPL,D,20150622,000000,32.07,32.246,32.07,32.153,4253,0
WPL,D,20150623,000000,32.339,32.339,32.153,32.153,6899,0
WPL,D,20150624,000000,32.162,32.431,32.162,32.311,14891,0
WPL,D,20150625,000000,32.246,32.339,32.246,32.246,1198,0
WPL,D,20150626,000000,32.153,32.153,32.096,32.134,669,0
WPL,D,20150629,000000,31.595,31.595,29.133,31.316,10822,0
WPL,D,20150630,000000,31.141,31.316,31.141,31.288,1131,0
WPL,D,20150701,000000,31.288,32.414,31.288,32.394,15218,0
WPL,D,20150702,000000,32.414,32.45,31.781,32.385,12042,0
WPL,D,20150703,000000,32.385,32.45,31.771,32.06,16407,0
WPL,D,20150706,000000,31.827,32.431,31.642,32.431,46819,0
WPL,D,20150707,000000,32.06,32.246,32.06,32.06,2186,0
WPL,D,20150708,000000,32.339,32.339,32.06,32.06,17017,0
WPL,D,20150709,000000,32.153,32.153,31.781,32.06,4924,0
WPL,D,20150710,000000,32.06,32.329,32.014,32.06,75739,0
WPL,D,20150713,000000,32.246,32.246,31.595,31.856,18073,0
WPL,D,20150714,000000,31.911,31.939,31.595,31.827,12285,0
WPL,D,20150715,000000,31.827,32.153,31.614,32.153,4071,0
WPL,D,20150716,000000,32.246,33.37,32.153,33.175,36967,0
WPL,D,20150717,000000,32.998,34.039,32.998,34.03,266154,0
WPL,D,20150720,000000,34.03,34.03,33.5,33.918,18531,0
WPL,D,20150721,000000,33.918,34.272,33.64,34.272,9873,0
WPL,D,20150722,000000,34.29,34.29,34.113,34.29,10926,0
WPL,D,20150723,000000,34.198,34.29,34.02,34.104,5526,0
WPL,D,20150724,000000,34.29,34.383,34.198,34.383,41476,0
WPL,D,20150727,000000,34.523,34.662,34.198,34.206,7553,0
WPL,D,20150728,000000,34.215,34.549,34.215,34.383,2570,0
WPL,D,20150729,000000,34.383,34.523,34.364,34.364,12397,0
WPL,D,20150730,000000,34.364,34.383,34.364,34.383,880,0
WPL,D,20150731,000000,34.383,34.941,34.383,34.941,16398,0
WPL,D,20150803,000000,34.941,35.311,34.941,35.311,6624,0
WPL,D,20150804,000000,35.311,35.311,34.383,34.383,2130,0
WPL,D,20150805,000000,34.383,35.033,34.383,34.894,95260,0
WPL,D,20150806,000000,34.894,35.08,34.477,34.802,5991,0
