<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XTB,D,20160506,000000,8.6649,9.0469,8.6414,9.0397,1917629,0
XTB,D,20160509,000000,9.0397,9.0541,8.8739,9.0018,412688,0
XTB,D,20160510,000000,8.9793,9.0018,8.8667,8.9568,42098,0
XTB,D,20160511,000000,8.9108,9.0397,8.7766,9.0397,230546,0
XTB,D,20160512,000000,9.0397,9.219,9.0018,9.1145,424656,0
XTB,D,20160513,000000,9.1595,9.3019,9.0838,9.3019,189507,0
XTB,D,20160516,000000,9.3019,9.902,9.2262,9.751,176570,0
XTB,D,20160517,000000,9.857,9.857,9.715,9.751,540621,0
XTB,D,20160518,000000,9.834,10.277,9.834,10.187,164537,0
XTB,D,20160519,000000,9.978,10.427,9.902,10.427,71586,0
XTB,D,20160520,000000,10.427,10.727,10.24,10.727,73597,0
XTB,D,20160523,000000,10.689,10.689,10.202,10.503,49247,0
XTB,D,20160524,000000,10.389,10.862,9.64,10.652,129227,0
XTB,D,20160525,000000,10.652,11.253,10.389,11.253,42767,0
XTB,D,20160527,000000,11.253,11.253,10.877,11.177,6361,0
XTB,D,20160530,000000,11.027,11.553,10.885,11.17,88396,0
XTB,D,20160531,000000,11.236,11.236,10.816,11.02,56933,0
XTB,D,20160601,000000,11.02,11.027,10.427,10.803,24217,0
XTB,D,20160602,000000,10.765,10.765,10.442,10.442,7668,0
XTB,D,20160603,000000,10.352,10.503,10,10.503,11354,0
XTB,D,20160606,000000,10.765,10.765,10.24,10.503,3269,0
XTB,D,20160607,000000,10.367,10.503,10.224,10.503,69698,0
XTB,D,20160608,000000,10.503,10.503,10.24,10.24,2026,0
XTB,D,20160609,000000,10.142,10.292,10.142,10.277,6526,0
XTB,D,20160610,000000,10.202,10.352,10.113,10.352,19446,0
XTB,D,20160613,000000,10.352,10.352,10.126,10.277,14847,0
XTB,D,20160614,000000,10.126,10.277,10.022,10.277,22531,0
XTB,D,20160615,000000,10.104,10.195,10.104,10.195,75710,0
XTB,D,20160616,000000,10.052,10.126,10.022,10.12,29580,0
XTB,D,20160617,000000,10.022,10.277,10.022,10.277,28941,0
XTB,D,20160620,000000,10.135,10.314,10.126,10.314,22798,0
XTB,D,20160621,000000,10.352,10.427,10.135,10.389,27844,0
XTB,D,20160622,000000,10.389,10.644,10.389,10.503,33918,0
XTB,D,20160623,000000,10.503,10.652,10.36,10.652,11001,0
XTB,D,20160624,000000,10.126,10.877,10,10.794,147052,0
XTB,D,20160627,000000,10.794,11.253,10.503,11.253,92545,0
XTB,D,20160628,000000,10.96,11.604,10.96,11.17,44294,0
XTB,D,20160629,000000,11.17,11.17,11.065,11.117,42880,0
XTB,D,20160630,000000,11.236,11.328,10.885,11.328,122774,0
XTB,D,20160701,000000,11.185,11.215,11.147,11.207,1313,0
XTB,D,20160704,000000,11.17,11.253,10.885,11.253,10769,0
XTB,D,20160705,000000,11.088,11.101,11.011,11.02,42095,0
XTB,D,20160706,000000,10.982,10.982,10.689,10.877,144421,0
XTB,D,20160707,000000,10.771,10.936,10.771,10.93,1739,0
XTB,D,20160708,000000,10.809,11.027,10.809,11.027,948,0
XTB,D,20160711,000000,11.236,11.236,10.885,11.132,3342,0
XTB,D,20160712,000000,11.027,11.132,10.877,11.132,29027,0
XTB,D,20160713,000000,11.027,11.231,10.508,11.02,47919,0
XTB,D,20160714,000000,11.065,11.065,10.914,11.043,25601,0
XTB,D,20160715,000000,11.132,11.132,10.742,11.02,14438,0
XTB,D,20160718,000000,11.011,11.011,10.809,11.011,83097,0
XTB,D,20160719,000000,11.005,11.011,10.562,10.644,396268,0
XTB,D,20160720,000000,10.719,10.719,10.577,10.577,11695,0
XTB,D,20160721,000000,10.577,10.862,10.54,10.862,49292,0
XTB,D,20160722,000000,10.877,10.877,10.615,10.771,2986,0
XTB,D,20160725,000000,10.771,10.771,10.584,10.698,2557,0
XTB,D,20160726,000000,10.712,10.914,10.517,10.914,20880,0
XTB,D,20160727,000000,10.9,10.9,10.389,10.503,196270,0
XTB,D,20160728,000000,10.495,10.644,10.246,10.644,168628,0
XTB,D,20160729,000000,10.577,10.577,10.405,10.495,23824,0
XTB,D,20160801,000000,10.794,10.794,10.255,10.479,7906,0
XTB,D,20160802,000000,10.479,10.479,10.24,10.42,7642,0
XTB,D,20160803,000000,10.389,10.389,10.172,10.307,100824,0
XTB,D,20160804,000000,10.465,10.465,10.216,10.337,90154,0
XTB,D,20160805,000000,10.343,10.343,10.06,10.164,6903,0
XTB,D,20160808,000000,10.57,10.57,9.909,10.037,10876,0
XTB,D,20160809,000000,9.939,10.479,9.939,10.126,75489,0
XTB,D,20160810,000000,10.172,10.172,9.97,10.126,8472,0
XTB,D,20160811,000000,10.126,10.27,9.961,10.075,14140,0
XTB,D,20160812,000000,10.27,10.27,9.961,10.06,6316,0
XTB,D,20160816,000000,9.97,10.126,9.909,10.006,15985,0
XTB,D,20160817,000000,9.0397,9.0397,8.1841,8.4917,629415,0
XTB,D,20160818,000000,8.6261,8.6261,8.2144,8.3186,77403,0
XTB,D,20160819,000000,8.3186,8.4767,8.169,8.4022,9164,0
XTB,D,20160822,000000,8.5145,8.5973,8.2514,8.5667,30425,0
XTB,D,20160823,000000,8.5667,8.5667,8.259,8.4022,28657,0
XTB,D,20160824,000000,8.274,8.5513,8.274,8.5513,5248,0
XTB,D,20160825,000000,8.6261,8.7982,8.4241,8.7388,10281,0
XTB,D,20160826,000000,8.6261,8.7009,8.5224,8.6946,35133,0
XTB,D,20160829,000000,8.6865,8.6865,8.4163,8.5145,12737,0
XTB,D,20160830,000000,8.5058,8.5443,8.4022,8.5443,8229,0
